<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAEQ.US,5,20251222,172500,49.89,49.8901,49.89,49.8901,4352,0
AAEQ.US,5,20251223,212000,50.02,50.0336,50.02,50.0336,282,0
AAEQ.US,5,20251224,165500,50.08,50.08,50.08,50.08,1325,0
AAEQ.US,5,20251230,165000,49.76,49.78,49.76,49.78,4900,0
AAEQ.US,5,20260105,181500,49.76,49.7601,49.76,49.7601,3975,0
AAEQ.US,5,20260105,213500,49.77,49.77,49.77,49.77,4321,0
AAEQ.US,5,20260107,153000,49.75,49.7501,49.75,49.7501,10000,0
AAEQ.US,5,20260107,154000,49.85,49.85,49.7,49.81,13128,0
AAEQ.US,5,20260107,164500,49.81,49.81,49.81,49.81,100,0
AAEQ.US,5,20260107,192500,49.925,49.925,49.917,49.917,3000,0
