<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIFU.US,5,20250813,153000,5.93,6.15,5.93,6,6956,0
AIFU.US,5,20250813,153500,6,6,5.95,5.95,2000,0
AIFU.US,5,20250813,154000,5.985,5.985,5.8004,5.8004,2886,0
AIFU.US,5,20250813,154500,5.6109,5.75,5.5,5.655,7242,0
AIFU.US,5,20250813,155000,5.5,5.57,5.3,5.57,1229,0
AIFU.US,5,20250813,155500,5.4601,5.4601,5.4601,5.4601,105,0
AIFU.US,5,20250813,160000,6,6.01,5.47,5.98,1668,0
AIFU.US,5,20250813,160500,5.58,5.58,5.58,5.58,150,0
AIFU.US,5,20250813,161000,5.54,5.89,5.54,5.89,200,0
AIFU.US,5,20250813,161500,5.7,5.8499,5.685,5.8499,2020,0
AIFU.US,5,20250813,162000,5.78,5.84,5.7,5.7011,1250,0
AIFU.US,5,20250813,162500,5.71,5.71,5.71,5.71,4100,0
AIFU.US,5,20250813,163500,5.727,5.727,5.727,5.727,169,0
AIFU.US,5,20250813,164000,5.785,5.785,5.785,5.785,400,0
AIFU.US,5,20250813,165000,5.7702,5.7702,5.75,5.76,500,0
AIFU.US,5,20250813,165500,5.79,5.79,5.79,5.79,520,0
AIFU.US,5,20250813,170500,5.72,5.72,5.48,5.48,669,0
AIFU.US,5,20250813,171000,5.47,5.47,5.46,5.46,400,0
AIFU.US,5,20250813,172000,5.4917,5.55,5.4917,5.55,500,0
AIFU.US,5,20250813,173000,5.57,5.57,5.57,5.57,100,0
AIFU.US,5,20250813,174000,5.9651,5.9651,5.9651,5.9651,600,0
AIFU.US,5,20250813,175500,5.84,5.84,5.84,5.84,720,0
AIFU.US,5,20250813,183000,5.5138,5.5138,5.5138,5.5138,630,0
AIFU.US,5,20250813,183500,5.5138,5.5138,5.5138,5.5138,100,0
AIFU.US,5,20250813,190000,5.72,5.72,5.7,5.71,2855,0
AIFU.US,5,20250813,191500,5.71,5.71,5.71,5.71,153,0
AIFU.US,5,20250813,193500,5.67,5.67,5.67,5.67,100,0
AIFU.US,5,20250813,194000,5.5689,5.5689,5.5689,5.5689,175,0
AIFU.US,5,20250813,195500,5.7,5.7,5.7,5.7,207,0
AIFU.US,5,20250813,202000,5.63,5.7,5.6,5.6301,900,0
AIFU.US,5,20250813,202500,5.62,5.62,5.62,5.62,100,0
AIFU.US,5,20250813,203500,5.73,5.73,5.73,5.73,100,0
AIFU.US,5,20250813,210000,5.77,5.85,5.77,5.8,1133,0
AIFU.US,5,20250813,214500,5.935,5.935,5.935,5.935,100,0
AIFU.US,5,20250813,215500,5.9,5.9,5.82,5.82,2312,0
AIFU.US,5,20250814,153000,5.71,5.755,5.57,5.6901,3894,0
AIFU.US,5,20250814,154000,5.57,5.58,5.46,5.48,1079,0
AIFU.US,5,20250814,154500,5.5,5.5,5.5,5.5,620,0
AIFU.US,5,20250814,155000,5.5,5.5,5.456,5.4999,2200,0
AIFU.US,5,20250814,155500,5.5,5.52,5.49,5.5,1269,0
AIFU.US,5,20250814,160500,5.7073,5.7073,5.7073,5.7073,1000,0
AIFU.US,5,20250814,161500,5.5101,5.5101,5.5101,5.5101,1000,0
AIFU.US,5,20250814,162500,5.82,5.82,5.82,5.82,200,0
AIFU.US,5,20250814,163500,5.7692,5.7692,5.7692,5.7692,414,0
AIFU.US,5,20250814,164500,5.8253,5.8253,5.8253,5.8253,1000,0
AIFU.US,5,20250814,165000,5.7156,5.7156,5.7156,5.7156,1000,0
AIFU.US,5,20250814,165500,5.8774,5.8774,5.75,5.75,599,0
AIFU.US,5,20250814,170000,5.71,5.71,5.71,5.71,100,0
AIFU.US,5,20250814,190000,5.5423,5.5423,5.5423,5.5423,320,0
AIFU.US,5,20250814,190500,5.655,5.655,5.655,5.655,635,0
AIFU.US,5,20250814,191000,5.5406,5.5406,5.5406,5.5406,1300,0
AIFU.US,5,20250814,192500,5.6,5.6,5.47,5.47,1605,0
AIFU.US,5,20250814,203500,5.48,5.48,5.48,5.48,900,0
AIFU.US,5,20250814,204000,5.62,5.62,5.62,5.62,899,0
AIFU.US,5,20250814,210000,5.53,5.53,5.5,5.5,1086,0
AIFU.US,5,20250814,215000,5.49,5.49,5.49,5.49,100,0
AIFU.US,5,20250814,215500,5.5,5.51,5.47,5.47,680,0
AIFU.US,5,20250815,153000,5.88,5.88,5.88,5.88,1000,0
AIFU.US,5,20250815,153500,5.955,5.955,5.955,5.955,500,0
AIFU.US,5,20250815,154000,5.7275,5.7275,5.7275,5.7275,1000,0
AIFU.US,5,20250815,154500,5.62,5.62,5.61,5.62,300,0
AIFU.US,5,20250815,161000,5.655,5.655,5.655,5.655,335,0
AIFU.US,5,20250815,162000,5.66,5.66,5.615,5.615,2640,0
AIFU.US,5,20250815,163500,5.5127,5.635,5.5,5.635,1955,0
AIFU.US,5,20250815,164000,5.6079,5.6079,5.5,5.6032,2600,0
AIFU.US,5,20250815,164500,5.56,5.56,5.56,5.56,408,0
AIFU.US,5,20250815,170500,5.5,5.5,5.5,5.5,402,0
AIFU.US,5,20250815,174500,5.36,5.36,5.3,5.3,1392,0
AIFU.US,5,20250815,175000,5.14,5.14,5.14,5.14,100,0
AIFU.US,5,20250815,175500,5.26,5.26,5.26,5.26,300,0
AIFU.US,5,20250815,181000,5.156,5.156,5.156,5.156,340,0
AIFU.US,5,20250815,182000,5.2112,5.2112,5.2,5.2,870,0
AIFU.US,5,20250815,182500,5.12,5.12,5.02,5.02,1856,0
AIFU.US,5,20250815,183500,5.05,5.1,5.05,5.1,800,0
AIFU.US,5,20250815,184000,5.01,5.01,5,5,1061,0
AIFU.US,5,20250815,184500,4.99,5.0206,4.88,5.0206,2393,0
AIFU.US,5,20250815,185000,4.905,4.98,4.72,4.77,1932,0
AIFU.US,5,20250815,185500,4.7632,4.7632,4.7632,4.7632,1000,0
AIFU.US,5,20250815,190000,4.77,4.77,4.7699,4.7699,1870,0
AIFU.US,5,20250815,191500,4.82,4.82,4.82,4.82,100,0
AIFU.US,5,20250815,193500,4.92,4.92,4.92,4.92,500,0
AIFU.US,5,20250815,194500,4.8645,4.8645,4.8645,4.8645,111,0
AIFU.US,5,20250815,195500,4.92,5.1275,4.92,5.1275,1400,0
AIFU.US,5,20250815,200500,5,5,5,5,822,0
AIFU.US,5,20250815,201000,5,5,4.87,4.87,556,0
AIFU.US,5,20250815,204500,5.0486,5.0486,4.87,4.87,1374,0
AIFU.US,5,20250815,210500,4.88,4.88,4.88,4.88,150,0
AIFU.US,5,20250815,215000,4.9531,4.9531,4.9531,4.9531,500,0
AIFU.US,5,20250815,215500,4.965,5.04,4.92,5.04,765,0
AIFU.US,5,20250818,153000,4.84,4.84,4.84,4.84,126,0
AIFU.US,5,20250818,154000,4.82,4.87,4.79,4.87,1061,0
