<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANPA.US,5,20250813,153000,36.9,37,36.47,37,2430,0
ANPA.US,5,20250813,153500,40.46,40.46,40.46,40.46,100,0
ANPA.US,5,20250813,155500,40,40,40,40,100,0
ANPA.US,5,20250813,160500,41.9999,41.9999,40.5,40.5,290,0
ANPA.US,5,20250813,161000,38.42,41.59,38.42,41.59,289,0
ANPA.US,5,20250813,162000,41.69,41.69,41.69,41.69,105,0
ANPA.US,5,20250813,163000,42,42,42,42,100,0
ANPA.US,5,20250813,163500,42.75,42.75,42.75,42.75,242,0
ANPA.US,5,20250813,164000,43.01,43.01,43.01,43.01,426,0
ANPA.US,5,20250813,165000,43.89,43.89,43.89,43.89,100,0
ANPA.US,5,20250813,165500,44,44,42.3,42.3,200,0
ANPA.US,5,20250813,170000,42.32,42.32,39.69,39.69,400,0
ANPA.US,5,20250813,170500,41,42.44,41,42.245,700,0
ANPA.US,5,20250813,171000,41.8,41.99,41.8,41.99,218,0
ANPA.US,5,20250813,172500,41,41,41,41,100,0
ANPA.US,5,20250813,183500,40.99,40.99,40.99,40.99,100,0
ANPA.US,5,20250813,185000,41,41,41,41,100,0
ANPA.US,5,20250813,190500,41.5,41.5,41.3901,41.3901,200,0
ANPA.US,5,20250813,200000,40.26,40.26,39.69,39.69,550,0
ANPA.US,5,20250813,200500,39.2,39.2,38,38,1733,0
ANPA.US,5,20250813,201000,37.298,37.298,37.298,37.298,968,0
ANPA.US,5,20250813,201500,37.5,38.86,37.5,38.86,383,0
ANPA.US,5,20250813,203000,37.1,37.1,34.75,37.0855,1486,0
ANPA.US,5,20250813,203500,34.8365,34.8365,34.75,34.75,762,0
ANPA.US,5,20250813,204000,35,35,35,35,100,0
ANPA.US,5,20250813,204500,33.9,33.9,33.8,33.8,441,0
ANPA.US,5,20250813,205000,32.01,33.4,32.01,33.4,1309,0
ANPA.US,5,20250813,205500,33.2,35,33.2,35,509,0
ANPA.US,5,20250813,210500,38.95,38.95,38.85,38.9,700,0
ANPA.US,5,20250813,211000,40,41,40,40,429,0
ANPA.US,5,20250813,211500,41.39,41.39,41.39,41.39,213,0
ANPA.US,5,20250813,212500,40.71,40.71,40.71,40.71,200,0
ANPA.US,5,20250813,213500,41.11,41.11,40.74,40.74,392,0
ANPA.US,5,20250813,214000,39.62,39.62,39.62,39.62,135,0
ANPA.US,5,20250813,215000,41.8791,41.8791,40.2,40.2,1878,0
ANPA.US,5,20250813,215500,38.2,39.8,37.73,39.8,542,0
ANPA.US,5,20250814,153000,39.51,39.51,36.8119,38.36,5853,0
ANPA.US,5,20250814,153500,38.99,38.99,37.765,37.765,478,0
ANPA.US,5,20250814,154000,38.4,38.5,38.4,38.5,200,0
ANPA.US,5,20250814,154500,38.5,38.5,38.5,38.5,100,0
ANPA.US,5,20250814,155000,38.61,38.61,38.01,38.21,1020,0
ANPA.US,5,20250814,155500,38.25,38.25,38.25,38.25,200,0
ANPA.US,5,20250814,160000,38.21,38.21,38.2,38.2,500,0
ANPA.US,5,20250814,161000,38.01,38.01,37.7,37.7,800,0
ANPA.US,5,20250814,162500,37.5001,38,37.5001,37.51,2819,0
ANPA.US,5,20250814,165000,38.2741,38.2741,38,38,200,0
ANPA.US,5,20250814,165500,38,38,37.9,37.905,400,0
ANPA.US,5,20250814,170500,37.6486,37.9,37.6486,37.9,300,0
ANPA.US,5,20250814,171500,37.9,37.9,37.59,37.59,298,0
ANPA.US,5,20250814,172500,38.1,38.1,38.1,38.1,100,0
ANPA.US,5,20250814,173000,37.95,37.95,37.95,37.95,100,0
ANPA.US,5,20250814,174000,38.2,38.2,38.2,38.2,200,0
ANPA.US,5,20250814,174500,38.2,38.2,37.9,37.9,200,0
ANPA.US,5,20250814,181500,37.75,38.4223,37.7,38.035,993,0
ANPA.US,5,20250814,182000,37.8939,37.8939,37.5,37.5,500,0
ANPA.US,5,20250814,182500,37,37,37,37,209,0
ANPA.US,5,20250814,184500,37.665,37.665,36.9,36.96,1720,0
ANPA.US,5,20250814,191000,36.8,36.81,36.8,36.81,200,0
ANPA.US,5,20250814,191500,36.87,36.87,36.86,36.86,333,0
ANPA.US,5,20250814,193500,36.98,36.99,36.98,36.99,1517,0
ANPA.US,5,20250814,195500,36.99,36.99,34.6801,34.6801,1786,0
ANPA.US,5,20250814,200500,35.5,36.04,35.34,35.34,1512,0
ANPA.US,5,20250814,201000,35.65,35.75,35.65,35.75,200,0
ANPA.US,5,20250814,202500,36,36,35.98,35.98,350,0
ANPA.US,5,20250814,204500,35.34,35.515,35.2,35.515,1700,0
ANPA.US,5,20250814,205000,35.2,36,35.04,36,10452,0
ANPA.US,5,20250814,205500,36,36,34.68,34.68,1070,0
ANPA.US,5,20250814,210000,34.61,34.61,34.61,34.61,100,0
ANPA.US,5,20250814,210500,34.38,34.38,33.502,33.502,2213,0
ANPA.US,5,20250814,211500,33.705,36.89,33.705,34.36,566,0
ANPA.US,5,20250814,214000,34.25,34.25,34.25,34.25,400,0
ANPA.US,5,20250814,215000,33.5001,33.5001,31.0101,31.97,3592,0
ANPA.US,5,20250814,215500,31.95,32.1,31.95,32,686,0
ANPA.US,5,20250815,153000,33.93,33.93,33.86,33.93,992,0
ANPA.US,5,20250815,155500,34.5,34.5,34.11,34.11,202,0
ANPA.US,5,20250815,161000,33.51,33.51,33.51,33.51,120,0
ANPA.US,5,20250815,161500,34,34,34,34,100,0
ANPA.US,5,20250815,171000,34,34,34,34,100,0
ANPA.US,5,20250815,175500,35.04,35.04,35.04,35.04,342,0
ANPA.US,5,20250815,184500,35.04,35.04,35.04,35.04,300,0
ANPA.US,5,20250815,210000,35.8986,35.8986,35.8986,35.8986,100,0
ANPA.US,5,20250815,210500,35.82,36.67,35.82,35.925,800,0
ANPA.US,5,20250815,212000,36.41,36.41,36.41,36.41,200,0
ANPA.US,5,20250815,214000,36.4,36.4,36.4,36.4,1732,0
ANPA.US,5,20250815,215500,35.17,36.5,35.17,36.5,584,0
ANPA.US,5,20250818,153000,33.01,34.5,33.01,34.5,705,0
