<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARTCU.US,5,20260106,164500,10,10,9.98,9.985,3334908,0
ARTCU.US,5,20260106,165000,9.98,9.99,9.98,9.98,467780,0
ARTCU.US,5,20260106,165500,9.985,9.99,9.98,9.985,271500,0
ARTCU.US,5,20260106,170000,9.98,9.99,9.98,9.985,445511,0
ARTCU.US,5,20260106,170500,9.985,9.99,9.98,9.99,1193257,0
ARTCU.US,5,20260106,171000,9.99,9.995,9.98,9.985,379220,0
ARTCU.US,5,20260106,171500,9.985,9.995,9.985,9.985,328766,0
ARTCU.US,5,20260106,172000,9.985,9.985,9.985,9.985,7500,0
ARTCU.US,5,20260106,172500,9.985,9.985,9.985,9.985,5000,0
ARTCU.US,5,20260106,173000,9.985,9.985,9.985,9.985,5000,0
ARTCU.US,5,20260106,173500,9.985,9.985,9.985,9.985,2600,0
ARTCU.US,5,20260106,174000,9.985,9.985,9.985,9.985,1200,0
ARTCU.US,5,20260106,174500,9.985,9.985,9.985,9.985,1220,0
ARTCU.US,5,20260106,175000,9.985,9.985,9.98,9.985,81220,0
ARTCU.US,5,20260106,175500,9.985,9.985,9.98,9.98,14108,0
ARTCU.US,5,20260106,180000,9.98,9.985,9.98,9.985,4410,0
ARTCU.US,5,20260106,180500,9.985,9.99,9.98,9.98,257180,0
ARTCU.US,5,20260106,181000,9.98,9.985,9.98,9.98,4500,0
ARTCU.US,5,20260106,181500,9.98,9.985,9.98,9.98,7520,0
ARTCU.US,5,20260106,182000,9.98,9.985,9.98,9.98,3316,0
ARTCU.US,5,20260106,182500,9.98,9.985,9.98,9.98,44241,0
ARTCU.US,5,20260106,183000,9.98,9.99,9.98,9.98,103820,0
ARTCU.US,5,20260106,183500,9.98,9.985,9.98,9.98,144580,0
ARTCU.US,5,20260106,184000,9.98,9.985,9.98,9.98,276890,0
ARTCU.US,5,20260106,184500,9.98,9.98,9.98,9.98,4808,0
ARTCU.US,5,20260106,185000,9.98,9.98,9.98,9.98,38871,0
ARTCU.US,5,20260106,185500,9.98,9.99,9.98,9.985,324676,0
ARTCU.US,5,20260106,190000,9.98,9.985,9.98,9.985,4950,0
ARTCU.US,5,20260106,190500,9.985,9.99,9.98,9.985,82947,0
ARTCU.US,5,20260106,191000,9.985,9.985,9.98,9.98,19700,0
ARTCU.US,5,20260106,191500,9.98,9.99,9.98,9.985,142509,0
ARTCU.US,5,20260106,192000,9.99,9.995,9.985,9.99,105938,0
ARTCU.US,5,20260106,192500,9.99,9.995,9.99,9.99,25680,0
ARTCU.US,5,20260106,193000,9.995,9.995,9.99,9.99,32090,0
ARTCU.US,5,20260106,193500,9.99,9.99,9.98,9.99,254016,0
ARTCU.US,5,20260106,194000,9.99,9.99,9.99,9.99,6986,0
ARTCU.US,5,20260106,194500,9.99,9.995,9.985,9.985,27146,0
ARTCU.US,5,20260106,195000,9.985,9.985,9.985,9.985,7885,0
ARTCU.US,5,20260106,195500,9.985,9.985,9.985,9.985,5800,0
ARTCU.US,5,20260106,200000,9.985,9.985,9.985,9.985,4600,0
ARTCU.US,5,20260106,200500,9.985,9.985,9.985,9.985,4900,0
ARTCU.US,5,20260106,201000,9.985,9.985,9.985,9.985,4900,0
ARTCU.US,5,20260106,201500,9.985,9.99,9.98,9.99,59833,0
ARTCU.US,5,20260106,202000,9.985,9.99,9.985,9.985,3900,0
ARTCU.US,5,20260106,202500,9.99,9.99,9.985,9.985,6610,0
ARTCU.US,5,20260106,203000,9.985,9.99,9.985,9.985,6100,0
ARTCU.US,5,20260106,203500,9.985,9.99,9.985,9.985,12343,0
ARTCU.US,5,20260106,204000,9.985,9.99,9.985,9.99,135400,0
ARTCU.US,5,20260106,204500,9.995,9.995,9.995,9.995,2487,0
ARTCU.US,5,20260106,205500,9.99,9.995,9.99,9.99,5740,0
ARTCU.US,5,20260106,210000,10,10,9.99,9.99,314765,0
ARTCU.US,5,20260106,210500,9.99,9.995,9.99,9.99,207230,0
ARTCU.US,5,20260106,211000,9.99,9.99,9.99,9.99,4016,0
ARTCU.US,5,20260106,211500,9.99,10,9.985,9.99,76529,0
ARTCU.US,5,20260106,212000,9.99,9.995,9.985,9.985,95578,0
ARTCU.US,5,20260106,212500,9.985,9.985,9.985,9.985,7428,0
ARTCU.US,5,20260106,213000,9.985,9.985,9.98,9.985,55900,0
ARTCU.US,5,20260106,213500,9.985,9.985,9.985,9.985,200,0
ARTCU.US,5,20260106,214000,9.985,9.985,9.985,9.985,113,0
ARTCU.US,5,20260106,214500,9.985,9.99,9.985,9.985,71711,0
ARTCU.US,5,20260106,215000,9.985,9.99,9.98,9.985,44747,0
ARTCU.US,5,20260106,215500,9.985,9.985,9.98,9.985,19429,0
ARTCU.US,5,20260107,153000,9.995,10,9.995,10,8201,0
ARTCU.US,5,20260107,153500,10,10,9.9946,9.9946,38728,0
ARTCU.US,5,20260107,155000,9.9916,9.9916,9.9916,9.9916,2921,0
ARTCU.US,5,20260107,160500,9.99,9.99,9.99,9.99,3500,0
ARTCU.US,5,20260107,161000,9.995,9.995,9.995,9.995,10000,0
ARTCU.US,5,20260107,164500,9.995,10,9.995,9.995,114300,0
ARTCU.US,5,20260107,165000,10,10,9.995,9.9998,100436,0
ARTCU.US,5,20260107,170500,9.9999,9.9999,9.9999,9.9999,100,0
ARTCU.US,5,20260107,172500,10,10,9.995,9.995,100516,0
ARTCU.US,5,20260107,174000,9.995,9.995,9.995,9.995,100,0
ARTCU.US,5,20260107,180500,9.995,9.995,9.995,9.995,200,0
ARTCU.US,5,20260107,211000,9.995,9.995,9.99,9.99,3600,0
ARTCU.US,5,20260107,215500,9.99,9.995,9.99,9.99,74824,0
ARTCU.US,5,20260108,154000,9.995,10,9.995,10,6997,0
ARTCU.US,5,20260108,154500,10,10,10,10,136500,0
ARTCU.US,5,20260108,155000,10,10,9.99,9.99,178856,0
ARTCU.US,5,20260108,155500,10,10,10,10,100000,0
ARTCU.US,5,20260108,160000,9.995,10,9.995,10,10850,0
ARTCU.US,5,20260108,170000,9.995,9.995,9.995,9.995,1000,0
ARTCU.US,5,20260108,173500,9.9916,9.9916,9.9916,9.9916,3000,0
ARTCU.US,5,20260108,204500,9.99,9.99,9.99,9.99,29321,0
ARTCU.US,5,20260108,205000,9.99,9.99,9.99,9.99,800,0
ARTCU.US,5,20260108,205500,9.99,9.99,9.99,9.99,5500,0
ARTCU.US,5,20260108,210000,9.99,9.99,9.99,9.99,5800,0
ARTCU.US,5,20260108,210500,9.99,9.99,9.985,9.985,145243,0
ARTCU.US,5,20260108,211000,9.9888,9.9888,9.9888,9.9888,100,0
ARTCU.US,5,20260108,214000,9.985,9.985,9.985,9.985,100,0
ARTCU.US,5,20260108,214500,9.99,9.995,9.99,9.995,25280,0
ARTCU.US,5,20260108,215000,9.99,9.995,9.99,9.99,40605,0
ARTCU.US,5,20260108,215500,9.99,9.99,9.985,9.985,30853,0
