<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBCQU.US,5,20260108,170000,10.03,10.07,10.03,10.05,1164371,0
BBCQU.US,5,20260108,170500,10.05,10.06,10.05,10.05,289216,0
BBCQU.US,5,20260108,171000,10.05,10.05,10.05,10.05,5260,0
BBCQU.US,5,20260108,171500,10.05,10.055,10.05,10.05,24340,0
BBCQU.US,5,20260108,172000,10.05,10.05,10.05,10.05,129430,0
BBCQU.US,5,20260108,172500,10.05,10.05,10.05,10.05,14290,0
BBCQU.US,5,20260108,173000,10.05,10.05,10.05,10.05,13508,0
BBCQU.US,5,20260108,173500,10.05,10.055,10.05,10.05,126300,0
BBCQU.US,5,20260108,174000,10.05,10.055,10.05,10.05,584800,0
BBCQU.US,5,20260108,174500,10.05,10.055,10.05,10.055,5200,0
BBCQU.US,5,20260108,175000,10.055,10.06,10.05,10.055,51350,0
BBCQU.US,5,20260108,175500,10.055,10.06,10.05,10.055,4120,0
BBCQU.US,5,20260108,180000,10.05,10.055,10.05,10.05,28120,0
BBCQU.US,5,20260108,180500,10.055,10.0582,10.055,10.055,3736,0
BBCQU.US,5,20260108,181000,10.05,10.055,10.05,10.055,6030,0
BBCQU.US,5,20260108,181500,10.055,10.055,10.055,10.055,6501,0
BBCQU.US,5,20260108,182000,10.055,10.06,10.05,10.055,106765,0
BBCQU.US,5,20260108,182500,10.055,10.06,10.05,10.055,56700,0
BBCQU.US,5,20260108,183000,10.055,10.055,10.055,10.055,2770,0
BBCQU.US,5,20260108,183500,10.05,10.055,10.05,10.05,4100,0
BBCQU.US,5,20260108,184000,10.05,10.055,10.05,10.05,108110,0
BBCQU.US,5,20260108,184500,10.05,10.05,10.05,10.05,3679,0
BBCQU.US,5,20260108,185000,10.05,10.05,10.05,10.05,29400,0
BBCQU.US,5,20260108,185500,10.05,10.05,10.05,10.05,400,0
BBCQU.US,5,20260108,190000,10.05,10.06,10.05,10.05,429810,0
BBCQU.US,5,20260108,190500,10.05,10.055,10.05,10.05,12100,0
BBCQU.US,5,20260108,191000,10.05,10.055,10.05,10.05,108666,0
BBCQU.US,5,20260108,191500,10.05,10.05,10.05,10.05,1500,0
BBCQU.US,5,20260108,192000,10.05,10.05,10.04,10.045,10378,0
BBCQU.US,5,20260108,192500,10.04,10.04,10.04,10.04,200,0
BBCQU.US,5,20260108,193000,10.04,10.04,10.04,10.04,7600,0
BBCQU.US,5,20260108,194000,10.04,10.04,10.04,10.04,100,0
BBCQU.US,5,20260108,194500,10.04,10.04,10.04,10.04,300,0
BBCQU.US,5,20260108,195000,10.04,10.04,10.04,10.04,300,0
BBCQU.US,5,20260108,195500,10.04,10.05,10.04,10.045,67375,0
BBCQU.US,5,20260108,200000,10.045,10.045,10.045,10.045,3200,0
BBCQU.US,5,20260108,200500,10.045,10.045,10.045,10.045,3700,0
BBCQU.US,5,20260108,201000,10.04,10.04,10.04,10.04,14812,0
BBCQU.US,5,20260108,201500,10.045,10.045,10.045,10.045,3280,0
BBCQU.US,5,20260108,202000,10.045,10.05,10.04,10.045,55274,0
BBCQU.US,5,20260108,202500,10.045,10.05,10.04,10.045,35130,0
BBCQU.US,5,20260108,203000,10.045,10.05,10.04,10.04,11379,0
BBCQU.US,5,20260108,203500,10.045,10.05,10.04,10.04,13006,0
BBCQU.US,5,20260108,204000,10.045,10.05,10.04,10.04,12050,0
BBCQU.US,5,20260108,204500,10.045,10.05,10.04,10.04,24547,0
BBCQU.US,5,20260108,205000,10.04,10.05,10.04,10.045,52857,0
BBCQU.US,5,20260108,205500,10.04,10.045,10.04,10.04,12251,0
BBCQU.US,5,20260108,210000,10.04,10.045,10.04,10.04,16503,0
BBCQU.US,5,20260108,210500,10.04,10.045,10.04,10.04,9587,0
BBCQU.US,5,20260108,211000,10.04,10.045,10.04,10.04,19653,0
BBCQU.US,5,20260108,211500,10.04,10.045,10.04,10.045,9979,0
BBCQU.US,5,20260108,212000,10.04,10.045,10.04,10.04,13810,0
BBCQU.US,5,20260108,212500,10.04,10.05,10.04,10.04,11342,0
BBCQU.US,5,20260108,213000,10.04,10.045,10.04,10.04,21874,0
BBCQU.US,5,20260108,213500,10.04,10.045,10.04,10.04,19090,0
BBCQU.US,5,20260108,214000,10.04,10.045,10.04,10.04,10685,0
BBCQU.US,5,20260108,214500,10.04,10.045,10.04,10.04,20980,0
BBCQU.US,5,20260108,215000,10.04,10.045,10.03,10.035,117461,0
BBCQU.US,5,20260108,215500,10.03,10.04,10.03,10.03,280081,0
