<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCARU.US,5,20250813,155000,9.95,9.95,9.95,9.95,15387,0
BCARU.US,5,20250813,162500,9.945,9.945,9.94,9.945,6541,0
BCARU.US,5,20250813,164000,9.9435,9.9435,9.9435,9.9435,100,0
BCARU.US,5,20250813,181000,9.95,9.95,9.95,9.95,1000,0
BCARU.US,5,20250813,190500,9.945,9.945,9.94,9.94,114032,0
BCARU.US,5,20250813,204500,9.945,9.945,9.945,9.945,100,0
BCARU.US,5,20250813,213000,9.94,9.94,9.94,9.94,176,0
BCARU.US,5,20250813,215000,9.95,9.95,9.94,9.94,226,0
BCARU.US,5,20250814,153000,9.95,9.95,9.95,9.95,500,0
BCARU.US,5,20250814,160000,9.95,9.95,9.95,9.95,19770,0
BCARU.US,5,20250814,164000,9.945,9.945,9.945,9.945,100,0
BCARU.US,5,20250814,172500,9.94,9.94,9.94,9.94,12312,0
BCARU.US,5,20250814,180500,9.945,9.945,9.945,9.945,100,0
BCARU.US,5,20250814,181000,9.945,9.945,9.945,9.945,5000,0
BCARU.US,5,20250814,185500,9.94,9.94,9.94,9.94,600,0
BCARU.US,5,20250814,193000,9.945,9.945,9.945,9.945,10736,0
BCARU.US,5,20250814,195500,9.945,9.945,9.945,9.945,100,0
BCARU.US,5,20250815,153000,9.95,9.95,9.9493,9.95,49958,0
BCARU.US,5,20250815,153500,9.95,9.95,9.949,9.95,20000,0
BCARU.US,5,20250815,154000,9.95,9.95,9.95,9.95,30000,0
BCARU.US,5,20250815,163000,9.95,9.95,9.95,9.95,100,0
BCARU.US,5,20250815,171500,9.95,9.95,9.95,9.95,2447,0
BCARU.US,5,20250815,172500,9.95,9.95,9.95,9.95,635,0
BCARU.US,5,20250815,174000,9.95,9.95,9.95,9.95,50146,0
BCARU.US,5,20250815,174500,9.95,9.95,9.95,9.95,49940,0
BCARU.US,5,20250815,200500,9.95,9.95,9.95,9.95,200,0
BCARU.US,5,20250815,210500,9.95,9.95,9.95,9.95,3000,0
BCARU.US,5,20250815,214500,9.95,9.95,9.95,9.95,100,0
BCARU.US,5,20250818,153000,9.96,9.96,9.96,9.96,1000,0
BCARU.US,5,20250818,162000,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250818,194000,9.955,9.955,9.955,9.955,800,0
BCARU.US,5,20250818,195500,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250818,200000,9.9519,9.9519,9.9519,9.9519,700,0
BCARU.US,5,20250818,210000,9.955,9.955,9.955,9.955,600,0
BCARU.US,5,20250818,210500,9.96,9.96,9.955,9.955,4000,0
BCARU.US,5,20250818,215500,9.96,9.96,9.96,9.96,871,0
BCARU.US,5,20250819,163500,9.965,9.97,9.965,9.97,1000,0
BCARU.US,5,20250819,172500,9.98,9.98,9.97,9.97,700,0
BCARU.US,5,20250819,191500,9.97,9.97,9.965,9.965,600,0
BCARU.US,5,20250819,195000,9.965,9.965,9.965,9.965,100,0
BCARU.US,5,20250819,200000,9.96,9.96,9.96,9.96,12400,0
BCARU.US,5,20250819,202500,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250819,204000,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250819,205000,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250819,210500,9.96,9.965,9.96,9.965,7200,0
BCARU.US,5,20250819,212500,9.965,9.965,9.965,9.965,100,0
BCARU.US,5,20250819,213000,9.96,9.965,9.95,9.95,24454,0
BCARU.US,5,20250819,214500,9.96,9.96,9.95,9.95,1240,0
BCARU.US,5,20250819,215500,9.95,9.955,9.95,9.955,314,0
BCARU.US,5,20250820,154000,9.98,9.98,9.98,9.98,28500,0
BCARU.US,5,20250820,154500,9.98,9.98,9.98,9.98,3200,0
BCARU.US,5,20250820,155000,9.98,9.98,9.98,9.98,3100,0
BCARU.US,5,20250820,155500,9.98,9.98,9.98,9.98,3200,0
BCARU.US,5,20250820,160000,9.97,9.975,9.97,9.97,1300,0
BCARU.US,5,20250820,161000,9.97,9.975,9.97,9.97,39976,0
BCARU.US,5,20250820,161500,9.97,9.97,9.97,9.97,45398,0
BCARU.US,5,20250820,162000,9.97,9.97,9.97,9.97,3000,0
BCARU.US,5,20250820,162500,9.975,9.975,9.975,9.975,200,0
BCARU.US,5,20250820,163000,9.975,9.98,9.975,9.98,34627,0
BCARU.US,5,20250820,163500,9.98,9.985,9.98,9.9801,22928,0
BCARU.US,5,20250820,164000,9.98,9.9965,9.98,9.9965,5000,0
BCARU.US,5,20250820,170000,9.99,9.995,9.99,9.995,2184,0
BCARU.US,5,20250820,170500,9.99,10,9.99,10,5100,0
BCARU.US,5,20250820,171000,9.99,10,9.99,10,15100,0
BCARU.US,5,20250820,172000,9.995,9.995,9.99,9.99,20000,0
BCARU.US,5,20250820,173000,9.9965,9.9965,9.9965,9.9965,100,0
BCARU.US,5,20250820,174500,9.9954,9.9954,9.9954,9.9954,100,0
BCARU.US,5,20250820,180500,9.995,9.995,9.995,9.995,700,0
BCARU.US,5,20250820,192000,9.9965,9.9965,9.99,9.99,400,0
BCARU.US,5,20250820,194000,9.99,9.995,9.99,9.995,50000,0
BCARU.US,5,20250820,194500,10,10,10,10,1058,0
BCARU.US,5,20250820,195500,9.99,9.99,9.99,9.99,13851,0
BCARU.US,5,20250820,201000,9.99,9.99,9.99,9.99,72475,0
BCARU.US,5,20250820,205500,10,10,10,10,1200,0
BCARU.US,5,20250820,212500,10,10,10,10,100,0
BCARU.US,5,20250820,214000,10,10,10,10,100,0
BCARU.US,5,20250820,215000,10,10,10,10,1203,0
BCARU.US,5,20250821,172500,10,10,10,10,635,0
BCARU.US,5,20250821,174500,9.97,9.985,9.97,9.985,6400,0
BCARU.US,5,20250821,192000,9.9807,9.9807,9.9807,9.9807,2100,0
BCARU.US,5,20250821,194500,9.985,9.985,9.985,9.985,100,0
BCARU.US,5,20250821,215000,9.98,9.98,9.98,9.98,706,0
BCARU.US,5,20250821,215500,9.99,9.99,9.99,9.99,787,0
BCARU.US,5,20250822,183500,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250822,184000,9.98,9.98,9.98,9.98,500,0
BCARU.US,5,20250822,193000,9.98,9.98,9.97,9.98,5906,0
BCARU.US,5,20250822,205000,9.98,9.98,9.98,9.98,30594,0
BCARU.US,5,20250822,212000,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250825,173000,9.99,9.99,9.99,9.99,100,0
BCARU.US,5,20250825,181000,9.99,9.99,9.99,9.99,100,0
BCARU.US,5,20250825,195000,9.98,9.98,9.98,9.98,200,0
BCARU.US,5,20250825,195500,9.98,9.98,9.98,9.98,1600,0
BCARU.US,5,20250825,205500,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250825,211000,9.98,9.98,9.98,9.98,1800,0
BCARU.US,5,20250825,213000,9.99,9.99,9.99,9.99,100,0
BCARU.US,5,20250826,172000,9.99,9.99,9.99,9.99,950,0
BCARU.US,5,20250826,211500,9.99,9.99,9.99,9.99,585,0
BCARU.US,5,20250826,212000,9.985,9.985,9.98,9.98,1711,0
BCARU.US,5,20250826,212500,9.9843,9.9843,9.9843,9.9843,2000,0
BCARU.US,5,20250826,215000,9.985,9.985,9.98,9.98,9285,0
BCARU.US,5,20250827,164000,9.96,9.96,9.96,9.96,700,0
BCARU.US,5,20250827,164500,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250827,165500,9.975,9.975,9.975,9.975,100,0
BCARU.US,5,20250827,180500,9.96,9.96,9.96,9.96,897,0
BCARU.US,5,20250827,183500,9.975,9.975,9.975,9.975,100,0
BCARU.US,5,20250827,193500,9.96,9.96,9.96,9.96,400,0
BCARU.US,5,20250827,203500,9.96,9.96,9.96,9.96,200,0
BCARU.US,5,20250827,204000,9.975,9.975,9.975,9.975,100,0
BCARU.US,5,20250827,210000,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250827,211500,9.975,9.975,9.96,9.96,400,0
BCARU.US,5,20250827,213000,9.99,9.99,9.99,9.99,100,0
BCARU.US,5,20250827,215000,9.95,9.95,9.95,9.95,882,0
BCARU.US,5,20250828,171500,9.96,9.98,9.96,9.98,1222,0
BCARU.US,5,20250828,174000,9.97,9.97,9.97,9.97,1173,0
BCARU.US,5,20250828,190500,9.96,9.96,9.96,9.96,300,0
BCARU.US,5,20250828,194000,9.96,9.96,9.96,9.96,200,0
BCARU.US,5,20250902,162000,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250902,165000,9.9706,9.9706,9.9706,9.9706,2516,0
BCARU.US,5,20250902,190500,9.97,9.97,9.97,9.97,300,0
BCARU.US,5,20250902,191000,9.96,9.96,9.96,9.96,100,0
BCARU.US,5,20250902,204000,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250902,210500,9.97,9.98,9.97,9.98,202,0
BCARU.US,5,20250903,160500,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250905,154500,9.97,9.97,9.97,9.97,100,0
BCARU.US,5,20250905,175000,9.98,9.98,9.98,9.98,562,0
BCARU.US,5,20250908,192500,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250908,194000,9.97,9.97,9.97,9.97,100,0
BCARU.US,5,20250908,195000,9.97,9.97,9.97,9.97,100,0
BCARU.US,5,20250908,200000,9.97,9.97,9.97,9.97,100,0
BCARU.US,5,20250908,203500,9.97,9.97,9.97,9.97,1000,0
BCARU.US,5,20250909,165500,9.9745,9.9745,9.9745,9.9745,1000,0
BCARU.US,5,20250909,181000,9.98,9.98,9.98,9.98,100,0
BCARU.US,5,20250909,190500,9.98,9.98,9.98,9.98,638,0
BCARU.US,5,20250909,214500,9.98,9.98,9.98,9.98,9373,0
BCARU.US,5,20250910,165000,9.97,9.97,9.97,9.97,240,0
BCARU.US,5,20250910,165500,10,10,9.97,10,300,0
BCARU.US,5,20250911,174000,9.98,10,9.98,9.98,5926,0
BCARU.US,5,20250912,153500,9.98,10.0523,9.98,10.0523,250,0
BCARU.US,5,20250912,161000,10,10,10,10,100,0
BCARU.US,5,20250915,154500,10,10,10,10,300,0
BCARU.US,5,20250915,155000,9.98,9.98,9.98,9.98,200,0
BCARU.US,5,20250915,204000,10,10,10,10,638,0
BCARU.US,5,20250916,153500,10.0436,10.0436,10.0436,10.0436,100,0
BCARU.US,5,20250916,154000,10.266,10.318,10.204,10.318,450,0
BCARU.US,5,20250916,160000,10,10,10,10,100,0
BCARU.US,5,20250916,164500,9.9994,10,9.987,10,400,0
BCARU.US,5,20250916,170500,9.98,9.98,9.98,9.98,120,0
BCARU.US,5,20250916,171500,9.98,9.98,9.98,9.98,120,0
BCARU.US,5,20250916,172000,9.98,9.98,9.98,9.98,120,0
BCARU.US,5,20250916,180500,10,10,10,10,100,0
BCARU.US,5,20250916,193000,10,10,10,10,100,0
BCARU.US,5,20250917,153500,10.0513,10.5,10.0513,10.188,400,0
BCARU.US,5,20250917,160000,10,10,9.9979,10,400,0
BCARU.US,5,20250917,183000,10,10,10,10,638,0
BCARU.US,5,20250918,153500,10,10,10,10,1150,0
BCARU.US,5,20250918,154500,10,10,10,10,100,0
BCARU.US,5,20250918,161000,9.99,9.99,9.99,9.99,120,0
BCARU.US,5,20250918,161500,9.99,9.99,9.99,9.99,120,0
BCARU.US,5,20250919,174000,10.33,10.33,10.33,10.33,600,0
BCARU.US,5,20250919,210000,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250922,163000,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250922,164000,10.01,10.01,10.01,10.01,120,0
BCARU.US,5,20250922,164500,10.01,10.01,10.01,10.01,120,0
BCARU.US,5,20250922,165000,10.01,10.01,10.01,10.01,120,0
BCARU.US,5,20250922,170500,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250922,185500,10.01,10.01,10.01,10.01,491,0
BCARU.US,5,20250922,205500,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250923,164500,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250923,174000,10.05,10.05,10.05,10.05,600,0
BCARU.US,5,20250923,175500,10.01,10.01,10.01,10.01,100,0
BCARU.US,5,20250923,181000,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250923,185000,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250924,153500,10.31,10.31,10.31,10.31,100,0
BCARU.US,5,20250924,192500,10.05,10.05,10.05,10.05,100,0
BCARU.US,5,20250925,162000,10.04,10.04,10.04,10.04,100,0
BCARU.US,5,20250925,163000,10,10.03,10,10.03,220,0
BCARU.US,5,20250925,163500,10,10.03,10,10.03,220,0
BCARU.US,5,20250926,174000,10.04,10.04,10.04,10.04,100,0
BCARU.US,5,20250926,175000,10.05,10.05,10.05,10.05,640,0
BCARU.US,5,20250929,165000,10.03,10.03,10.03,10.03,100,0
BCARU.US,5,20250929,165500,10,10.03,10,10.03,220,0
BCARU.US,5,20250929,170000,10,10,10,10,120,0
