<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFRG.US,5,20250813,153000,1.28,1.3,1.28,1.3,2224,0
BFRG.US,5,20250813,153500,1.2983,1.2999,1.2837,1.2983,5957,0
BFRG.US,5,20250813,154000,1.2999,1.32,1.29,1.3106,9756,0
BFRG.US,5,20250813,154500,1.311,1.311,1.311,1.311,200,0
BFRG.US,5,20250813,155000,1.31,1.31,1.305,1.305,14070,0
BFRG.US,5,20250813,155500,1.31,1.31,1.307,1.307,1406,0
BFRG.US,5,20250813,160000,1.3019,1.3019,1.3019,1.3019,250,0
BFRG.US,5,20250813,161000,1.305,1.305,1.295,1.295,1960,0
BFRG.US,5,20250813,161500,1.29,1.29,1.29,1.29,10000,0
BFRG.US,5,20250813,162000,1.295,1.295,1.28,1.28,25850,0
BFRG.US,5,20250813,162500,1.2932,1.2932,1.2932,1.2932,300,0
BFRG.US,5,20250813,164000,1.29,1.29,1.29,1.29,100,0
BFRG.US,5,20250813,164500,1.2995,1.3014,1.2995,1.3014,3899,0
BFRG.US,5,20250813,165000,1.2901,1.2901,1.2901,1.2901,1500,0
BFRG.US,5,20250813,165500,1.29,1.29,1.29,1.29,2000,0
BFRG.US,5,20250813,171000,1.3,1.3055,1.3,1.3055,2880,0
BFRG.US,5,20250813,172000,1.3032,1.3032,1.2894,1.2894,1530,0
BFRG.US,5,20250813,172500,1.2906,1.2906,1.2906,1.2906,125,0
BFRG.US,5,20250813,174000,1.29,1.29,1.29,1.29,590,0
BFRG.US,5,20250813,174500,1.2801,1.2906,1.2801,1.2906,1625,0
BFRG.US,5,20250813,181000,1.28,1.28,1.28,1.28,500,0
BFRG.US,5,20250813,182000,1.2894,1.2894,1.2894,1.2894,120,0
BFRG.US,5,20250813,182500,1.29,1.29,1.29,1.29,220,0
BFRG.US,5,20250813,183000,1.2999,1.2999,1.2999,1.2999,250,0
BFRG.US,5,20250813,184500,1.29,1.29,1.29,1.29,371,0
BFRG.US,5,20250813,185000,1.29,1.29,1.29,1.29,900,0
BFRG.US,5,20250813,190000,1.2844,1.2844,1.2844,1.2844,220,0
BFRG.US,5,20250813,191000,1.285,1.2892,1.285,1.2892,2550,0
BFRG.US,5,20250813,191500,1.2892,1.2892,1.2892,1.2892,1060,0
BFRG.US,5,20250813,192000,1.29,1.29,1.2801,1.2801,1330,0
BFRG.US,5,20250813,193500,1.3,1.3,1.3,1.3,1000,0
BFRG.US,5,20250813,195000,1.295,1.295,1.2905,1.2905,2000,0
BFRG.US,5,20250813,195500,1.29,1.2951,1.29,1.2951,3050,0
BFRG.US,5,20250813,201500,1.295,1.295,1.295,1.295,1230,0
BFRG.US,5,20250813,203000,1.295,1.295,1.295,1.295,230,0
BFRG.US,5,20250813,203500,1.29,1.29,1.29,1.29,600,0
BFRG.US,5,20250813,204500,1.295,1.295,1.295,1.295,240,0
BFRG.US,5,20250813,211000,1.3,1.33,1.3,1.33,31076,0
BFRG.US,5,20250813,211500,1.32,1.32,1.32,1.32,1000,0
BFRG.US,5,20250813,212000,1.32,1.32,1.32,1.32,100,0
BFRG.US,5,20250813,213000,1.315,1.315,1.315,1.315,250,0
BFRG.US,5,20250813,213500,1.322,1.322,1.322,1.322,1000,0
BFRG.US,5,20250813,214000,1.3241,1.3299,1.32,1.3299,8983,0
BFRG.US,5,20250813,214500,1.325,1.33,1.325,1.325,5300,0
BFRG.US,5,20250813,215000,1.3399,1.3399,1.3399,1.3399,150,0
BFRG.US,5,20250813,215500,1.33,1.33,1.32,1.33,3351,0
BFRG.US,5,20250814,153000,1.3,1.33,1.3,1.31,2135,0
BFRG.US,5,20250814,153500,1.28,1.33,1.28,1.3246,2646,0
BFRG.US,5,20250814,154000,1.33,1.33,1.29,1.29,200,0
BFRG.US,5,20250814,154500,1.29,1.3,1.28,1.29,3594,0
BFRG.US,5,20250814,155000,1.304,1.304,1.304,1.304,230,0
BFRG.US,5,20250814,155500,1.3277,1.3277,1.3232,1.3232,2100,0
BFRG.US,5,20250814,160000,1.315,1.315,1.29,1.29,12286,0
BFRG.US,5,20250814,160500,1.2847,1.2847,1.27,1.28,10713,0
BFRG.US,5,20250814,161000,1.261,1.261,1.26,1.26,10380,0
BFRG.US,5,20250814,161500,1.26,1.2601,1.25,1.25,8899,0
BFRG.US,5,20250814,162000,1.2961,1.2961,1.25,1.25,2041,0
BFRG.US,5,20250814,163500,1.26,1.28,1.26,1.28,4264,0
BFRG.US,5,20250814,164000,1.27,1.27,1.27,1.27,150,0
BFRG.US,5,20250814,164500,1.26,1.28,1.26,1.28,585,0
BFRG.US,5,20250814,165500,1.28,1.3,1.265,1.265,4274,0
BFRG.US,5,20250814,170000,1.27,1.27,1.27,1.27,600,0
BFRG.US,5,20250814,170500,1.2608,1.2656,1.26,1.26,1305,0
BFRG.US,5,20250814,172000,1.26,1.26,1.25,1.255,5201,0
BFRG.US,5,20250814,172500,1.255,1.26,1.255,1.26,1430,0
BFRG.US,5,20250814,173000,1.2594,1.2594,1.2594,1.2594,200,0
BFRG.US,5,20250814,173500,1.26,1.26,1.26,1.26,1170,0
BFRG.US,5,20250814,175000,1.25,1.2594,1.25,1.2594,2900,0
BFRG.US,5,20250814,180000,1.26,1.26,1.2599,1.26,3820,0
BFRG.US,5,20250814,181000,1.2523,1.2523,1.2523,1.2523,250,0
BFRG.US,5,20250814,182000,1.266,1.2698,1.2588,1.2594,822,0
BFRG.US,5,20250814,182500,1.255,1.26,1.2501,1.2501,1690,0
BFRG.US,5,20250814,183000,1.26,1.27,1.26,1.27,1615,0
BFRG.US,5,20250814,183500,1.265,1.2797,1.265,1.2797,3755,0
BFRG.US,5,20250814,184500,1.25,1.25,1.25,1.25,150,0
BFRG.US,5,20250814,185000,1.26,1.26,1.25,1.25,900,0
BFRG.US,5,20250814,191000,1.27,1.27,1.27,1.27,1090,0
BFRG.US,5,20250814,192000,1.27,1.27,1.27,1.27,300,0
BFRG.US,5,20250814,192500,1.28,1.28,1.28,1.28,110,0
BFRG.US,5,20250814,193000,1.285,1.285,1.285,1.285,198,0
BFRG.US,5,20250814,195000,1.27,1.27,1.265,1.265,500,0
BFRG.US,5,20250814,201000,1.26,1.26,1.26,1.26,1000,0
BFRG.US,5,20250814,202000,1.265,1.265,1.26,1.265,1480,0
BFRG.US,5,20250814,202500,1.2672,1.27,1.265,1.27,1623,0
BFRG.US,5,20250814,204000,1.265,1.265,1.265,1.265,100,0
BFRG.US,5,20250814,204500,1.265,1.265,1.265,1.265,700,0
BFRG.US,5,20250814,205500,1.2699,1.2699,1.261,1.261,600,0
BFRG.US,5,20250814,210000,1.27,1.27,1.2695,1.2699,1700,0
BFRG.US,5,20250814,211000,1.2601,1.2601,1.2601,1.2601,1000,0
BFRG.US,5,20250814,212000,1.27,1.2794,1.27,1.2794,1350,0
BFRG.US,5,20250814,213000,1.28,1.28,1.26,1.26,400,0
BFRG.US,5,20250814,213500,1.28,1.28,1.28,1.28,100,0
BFRG.US,5,20250814,214500,1.2602,1.28,1.26,1.2743,8700,0
BFRG.US,5,20250814,215000,1.27,1.27,1.27,1.27,100,0
BFRG.US,5,20250814,215500,1.285,1.285,1.27,1.28,1027,0
BFRG.US,5,20250815,153000,1.3,1.3,1.28,1.28,2000,0
BFRG.US,5,20250815,153500,1.29,1.29,1.287,1.287,800,0
BFRG.US,5,20250815,154000,1.28,1.28,1.25,1.25,4253,0
