<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIXIW.US,5,20251217,202500,0.1501,0.1501,0.1501,0.1501,650,0
BIXIW.US,5,20251217,213500,0.1501,0.1502,0.1501,0.1501,1900,0
BIXIW.US,5,20251217,214000,0.1501,0.1501,0.1501,0.1501,3450,0
BIXIW.US,5,20251217,214500,0.1501,0.1501,0.1501,0.1501,900,0
BIXIW.US,5,20251217,215000,0.1501,0.1501,0.1501,0.1501,375,0
BIXIW.US,5,20251217,215500,0.1501,0.1501,0.1501,0.1501,750,0
BIXIW.US,5,20251218,153000,0.2101,0.2101,0.2101,0.2101,100,0
BIXIW.US,5,20251218,155500,0.25,0.25,0.25,0.25,100,0
BIXIW.US,5,20251218,160500,0.21,0.21,0.2,0.21,1000,0
BIXIW.US,5,20251218,161500,0.249,0.249,0.249,0.249,214,0
BIXIW.US,5,20251218,162000,0.249,0.249,0.249,0.249,161,0
BIXIW.US,5,20251218,163000,0.249,0.249,0.249,0.249,162,0
BIXIW.US,5,20251218,164000,0.249,0.249,0.249,0.249,288,0
BIXIW.US,5,20251218,170000,0.249,0.249,0.249,0.249,120,0
BIXIW.US,5,20251218,181500,0.245,0.245,0.22305,0.22305,339,0
BIXIW.US,5,20251218,203500,0.245,0.245,0.245,0.245,1000,0
BIXIW.US,5,20251218,215000,0.224999,0.249,0.224999,0.232649,1700,0
BIXIW.US,5,20251219,153000,0.2775,0.2775,0.2775,0.2775,280,0
BIXIW.US,5,20251219,162500,0.2499,0.2499,0.2499,0.2499,2710,0
BIXIW.US,5,20251219,164000,0.25,0.25,0.25,0.25,1000,0
BIXIW.US,5,20251219,164500,0.2491,0.2491,0.23,0.23,1300,0
BIXIW.US,5,20251219,165000,0.23,0.2303,0.23,0.23,4865,0
BIXIW.US,5,20251219,172500,0.2301,0.2301,0.23,0.23,400,0
BIXIW.US,5,20251219,181000,0.23,0.23,0.21,0.21,181250,0
BIXIW.US,5,20251219,213000,0.2165,0.2475,0.2151,0.2151,700,0
BIXIW.US,5,20251219,215500,0.225,0.225,0.225,0.225,100,0
BIXIW.US,5,20251222,153000,0.2194,0.2194,0.2152,0.2152,300,0
BIXIW.US,5,20251222,154000,0.22,0.22,0.22,0.22,222,0
BIXIW.US,5,20251222,154500,0.3505,0.37,0.22,0.22,1100,0
BIXIW.US,5,20251222,170000,0.2842,0.298,0.2842,0.298,353,0
BIXIW.US,5,20251223,153000,0.3697,0.3697,0.3697,0.3697,125,0
BIXIW.US,5,20251223,153500,0.291,0.3436,0.2901,0.2901,806,0
BIXIW.US,5,20251223,154500,0.29,0.29,0.29,0.29,200,0
BIXIW.US,5,20251223,155500,0.2958,0.2958,0.2958,0.2958,100,0
BIXIW.US,5,20251223,164000,0.29,0.29,0.29,0.29,100,0
BIXIW.US,5,20251223,165000,0.29,0.29,0.29,0.29,350,0
BIXIW.US,5,20251223,173500,0.2628,0.2628,0.2628,0.2628,100,0
BIXIW.US,5,20251223,182000,0.2764,0.2764,0.2764,0.2764,500,0
BIXIW.US,5,20251223,204500,0.2628,0.2628,0.2628,0.2628,9835,0
BIXIW.US,5,20251223,215000,0.25555,0.25555,0.25555,0.25555,200,0
BIXIW.US,5,20251224,154500,0.2315,0.2315,0.2315,0.2315,100,0
BIXIW.US,5,20251226,160000,0.2211,0.2411,0.2211,0.2411,600,0
BIXIW.US,5,20251230,211500,0.27,0.28,0.27,0.28,1500,0
BIXIW.US,5,20251231,180000,0.28,0.28,0.28,0.28,500,0
BIXIW.US,5,20260102,171500,0.264999,0.28,0.264999,0.28,3500,0
BIXIW.US,5,20260105,173500,0.2276,0.23,0.2211,0.2213,25000,0
BIXIW.US,5,20260105,174000,0.26,0.26,0.26,0.26,200,0
BIXIW.US,5,20260105,185500,0.26,0.26,0.26,0.26,300,0
BIXIW.US,5,20260105,192500,0.2499,0.2499,0.2499,0.2499,2000,0
BIXIW.US,5,20260105,195000,0.246,0.2461,0.246,0.246,300,0
BIXIW.US,5,20260105,200500,0.2213,0.2213,0.22,0.22,13388,0
BIXIW.US,5,20260105,201000,0.2403,0.25,0.2403,0.25,11712,0
BIXIW.US,5,20260106,180500,0.2747,0.2747,0.25,0.25,6688,0
BIXIW.US,5,20260106,184500,0.25,0.25,0.25,0.25,100,0
BIXIW.US,5,20260106,194000,0.25,0.25,0.25,0.25,100,0
BIXIW.US,5,20260106,201500,0.25,0.25,0.25,0.25,400,0
BIXIW.US,5,20260106,215500,0.25,0.25,0.25,0.25,5000,0
BIXIW.US,5,20260107,193500,0.34,0.34,0.34,0.34,2500,0
BIXIW.US,5,20260108,164500,0.2201,0.2201,0.2201,0.2201,500,0
BIXIW.US,5,20260108,173000,0.282,0.282,0.282,0.282,1500,0
BIXIW.US,5,20260108,190500,0.312559,0.312559,0.312559,0.312559,100,0
BIXIW.US,5,20260108,195500,0.32,0.33,0.26,0.26,2911,0
