<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPAC.US,5,20260106,161500,9.91,9.91,9.91,9.91,400,0
BPAC.US,5,20260106,162000,9.92,9.92,9.89,9.89,400,0
BPAC.US,5,20260106,162500,9.88,9.88,9.87,9.87,1200,0
BPAC.US,5,20260106,163500,9.87,9.87,9.87,9.87,3400,0
BPAC.US,5,20260106,164000,9.88,9.88,9.88,9.88,1950,0
BPAC.US,5,20260106,164500,9.88,9.88,9.88,9.88,1100,0
BPAC.US,5,20260106,165000,9.87,9.87,9.87,9.87,1200,0
BPAC.US,5,20260106,171500,9.88,9.88,9.88,9.88,200,0
BPAC.US,5,20260106,172000,9.88,9.88,9.88,9.88,100,0
BPAC.US,5,20260106,172500,9.885,9.89,9.885,9.89,16300,0
BPAC.US,5,20260106,175500,9.88,9.89,9.88,9.89,500,0
BPAC.US,5,20260106,180000,9.89,9.89,9.89,9.89,2500,0
BPAC.US,5,20260106,184000,9.895,9.9,9.895,9.9,5100,0
BPAC.US,5,20260106,185000,9.9,9.9,9.895,9.895,200,0
BPAC.US,5,20260106,185500,9.9,9.9,9.895,9.9,7400,0
BPAC.US,5,20260106,190000,9.9,9.9,9.9,9.9,200,0
BPAC.US,5,20260106,191500,9.895,9.92,9.895,9.905,5700,0
BPAC.US,5,20260106,192000,9.91,9.91,9.9,9.9,1300,0
BPAC.US,5,20260106,205500,9.91,9.91,9.91,9.91,600,0
BPAC.US,5,20260106,211500,9.91,9.91,9.91,9.91,2000,0
BPAC.US,5,20260106,214500,9.91,9.91,9.91,9.91,1500,0
BPAC.US,5,20260107,153000,9.91,9.91,9.9,9.91,9076,0
BPAC.US,5,20260107,155000,9.901,9.91,9.9,9.91,2500,0
BPAC.US,5,20260107,155500,9.91,9.91,9.91,9.91,61500,0
BPAC.US,5,20260107,195000,9.91,9.91,9.91,9.91,200,0
BPAC.US,5,20260107,200500,9.91,9.91,9.91,9.91,1200,0
BPAC.US,5,20260107,212000,9.92,9.92,9.92,9.92,19643,0
BPAC.US,5,20260107,215500,9.92,9.93,9.915,9.92,263347,0
BPAC.US,5,20260108,155500,9.93,9.93,9.91,9.91,7000,0
BPAC.US,5,20260108,160000,9.91,9.91,9.91,9.91,300,0
BPAC.US,5,20260108,174000,9.91,9.91,9.91,9.91,100000,0
BPAC.US,5,20260108,203000,9.92,9.92,9.92,9.92,1200,0
BPAC.US,5,20260108,211500,9.915,9.92,9.915,9.92,2000,0
BPAC.US,5,20260108,212500,9.92,9.92,9.92,9.92,1103,0
BPAC.US,5,20260108,215500,9.92,9.92,9.92,9.92,195,0
