<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPACR.US,5,20260106,153500,0.1,0.1,0.1,0.1,200,0
BPACR.US,5,20260106,161500,0.19,0.202,0.1786,0.2,13600,0
BPACR.US,5,20260106,162000,0.2122,0.22,0.2,0.2099,172860,0
BPACR.US,5,20260106,162500,0.21,0.22,0.21,0.22,177336,0
BPACR.US,5,20260106,163000,0.22,0.22,0.2199,0.2199,15000,0
BPACR.US,5,20260106,163500,0.22,0.22,0.22,0.22,313900,0
BPACR.US,5,20260106,164000,0.21,0.21,0.2007,0.21,134600,0
BPACR.US,5,20260106,164500,0.22,0.2262,0.21,0.2201,30900,0
BPACR.US,5,20260106,165000,0.22,0.99,0.22,0.2399,29442,0
BPACR.US,5,20260106,165500,0.24,0.24,0.2399,0.24,20890,0
BPACR.US,5,20260106,172000,0.22,0.22,0.22,0.22,848,0
BPACR.US,5,20260106,175000,0.22,0.22,0.22,0.22,1936,0
BPACR.US,5,20260106,175500,0.2299,0.23,0.2299,0.23,1800,0
BPACR.US,5,20260106,180000,0.23,0.23,0.23,0.23,2500,0
BPACR.US,5,20260106,184000,0.23,0.2301,0.23,0.23,1200,0
BPACR.US,5,20260106,185500,0.23,0.23,0.23,0.23,369,0
BPACR.US,5,20260106,191500,0.23,0.23,0.23,0.23,800,0
BPACR.US,5,20260106,200500,0.23,0.23,0.23,0.23,1344,0
BPACR.US,5,20260106,201000,0.2201,0.2201,0.2201,0.2201,100,0
BPACR.US,5,20260106,215500,0.21,0.21,0.21,0.21,300,0
BPACR.US,5,20260107,153000,0.22,0.22,0.22,0.22,8705,0
BPACR.US,5,20260107,154500,0.22,0.22,0.22,0.22,11295,0
BPACR.US,5,20260107,155000,0.22,0.22,0.22,0.22,30200,0
BPACR.US,5,20260107,155500,0.22,0.22,0.22,0.22,99800,0
BPACR.US,5,20260107,163000,0.22,0.22,0.22,0.22,300200,0
BPACR.US,5,20260107,172000,0.22,0.22,0.22,0.22,67318,0
BPACR.US,5,20260107,172500,0.22,0.22,0.22,0.22,500,0
BPACR.US,5,20260107,180000,0.235,0.235,0.235,0.235,100,0
BPACR.US,5,20260107,190000,0.22,0.22,0.22,0.22,400,0
BPACR.US,5,20260107,200000,0.22,0.22,0.22,0.22,500,0
BPACR.US,5,20260107,215500,0.22,0.225,0.2192,0.22,1510,0
BPACR.US,5,20260108,163000,0.22,0.2288,0.22,0.2288,2149,0
BPACR.US,5,20260108,172500,0.2275,0.2275,0.221,0.221,476,0
BPACR.US,5,20260108,191000,0.23,0.24,0.2299,0.24,6232,0
BPACR.US,5,20260108,193500,0.24,0.24,0.2299,0.2299,1039,0
