<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDNL.US,5,20251210,175000,23,23.47,22.75,23.18,695242,0
CDNL.US,5,20251210,175500,23.09,23.2579,22.75,23.01,157361,0
CDNL.US,5,20251210,180000,23,23.38,22.76,22.86,103970,0
CDNL.US,5,20251210,180500,22.855,22.93,22.73,22.775,71775,0
CDNL.US,5,20251210,181000,22.775,22.92,22.75,22.84,78824,0
CDNL.US,5,20251210,181500,22.835,23.23,22.8,23.01,69122,0
CDNL.US,5,20251210,182000,23,23.05,22.86,22.985,55721,0
CDNL.US,5,20251210,182500,23.04,23.04,22.8,22.855,28596,0
CDNL.US,5,20251210,183000,22.855,23.03,22.8,22.95,19222,0
CDNL.US,5,20251210,183500,22.9631,23.04,22.81,23,81424,0
CDNL.US,5,20251210,184000,22.99,23.25,22.94,23.215,70800,0
CDNL.US,5,20251210,184500,23.25,23.39,23.1,23.2,36879,0
CDNL.US,5,20251210,185000,23.15,23.37,23.1,23.29,43445,0
CDNL.US,5,20251210,185500,23.29,23.29,23.14,23.19,19931,0
CDNL.US,5,20251210,190000,23.18,23.23,23.08,23.175,18701,0
CDNL.US,5,20251210,190500,23.18,23.23,23,23.0598,17099,0
CDNL.US,5,20251210,191000,23.07,23.23,23.055,23.23,28778,0
CDNL.US,5,20251210,191500,23.21,23.29,23.175,23.27,23043,0
CDNL.US,5,20251210,192000,23.24,23.5,23.24,23.5,35204,0
CDNL.US,5,20251210,192500,23.5,23.67,23.435,23.67,32234,0
CDNL.US,5,20251210,193000,23.61,23.67,23.49,23.52,20060,0
CDNL.US,5,20251210,193500,23.51,23.67,23.45,23.605,35564,0
CDNL.US,5,20251210,194000,23.55,23.64,23.345,23.445,69812,0
CDNL.US,5,20251210,194500,23.445,23.5,23.38,23.43,35594,0
CDNL.US,5,20251210,195000,23.44,23.75,23.41,23.595,54949,0
CDNL.US,5,20251210,195500,23.64,23.84,23.575,23.68,36623,0
CDNL.US,5,20251210,200000,23.73,23.79,23.56,23.67,17054,0
CDNL.US,5,20251210,200500,23.67,23.7,23.6,23.655,48370,0
CDNL.US,5,20251210,201000,23.67,23.67,23.425,23.51,42657,0
CDNL.US,5,20251210,201500,23.5,23.58,23.445,23.5,40324,0
CDNL.US,5,20251210,202000,23.525,23.57,23.38,23.55,37765,0
CDNL.US,5,20251210,202500,23.55,23.675,23.51,23.59,59336,0
CDNL.US,5,20251210,203000,23.59,23.63,23.47,23.5,49349,0
CDNL.US,5,20251210,203500,23.56,23.57,23.36,23.36,40502,0
CDNL.US,5,20251210,204000,23.36,23.47,23.13,23.275,54816,0
CDNL.US,5,20251210,204500,23.275,23.38,23.09,23.215,44342,0
CDNL.US,5,20251210,205000,23.215,23.27,23.02,23.27,44446,0
CDNL.US,5,20251210,205500,23.235,23.35,23.235,23.3,49519,0
CDNL.US,5,20251210,210000,23.3,23.3,22.95,23.235,38969,0
CDNL.US,5,20251210,210500,23.235,23.44,23.13,23.44,31305,0
CDNL.US,5,20251210,211000,23.37,23.44,23.07,23.1,28700,0
CDNL.US,5,20251210,211500,23.14,23.425,23.1,23.19,42103,0
CDNL.US,5,20251210,212000,23.32,23.39,23.15,23.225,45575,0
CDNL.US,5,20251210,212500,23.2025,23.39,23.2025,23.34,46987,0
CDNL.US,5,20251210,213000,23.335,23.39,23.16,23.23,35106,0
CDNL.US,5,20251210,213500,23.195,23.33,23.075,23.31,60915,0
CDNL.US,5,20251210,214000,23.32,23.47,23.29,23.395,37044,0
CDNL.US,5,20251210,214500,23.3925,23.73,23.3925,23.45,77137,0
CDNL.US,5,20251210,215000,23.445,23.5,23.14,23.255,129200,0
CDNL.US,5,20251210,215500,23.305,23.73,23.25,23.5,152836,0
CDNL.US,5,20251211,153000,23,23.42,23,23.1158,12200,0
CDNL.US,5,20251211,153500,23.26,23.5,23.0201,23.48,6531,0
CDNL.US,5,20251211,154000,23.5,23.5,23.3505,23.36,6394,0
CDNL.US,5,20251211,154500,23.48,23.48,23.274,23.415,5000,0
CDNL.US,5,20251211,155000,23.48,23.48,23.415,23.415,8343,0
CDNL.US,5,20251211,155500,23.415,23.48,23,23.31,8633,0
CDNL.US,5,20251211,160000,23.44,23.44,23,23.29,4800,0
CDNL.US,5,20251211,160500,23.25,23.28,23.15,23.2,1782,0
CDNL.US,5,20251211,161000,23.25,23.48,23.25,23.44,16488,0
CDNL.US,5,20251211,161500,23.44,23.59,23.4001,23.54,6983,0
