<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNCG.US,5,20251219,160500,15.47,15.47,15.47,15.47,200,0
CNCG.US,5,20251219,180000,15.675,15.675,15.675,15.675,1200,0
CNCG.US,5,20251219,194000,15.62,15.62,15.62,15.62,1161,0
CNCG.US,5,20251219,211500,15.49,15.49,15.49,15.49,314,0
CNCG.US,5,20251222,153000,15.07,15.45,15.07,15.45,444,0
CNCG.US,5,20251222,160000,15.63,15.63,15.63,15.63,100,0
CNCG.US,5,20251222,200500,15.73,15.73,15.73,15.73,133,0
CNCG.US,5,20251222,215000,15.7924,15.825,15.7924,15.825,318,0
CNCG.US,5,20251222,215500,15.91,15.92,15.91,15.92,955,0
CNCG.US,5,20251223,161000,15.56,15.56,15.56,15.56,100,0
CNCG.US,5,20251223,161500,15.45,15.45,15.45,15.45,100,0
CNCG.US,5,20251223,163000,15.44,15.44,15.44,15.44,308,0
CNCG.US,5,20251223,163500,15.45,15.45,15.45,15.45,100,0
CNCG.US,5,20251223,165500,15.47,15.47,15.47,15.47,127,0
CNCG.US,5,20251223,204000,15.42,15.42,15.42,15.42,100,0
CNCG.US,5,20251223,205000,15.38,15.38,15.38,15.38,100,0
CNCG.US,5,20251224,161000,15.54,15.54,15.54,15.54,627,0
CNCG.US,5,20251229,164000,16.37,16.37,16.37,16.37,202,0
CNCG.US,5,20251230,165000,16.8811,16.9099,16.8811,16.9099,3500,0
CNCG.US,5,20251230,165500,16.92,16.94,16.905,16.9399,11399,0
CNCG.US,5,20251230,170500,16.98,16.98,16.98,16.98,100,0
CNCG.US,5,20251230,212000,16.94,16.94,16.94,16.94,500,0
CNCG.US,5,20251231,153000,17.61,18.32,17.27,17.27,1000,0
CNCG.US,5,20251231,160000,16.91,16.91,16.91,16.91,100,0
CNCG.US,5,20251231,163500,17.03,17.03,17.03,17.03,101,0
CNCG.US,5,20251231,172500,16.94,16.94,16.94,16.94,100,0
CNCG.US,5,20251231,175000,16.9572,16.9572,16.9572,16.9572,500,0
CNCG.US,5,20251231,181500,16.9601,16.9601,16.9601,16.9601,144,0
CNCG.US,5,20251231,182000,16.9606,16.9606,16.9606,16.9606,129,0
CNCG.US,5,20251231,205000,16.9,16.9,16.9,16.9,100,0
CNCG.US,5,20251231,212500,16.82,16.82,16.82,16.82,100,0
CNCG.US,5,20260102,162000,16.63,16.6301,16.63,16.6301,1023,0
CNCG.US,5,20260102,180500,17.17,17.17,17.17,17.17,300,0
CNCG.US,5,20260102,185000,17.22,17.22,17.22,17.22,100,0
CNCG.US,5,20260102,211500,17.31,17.31,17.31,17.31,2000,0
CNCG.US,5,20260105,153000,18.34,18.34,18.32,18.32,1080,0
CNCG.US,5,20260105,163500,18.46,18.54,18.46,18.54,4620,0
CNCG.US,5,20260105,164000,18.51,18.6299,18.4895,18.6299,4250,0
CNCG.US,5,20260105,164500,18.63,18.63,18.5759,18.5759,6150,0
CNCG.US,5,20260105,171500,18.75,18.75,18.75,18.75,100,0
CNCG.US,5,20260105,183500,19.955,19.955,19.955,19.955,100,0
CNCG.US,5,20260105,184500,19.41,19.41,19.41,19.41,100,0
CNCG.US,5,20260105,214000,19.62,19.62,19.62,19.62,100,0
CNCG.US,5,20260106,170500,20.28,20.28,20.28,20.28,100,0
CNCG.US,5,20260106,173000,20.32,20.32,20.32,20.32,100,0
CNCG.US,5,20260106,211000,20.51,20.51,20.51,20.51,100,0
CNCG.US,5,20260107,161500,20.71,20.71,20.71,20.71,100,0
CNCG.US,5,20260107,163500,20.73,20.73,20.73,20.73,100,0
CNCG.US,5,20260107,175000,20.67,20.67,20.67,20.67,100,0
CNCG.US,5,20260107,181000,20.6,20.6,20.6,20.6,100,0
CNCG.US,5,20260107,195000,20.33,20.33,20.33,20.33,5000,0
CNCG.US,5,20260107,201500,20.42,20.42,20.3202,20.3202,800,0
CNCG.US,5,20260107,202000,20.32,20.41,20.32,20.33,3217,0
CNCG.US,5,20260107,214000,20.66,20.66,20.66,20.66,100,0
CNCG.US,5,20260107,214500,20.5595,20.5595,20.5595,20.5595,229,0
CNCG.US,5,20260108,161500,21.25,21.25,21.25,21.25,100,0
CNCG.US,5,20260108,162500,21.36,21.36,21.36,21.36,100,0
CNCG.US,5,20260108,172500,21.6201,21.71,21.6,21.7099,14174,0
CNCG.US,5,20260108,173000,21.75,21.75,21.7,21.7,200,0
CNCG.US,5,20260108,180500,21.71,21.71,21.71,21.71,100,0
CNCG.US,5,20260108,201000,21.82,21.82,21.82,21.82,100,0
