<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRIS.US,5,20250813,153000,1.68,1.68,1.68,1.68,188,0
CRIS.US,5,20250813,153500,1.71,1.71,1.71,1.71,112,0
CRIS.US,5,20250813,154000,1.71,1.71,1.71,1.71,300,0
CRIS.US,5,20250813,154500,1.7,1.7,1.7,1.7,212,0
CRIS.US,5,20250813,155000,1.725,1.725,1.725,1.725,600,0
CRIS.US,5,20250813,155500,1.7,1.75,1.7,1.75,827,0
CRIS.US,5,20250813,160000,1.71,1.71,1.71,1.71,192,0
CRIS.US,5,20250813,160500,1.71,1.71,1.71,1.71,192,0
CRIS.US,5,20250813,161000,1.73,1.73,1.71,1.71,500,0
CRIS.US,5,20250813,161500,1.7228,1.7228,1.7228,1.7228,200,0
CRIS.US,5,20250813,162000,1.73,1.73,1.71,1.71,574,0
CRIS.US,5,20250813,163000,1.71,1.71,1.71,1.71,348,0
CRIS.US,5,20250813,164000,1.7298,1.7298,1.71,1.71,3932,0
CRIS.US,5,20250813,165000,1.7143,1.7143,1.7143,1.7143,100,0
CRIS.US,5,20250813,165500,1.71,1.73,1.71,1.73,1284,0
CRIS.US,5,20250813,170500,1.71,1.71,1.71,1.71,384,0
CRIS.US,5,20250813,171500,1.71,1.71,1.71,1.71,332,0
CRIS.US,5,20250813,172500,1.7127,1.7127,1.71,1.71,784,0
CRIS.US,5,20250813,173000,1.76,1.76,1.75,1.75,380,0
CRIS.US,5,20250813,173500,1.74,1.74,1.74,1.74,448,0
CRIS.US,5,20250813,174500,1.7562,1.7562,1.7562,1.7562,200,0
CRIS.US,5,20250813,175000,1.75,1.75,1.75,1.75,200,0
CRIS.US,5,20250813,175500,1.75,1.75,1.74,1.74,690,0
CRIS.US,5,20250813,180500,1.75,1.75,1.75,1.75,677,0
CRIS.US,5,20250813,181500,1.74,1.7839,1.74,1.765,2286,0
CRIS.US,5,20250813,182000,1.7899,1.7899,1.77,1.77,400,0
CRIS.US,5,20250813,182500,1.77,1.7851,1.77,1.77,816,0
CRIS.US,5,20250813,184000,1.78,1.78,1.76,1.76,548,0
CRIS.US,5,20250813,185000,1.75,1.75,1.75,1.75,400,0
CRIS.US,5,20250813,190500,1.75,1.75,1.75,1.75,384,0
CRIS.US,5,20250813,191000,1.75,1.75,1.75,1.75,384,0
CRIS.US,5,20250813,192000,1.76,1.76,1.76,1.76,100,0
CRIS.US,5,20250813,192500,1.75,1.77,1.75,1.7504,5429,0
CRIS.US,5,20250813,193500,1.75,1.77,1.75,1.77,484,0
CRIS.US,5,20250813,194000,1.7668,1.7668,1.7668,1.7668,100,0
CRIS.US,5,20250813,194500,1.76,1.76,1.71,1.72,8916,0
CRIS.US,5,20250813,195500,1.72,1.72,1.71,1.71,300,0
