<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMIIR.US,5,20251204,175500,0.16,0.16,0.15,0.15,768000,0
DMIIR.US,5,20251204,202500,0.15,0.1501,0.15,0.15,5903,0
DMIIR.US,5,20251204,203000,0.15,0.15,0.15,0.15,10000,0
DMIIR.US,5,20251204,205000,0.15,0.15,0.1401,0.15,6500,0
DMIIR.US,5,20251204,205500,0.15,0.15,0.15,0.15,14900,0
DMIIR.US,5,20251205,202000,0.15,0.1501,0.15,0.1501,59100,0
DMIIR.US,5,20251205,204000,0.15,0.15,0.15,0.15,250000,0
DMIIR.US,5,20251205,210500,0.15,0.15,0.15,0.15,20000,0
DMIIR.US,5,20251205,211000,0.15,0.15,0.15,0.15,4601,0
DMIIR.US,5,20251205,212000,0.15,0.15,0.15,0.15,23500,0
DMIIR.US,5,20251208,185000,0.15,0.15,0.15,0.15,250000,0
DMIIR.US,5,20251209,161500,0.15,0.15,0.15,0.15,15000,0
DMIIR.US,5,20251209,202000,0.15,0.15,0.15,0.15,8500,0
DMIIR.US,5,20251209,215500,0.1403,0.1403,0.1403,0.1403,1500,0
DMIIR.US,5,20251211,215500,0.155,0.155,0.155,0.155,1000,0
DMIIR.US,5,20251212,153000,0.155,0.155,0.155,0.155,100,0
DMIIR.US,5,20251212,194000,0.15,0.15,0.15,0.15,500,0
DMIIR.US,5,20251215,161000,0.1511,0.1511,0.1502,0.1502,5800,0
DMIIR.US,5,20251215,164000,0.1525,0.1525,0.1525,0.1525,25000,0
DMIIR.US,5,20251215,164500,0.1525,0.1525,0.1525,0.1525,25800,0
DMIIR.US,5,20251215,171000,0.15,0.15,0.15,0.15,16700,0
DMIIR.US,5,20251215,182500,0.15,0.15,0.15,0.15,50000,0
DMIIR.US,5,20251215,203000,0.15,0.15,0.15,0.15,33300,0
DMIIR.US,5,20251216,165500,0.15,0.15,0.15,0.15,50000,0
DMIIR.US,5,20251217,154000,0.1431,0.1431,0.1431,0.1431,2000,0
DMIIR.US,5,20251217,210000,0.1415,0.1415,0.1415,0.1415,100,0
DMIIR.US,5,20251218,163000,0.141,0.141,0.1409,0.1409,2000,0
DMIIR.US,5,20251218,180000,0.1409,0.1409,0.1409,0.1409,100,0
DMIIR.US,5,20251218,182500,0.145,0.145,0.145,0.145,100,0
DMIIR.US,5,20251218,204000,0.14,0.14,0.1301,0.1301,10100,0
DMIIR.US,5,20251218,204500,0.12,0.12,0.12,0.12,876444,0
DMIIR.US,5,20251219,164500,0.124,0.124,0.1239,0.1239,200,0
DMIIR.US,5,20251222,175000,0.13,0.1325,0.13,0.1325,200,0
DMIIR.US,5,20251226,165500,0.13,0.13,0.13,0.13,3000,0
DMIIR.US,5,20251226,185000,0.14,0.14,0.14,0.14,100,0
DMIIR.US,5,20251229,172500,0.135,0.135,0.135,0.135,400,0
DMIIR.US,5,20251230,164000,0.13,0.13,0.13,0.13,8000,0
DMIIR.US,5,20251230,173500,0.145,0.145,0.145,0.145,216,0
DMIIR.US,5,20251230,183000,0.13,0.13,0.13,0.13,100,0
DMIIR.US,5,20251230,183500,0.13,0.13,0.13,0.13,100,0
DMIIR.US,5,20251230,184000,0.13,0.13,0.13,0.13,200,0
DMIIR.US,5,20251230,184500,0.13,0.13,0.13,0.13,100,0
DMIIR.US,5,20251230,185000,0.13,0.13,0.13,0.13,200,0
DMIIR.US,5,20251230,202500,0.14,0.14,0.14,0.14,600,0
DMIIR.US,5,20251230,204500,0.14,0.14,0.14,0.14,100,0
DMIIR.US,5,20251230,215500,0.14,0.14,0.13,0.14,1439,0
DMIIR.US,5,20251231,153000,0.13999,0.13999,0.13999,0.13999,712,0
DMIIR.US,5,20251231,190500,0.124,0.124,0.1201,0.1201,300,0
DMIIR.US,5,20251231,192500,0.14,0.14,0.14,0.14,589,0
DMIIR.US,5,20260102,160000,0.14,0.14,0.14,0.14,210,0
DMIIR.US,5,20260102,194500,0.14,0.14,0.14,0.14,100,0
DMIIR.US,5,20260102,200000,0.14,0.14,0.135001,0.135001,4000,0
DMIIR.US,5,20260102,212000,0.14,0.14,0.14,0.14,216,0
DMIIR.US,5,20260105,171500,0.14,0.15,0.1395,0.1395,145584,0
DMIIR.US,5,20260105,174000,0.13,0.13,0.13,0.13,36469,0
DMIIR.US,5,20260105,184000,0.1295,0.1295,0.12,0.12,161650,0
