<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUOG.US,5,20251212,161500,15.98,15.98,15.98,15.98,100,0
DUOG.US,5,20251212,163000,15.7005,15.8305,15.7005,15.8305,201,0
DUOG.US,5,20251212,170000,15.49,15.49,15.49,15.49,100,0
DUOG.US,5,20251212,172000,15.37,15.37,15.37,15.37,200,0
DUOG.US,5,20251212,180000,14.9119,14.9119,14.9119,14.9119,100,0
DUOG.US,5,20251212,191000,15.113,15.113,15.113,15.113,132,0
DUOG.US,5,20251212,200000,15.04,15.04,15.04,15.04,100,0
DUOG.US,5,20251212,201000,15.04,15.04,15.04,15.04,100,0
DUOG.US,5,20251212,201500,15,15,15,15,100,0
DUOG.US,5,20251212,202000,14.94,14.94,14.94,14.94,100,0
DUOG.US,5,20251212,211000,15,15,15,15,100,0
DUOG.US,5,20251212,214000,14.853,14.853,14.853,14.853,114,0
DUOG.US,5,20251215,154000,14.6,14.6,14.6,14.6,100,0
DUOG.US,5,20251215,161000,13.68,13.68,13.68,13.68,100,0
DUOG.US,5,20251215,182000,13.5023,13.5023,13.5023,13.5023,100,0
DUOG.US,5,20251215,185500,13.55,13.55,13.55,13.55,201,0
DUOG.US,5,20251215,191500,13.59,13.59,13.59,13.59,100,0
DUOG.US,5,20251215,211000,13.475,13.475,13.475,13.475,100,0
DUOG.US,5,20251216,173500,13.47,13.47,13.47,13.47,108,0
DUOG.US,5,20251216,174500,13.52,13.52,13.52,13.52,119,0
DUOG.US,5,20251216,182500,13.4,13.4,13.4,13.4,100,0
DUOG.US,5,20251216,191000,13.3935,13.3935,13.3935,13.3935,200,0
DUOG.US,5,20251216,213500,13.49,13.49,13.49,13.49,500,0
DUOG.US,5,20251216,214000,13.46,13.46,13.45,13.45,2058,0
DUOG.US,5,20251217,154500,14.01,14.01,14.01,14.01,122,0
DUOG.US,5,20251217,161500,14.1954,14.1954,14.18,14.18,714,0
DUOG.US,5,20251217,163000,13.9,13.9,13.9,13.9,1000,0
DUOG.US,5,20251217,170500,13.65,13.65,13.65,13.65,100,0
DUOG.US,5,20251217,184500,13.42,13.42,13.42,13.42,100,0
DUOG.US,5,20251217,192500,13.177,13.177,13.177,13.177,170,0
DUOG.US,5,20251217,195000,13.21,13.21,13.21,13.21,504,0
DUOG.US,5,20251217,202000,13.2,13.2,13.2,13.2,400,0
DUOG.US,5,20251217,204000,13.25,13.25,13.25,13.25,100,0
DUOG.US,5,20251218,153000,12.95,13.6249,12.78,13.5,1730,0
DUOG.US,5,20251218,154500,11.63,12.2,11.63,12.16,900,0
DUOG.US,5,20251218,160000,12.4527,12.4527,12.4527,12.4527,132,0
DUOG.US,5,20251218,160500,12.31,12.31,12.3,12.31,16334,0
DUOG.US,5,20251218,162000,12.65,12.65,12.65,12.65,100,0
DUOG.US,5,20251218,162500,12.6,12.7,12.6,12.7,200,0
DUOG.US,5,20251218,164500,12.56,12.56,12.5599,12.5599,732,0
DUOG.US,5,20251218,171000,12.7353,12.7353,12.7353,12.7353,100,0
DUOG.US,5,20251218,173500,12.78,12.78,12.78,12.78,500,0
DUOG.US,5,20251218,181000,12.48,12.48,12.425,12.4613,8213,0
DUOG.US,5,20251218,190000,12.69,12.69,12.69,12.69,200,0
DUOG.US,5,20251218,191500,12.7001,12.7001,12.7,12.7,200,0
DUOG.US,5,20251218,195000,12.66,12.66,12.66,12.66,100,0
DUOG.US,5,20251219,153000,13.085,13.125,13.07,13.125,4630,0
DUOG.US,5,20251219,153500,13.04,13.04,13.04,13.04,530,0
DUOG.US,5,20251219,155500,13.45,13.45,13.45,13.45,100,0
DUOG.US,5,20251219,161500,12.87,12.87,12.87,12.87,100,0
DUOG.US,5,20251219,162000,13.03,13.03,13.03,13.03,261,0
DUOG.US,5,20251219,172500,13.2301,13.2301,13.2301,13.2301,225,0
DUOG.US,5,20251219,175500,13.3,13.3,13.3,13.3,250,0
DUOG.US,5,20251219,200000,13.24,13.3,13.24,13.3,1068,0
DUOG.US,5,20251219,210500,13.2,13.2,13.2,13.2,100,0
DUOG.US,5,20251219,211000,13.27,13.27,13.27,13.27,100,0
DUOG.US,5,20251219,214000,13.35,13.35,13.293,13.293,500,0
DUOG.US,5,20251222,153000,13.25,13.3,12.9,12.9,4117,0
DUOG.US,5,20251222,153500,13.29,13.29,13.29,13.29,358,0
DUOG.US,5,20251222,154000,12.8,12.8,12.8,12.8,100,0
DUOG.US,5,20251222,154500,12.92,12.92,12.92,12.92,100,0
DUOG.US,5,20251222,160000,13.69,13.69,13.69,13.69,100,0
DUOG.US,5,20251222,163500,13.73,13.73,13.73,13.73,729,0
DUOG.US,5,20251222,172500,13.43,13.43,13.43,13.43,100,0
DUOG.US,5,20251222,175000,13.43,13.43,13.43,13.43,196,0
DUOG.US,5,20251222,180000,13.5744,13.5744,13.5744,13.5744,150,0
DUOG.US,5,20251222,182500,13.34,13.34,13.34,13.34,100,0
DUOG.US,5,20251222,191000,12.98,12.98,12.98,12.98,100,0
DUOG.US,5,20251222,200500,12.9756,12.9756,12.9756,12.9756,226,0
DUOG.US,5,20251222,205500,13.08,13.08,13.08,13.08,2000,0
DUOG.US,5,20251222,214500,12.99,12.99,12.99,12.99,100,0
DUOG.US,5,20251223,153000,12.84,12.84,12.84,12.84,100,0
DUOG.US,5,20251223,155000,12.4899,12.4899,12.4899,12.4899,385,0
DUOG.US,5,20251223,155500,12.3897,12.3897,11.76,11.8401,3790,0
DUOG.US,5,20251223,161500,12.23,12.23,12.23,12.23,100,0
DUOG.US,5,20251223,172500,12.0898,12.0898,12.0898,12.0898,196,0
DUOG.US,5,20251223,173000,12.074,12.074,12.074,12.074,1849,0
DUOG.US,5,20251223,182500,12.15,12.15,12.14,12.14,700,0
DUOG.US,5,20251223,183000,12.2,12.2,12.2,12.2,430,0
DUOG.US,5,20251223,190500,12.16,12.16,12.16,12.16,1836,0
DUOG.US,5,20251223,195000,12.09,12.09,12.09,12.09,100,0
DUOG.US,5,20251223,202000,12.22,12.22,12.22,12.22,100,0
DUOG.US,5,20251223,203500,12.26,12.26,12.26,12.26,100,0
DUOG.US,5,20251223,205000,12.365,12.365,12.365,12.365,100,0
