<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMAT.US,5,20260106,155000,9,9.74,7.96,9.2889,34409,0
EMAT.US,5,20260106,155500,9,9,7.6,7.61,8562,0
EMAT.US,5,20260106,160000,7.61,7.61,7.5,7.5,3618,0
EMAT.US,5,20260106,161000,7.98,8,7.08,7.7,34442,0
EMAT.US,5,20260106,161500,7.99,8,7.51,7.575,8781,0
EMAT.US,5,20260106,162000,7.6,7.6,7.5,7.5,2258,0
EMAT.US,5,20260106,162500,7.5,7.869,7.5,7.7,1090,0
EMAT.US,5,20260106,163000,7.87,8,7.8064,8,5163,0
EMAT.US,5,20260106,163500,8,8,7.5,8,8484,0
EMAT.US,5,20260106,164000,7.9822,8,7.98,7.99,1750,0
EMAT.US,5,20260106,164500,8,8,7.7,7.7,1750,0
EMAT.US,5,20260106,165000,7.93,8,7.71,7.988,24333,0
EMAT.US,5,20260106,165500,8,8,7.97,7.9822,3000,0
EMAT.US,5,20260106,170000,8,8,7.97,7.97,3875,0
EMAT.US,5,20260106,170500,7.71,7.71,7.71,7.71,1200,0
EMAT.US,5,20260106,171000,7.9999,7.9999,7.9999,7.9999,200,0
EMAT.US,5,20260106,172000,7.8488,8,7.8488,7.9999,2192,0
EMAT.US,5,20260106,172500,8,8,8,8,200,0
EMAT.US,5,20260106,173000,8,8,8,8,100,0
EMAT.US,5,20260106,173500,8,8,7.98,7.98,1582,0
EMAT.US,5,20260106,174000,7.99,7.99,7.5,7.51,2141,0
EMAT.US,5,20260106,174500,7.2,7.49,7.05,7.45,1100,0
EMAT.US,5,20260106,175500,7.8,7.8,7.8,7.8,100,0
EMAT.US,5,20260106,181000,7.5,7.5,7.21,7.4598,1057,0
EMAT.US,5,20260106,181500,7.5,7.5,7.5,7.5,850,0
EMAT.US,5,20260106,182000,7.5,7.7867,7.4999,7.72,1114,0
