<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDRS.US,5,20251231,153000,24.91,24.91,24.91,24.91,1012,0
FDRS.US,5,20251231,153500,24.62,24.62,24.62,24.62,300,0
FDRS.US,5,20251231,160500,24.6399,24.6399,24.6399,24.6399,5000,0
FDRS.US,5,20251231,162500,24.64,24.64,24.64,24.64,1086,0
FDRS.US,5,20251231,174500,24.5985,24.5985,24.5985,24.5985,1000,0
FDRS.US,5,20251231,183000,24.6395,24.64,24.615,24.64,300,0
FDRS.US,5,20251231,190500,24.62,24.62,24.62,24.62,100,0
FDRS.US,5,20251231,191500,24.62,24.62,24.62,24.62,150,0
FDRS.US,5,20251231,202500,24.59,24.59,24.59,24.59,200,0
FDRS.US,5,20251231,210000,24.51,24.51,24.51,24.51,407,0
FDRS.US,5,20251231,213000,24.47,24.47,24.47,24.47,100,0
FDRS.US,5,20260102,153000,24.87,24.87,24.87,24.87,228,0
FDRS.US,5,20260102,161000,24.41,24.41,24.41,24.41,100,0
FDRS.US,5,20260102,163000,24.31,24.31,24.31,24.31,158,0
FDRS.US,5,20260102,183500,24.25,24.25,24.25,24.25,143,0
FDRS.US,5,20260102,215500,24.17,24.18,24.17,24.18,489,0
FDRS.US,5,20260105,153000,24.25,24.25,24.25,24.25,120,0
FDRS.US,5,20260105,163500,24.75,24.75,24.75,24.75,493,0
FDRS.US,5,20260105,190500,24.75,24.75,24.75,24.75,100,0
FDRS.US,5,20260106,163500,24.65,24.65,24.65,24.65,100,0
FDRS.US,5,20260106,210000,24.73,24.73,24.73,24.73,450,0
FDRS.US,5,20260107,191000,24.81,24.81,24.81,24.81,660,0
FDRS.US,5,20260108,214000,24.325,24.325,24.325,24.325,177,0
