<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGNXP.US,5,20250813,153500,19.6692,19.6692,19.6692,19.6692,167,0
FGNXP.US,5,20250813,163500,20.9,20.9,20.9,20.9,1645,0
FGNXP.US,5,20250813,164000,20.9,20.9,20.51,20.51,344,0
FGNXP.US,5,20250813,170500,20.51,20.51,20.51,20.51,200,0
FGNXP.US,5,20250813,171000,20.51,20.51,20.5,20.5,200,0
FGNXP.US,5,20250813,182500,20.5,20.5,20.49,20.5,500,0
FGNXP.US,5,20250813,210000,20.418,20.418,20.418,20.418,165,0
FGNXP.US,5,20250813,215000,20.45,20.45,20.45,20.45,100,0
FGNXP.US,5,20250814,164000,21.769,21.769,21.085,21.67,931,0
FGNXP.US,5,20250814,165500,20.9,20.9,20.9,20.9,1500,0
FGNXP.US,5,20250814,170000,20.9,20.9,20.85,20.85,1476,0
FGNXP.US,5,20250814,170500,20.85,21.03,20.85,21.03,995,0
FGNXP.US,5,20250814,172000,21.03,21.03,21.03,21.03,100,0
FGNXP.US,5,20250814,180500,20.9295,20.9295,20.85,20.8515,400,0
FGNXP.US,5,20250814,181000,20.85,20.9047,20.85,20.9047,254,0
FGNXP.US,5,20250814,185500,20.7835,20.7835,20.7835,20.7835,145,0
FGNXP.US,5,20250814,194500,20.65,20.6501,20.65,20.6501,1000,0
FGNXP.US,5,20250814,210000,20.0828,20.65,20.03,20.03,300,0
FGNXP.US,5,20250815,174000,20.29,20.29,20.29,20.29,400,0
FGNXP.US,5,20250815,204500,20.3,20.3,20.3,20.3,200,0
FGNXP.US,5,20250815,210500,20.9,20.9,20.8,20.8,500,0
FGNXP.US,5,20250818,184000,20.265,20.265,20.21,20.21,300,0
FGNXP.US,5,20250818,195500,20.3521,20.5,20.3521,20.5,800,0
FGNXP.US,5,20250818,200000,20.85,20.85,20.85,20.85,148,0
FGNXP.US,5,20250818,201500,20.85,20.85,20.85,20.85,100,0
FGNXP.US,5,20250818,205500,20.665,20.665,20.665,20.665,100,0
FGNXP.US,5,20250818,210500,20.665,20.665,20.665,20.665,100,0
FGNXP.US,5,20250818,214000,20.745,20.745,20.68,20.68,1016,0
FGNXP.US,5,20250818,214500,20.68,20.68,20.68,20.68,200,0
FGNXP.US,5,20250819,174000,20.05,20.05,19.54,19.54,400,0
FGNXP.US,5,20250819,184000,20,20,20,20,265,0
FGNXP.US,5,20250819,185000,20.01,20.01,19.9,19.9,1235,0
FGNXP.US,5,20250819,212500,19.95,19.95,19.95,19.95,1000,0
FGNXP.US,5,20250819,215000,20,20,19.854,19.9999,2330,0
FGNXP.US,5,20250819,215500,20.46,20.46,20.46,20.46,100,0
