<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTNT.US,5,20250813,153000,79.88,79.9848,78.58,78.7099,446028,0
FTNT.US,5,20250813,153500,78.68,78.97,78.44,78.65,577710,0
FTNT.US,5,20250813,154000,78.657,79.3586,78.54,79,444752,0
FTNT.US,5,20250813,154500,79.04,79.12,78.5583,78.645,156048,0
FTNT.US,5,20250813,155000,78.6695,78.91,78.528,78.77,81408,0
FTNT.US,5,20250813,155500,78.74,79.2,78.65,79.0714,135225,0
FTNT.US,5,20250813,160000,79.05,79.47,78.85,79.43,198223,0
FTNT.US,5,20250813,160500,79.41,79.62,79.2,79.24,108566,0
FTNT.US,5,20250813,161000,79.25,79.65,79.19,79.42,258453,0
FTNT.US,5,20250813,161500,79.4,79.64,79.29,79.64,59945,0
FTNT.US,5,20250813,162000,79.61,79.95,79.5,79.86,183167,0
FTNT.US,5,20250813,162500,79.865,79.93,79.4607,79.5,97641,0
FTNT.US,5,20250813,163000,79.53,79.55,79.11,79.11,84178,0
FTNT.US,5,20250813,163500,79.135,79.19,79.03,79.11,63026,0
FTNT.US,5,20250813,164000,79.09,79.375,79.08,79.31,72073,0
FTNT.US,5,20250813,164500,79.32,79.45,79.24,79.27,65805,0
FTNT.US,5,20250813,165000,79.275,79.68,79.275,79.64,110138,0
FTNT.US,5,20250813,165500,79.655,79.82,79.35,79.41,220730,0
FTNT.US,5,20250813,170000,79.43,79.5394,79.35,79.4,51824,0
FTNT.US,5,20250813,170500,79.4,79.74,79.385,79.715,39087,0
FTNT.US,5,20250813,171000,79.72,80.08,79.71,80.0414,112031,0
FTNT.US,5,20250813,171500,80.03,80.1,79.68,79.8,60916,0
FTNT.US,5,20250813,172000,79.76,79.77,79.32,79.322,88946,0
FTNT.US,5,20250813,172500,79.35,79.44,79.12,79.22,69048,0
FTNT.US,5,20250813,173000,79.23,79.235,79.1,79.19,50631,0
FTNT.US,5,20250813,173500,79.195,79.2,78.81,78.9,197286,0
FTNT.US,5,20250813,174000,78.89,79,78.74,78.78,67963,0
FTNT.US,5,20250813,174500,78.785,78.85,78.69,78.76,74601,0
FTNT.US,5,20250813,175000,78.755,78.78,78.3186,78.3238,118437,0
FTNT.US,5,20250813,175500,78.325,78.34,78.12,78.25,130162,0
FTNT.US,5,20250813,180000,78.22,78.3928,78.145,78.2,50979,0
