<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDHG.US,5,20250813,153000,6.225,6.6,6.087,6.225,1009.333333838,0
GDHG.US,5,20250813,153500,6.3,6.3,6.3,6.3,6.666666670000001,0
GDHG.US,5,20250813,155500,6.306,6.306,6.306,6.306,68.666666701,0
GDHG.US,5,20250813,160500,6.3,6.3,6.3,6.3,24.6000000123,0
GDHG.US,5,20250813,161000,6.3,6.522,6.3,6.4485,303.0666668182,0
GDHG.US,5,20250813,161500,6.46204,6.522,6.3,6.315,965.6666671495,0
GDHG.US,5,20250813,162500,6.3765,6.45,6.3765,6.45,13.333333340000001,0
GDHG.US,5,20250813,163000,6.40876,6.40876,6.40876,6.40876,6.666666670000001,0
GDHG.US,5,20250813,164000,6.3375,6.3375,6.3375,6.3375,6.666666670000001,0
GDHG.US,5,20250813,164500,6.3375,6.3945,6.225,6.225,1388.000000694,0
GDHG.US,5,20250813,165000,6.3375,6.5595,6.3375,6.339,766.66666705,0
GDHG.US,5,20250813,170500,6.408,6.408,6.408,6.408,27.4000000137,0
GDHG.US,5,20250813,171000,6.40798,6.40798,6.40798,6.40798,33.333333350000004,0
GDHG.US,5,20250813,171500,6.225,6.5895,6.225,6.5895,14.0666666737,0
GDHG.US,5,20250813,172000,6.525,6.525,6.525,6.525,33.333333350000004,0
GDHG.US,5,20250813,172500,6.228,6.228,6.22501,6.22501,120.0666667267,0
GDHG.US,5,20250813,173000,6.28501,6.28501,6.28501,6.28501,10.000000005,0
GDHG.US,5,20250813,173500,6.225,6.5235,6.225,6.5235,174.7333334207,0
GDHG.US,5,20250813,175000,6.225,6.465,6.225,6.45,575.3333336210001,0
GDHG.US,5,20250813,175500,6.4875,6.4875,6.37425,6.37425,46.66666669,0
GDHG.US,5,20250813,180000,6.22501,6.22501,6.22501,6.22501,18.2666666758,0
GDHG.US,5,20250813,180500,6.276,6.5205,6.276,6.5205,24.9333333458,0
GDHG.US,5,20250813,181500,6.228,6.228,6.228,6.228,13.333333340000001,0
GDHG.US,5,20250813,184000,6.26172,6.26172,6.26172,6.26172,16.666666675000002,0
GDHG.US,5,20250813,184500,6.5235,6.5235,6.522,6.522,46.66666669,0
GDHG.US,5,20250813,190000,6.2265,6.48648,6.2265,6.48648,277.5333334721,0
GDHG.US,5,20250813,190500,6.522,6.5235,6.522,6.5235,13.333333340000001,0
GDHG.US,5,20250813,192000,6.26292,6.26292,6.26292,6.26292,43.8666666886,0
GDHG.US,5,20250813,194000,6.45,6.45,6.3375,6.3375,13.333333340000001,0
GDHG.US,5,20250813,194500,6.375,6.525,6.3645,6.525,1366.1333340164,0
GDHG.US,5,20250813,195000,6.525,7.0725,6.525,6.9435,1537.8666674356,0
GDHG.US,5,20250813,195500,6.34051,6.906,6.34051,6.906,28.8666666811,0
GDHG.US,5,20250813,200000,7.035,7.035,7.035,7.035,6.666666670000001,0
GDHG.US,5,20250813,201000,7.047,7.047,7.047,7.047,846.9333337568,0
GDHG.US,5,20250813,201500,6.828,7.047,6.828,6.9405,208.000000104,0
GDHG.US,5,20250813,202000,6.831,7.5,6.495,6.9975,4109.333335388,0
GDHG.US,5,20250813,202500,6.9975,7.4445,6.9975,7.2795,1089.333333878,0
GDHG.US,5,20250813,203000,7.341,7.43997,7.31998,7.33651,580.4000002902001,0
GDHG.US,5,20250813,203500,7.27801,7.3515,7.27801,7.3515,92.2666667128,0
GDHG.US,5,20250813,204000,7.278,7.278,7.278,7.278,146.66666674,0
GDHG.US,5,20250813,204500,7.425,7.44,7.425,7.44,333.33333350000004,0
GDHG.US,5,20250813,205000,7.3185,7.44,7.278,7.44,415.0666668742,0
