<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEVG.US,5,20251217,153000,15.28,15.28,15.28,15.28,1000,0
GEVG.US,5,20251217,154500,14.7,14.74,14.6999,14.6999,2000,0
GEVG.US,5,20251217,160000,14.35,14.37,14.35,14.37,1000,0
GEVG.US,5,20251217,161000,14.2,14.2,14.2,14.2,479,0
GEVG.US,5,20251217,172500,13.38,13.38,13.38,13.38,100,0
GEVG.US,5,20251217,180500,13.1,13.1,12.97,12.99,2400,0
GEVG.US,5,20251217,184500,12.8501,12.87,12.8501,12.87,200,0
GEVG.US,5,20251217,191500,13.0095,13.0095,13.0095,13.0095,767,0
GEVG.US,5,20251217,192000,12.91,12.91,12.91,12.91,1000,0
GEVG.US,5,20251217,193000,12.6426,12.6426,12.6426,12.6426,100,0
GEVG.US,5,20251217,194000,12.62,12.62,12.62,12.62,1000,0
GEVG.US,5,20251217,195000,12.7081,12.7081,12.7081,12.7081,100,0
GEVG.US,5,20251217,200000,12.63,12.63,12.62,12.62,323,0
GEVG.US,5,20251217,202000,12.58,12.58,12.58,12.58,100,0
GEVG.US,5,20251217,212000,12.17,12.19,12.17,12.19,200,0
GEVG.US,5,20251217,214000,12.14,12.14,12.14,12.14,500,0
GEVG.US,5,20251217,214500,12.1741,12.2,12.14,12.2,1130,0
GEVG.US,5,20251217,215000,12.16,12.16,12.16,12.16,400,0
GEVG.US,5,20251217,215500,12.1501,12.155,12.1501,12.155,400,0
GEVG.US,5,20251218,153000,13.58,13.58,13.5799,13.5799,667,0
GEVG.US,5,20251218,154500,13.76,13.76,13.7599,13.7599,1200,0
GEVG.US,5,20251218,162000,13.14,13.22,13.14,13.22,200,0
GEVG.US,5,20251218,162500,13.33,13.35,13.33,13.35,200,0
GEVG.US,5,20251218,163000,13.49,13.49,13.49,13.49,100,0
GEVG.US,5,20251218,163500,13.44,13.44,13.44,13.44,500,0
GEVG.US,5,20251218,164500,13.395,13.395,13.395,13.395,770,0
GEVG.US,5,20251218,165000,13.45,13.46,13.4499,13.4499,3400,0
GEVG.US,5,20251218,174000,13.1684,13.22,13.1684,13.22,634,0
GEVG.US,5,20251218,175000,13.16,13.16,13.14,13.15,1307,0
GEVG.US,5,20251218,183000,13.06,13.06,13.06,13.06,400,0
GEVG.US,5,20251218,183500,13.1,13.1,13.09,13.09,200,0
GEVG.US,5,20251218,194500,13.18,13.24,13.18,13.19,11166,0
GEVG.US,5,20251218,205500,13.01,13.01,13.01,13.01,100,0
GEVG.US,5,20251218,210000,13.015,13.015,13.015,13.015,480,0
GEVG.US,5,20251218,210500,13.02,13.02,13.02,13.02,190,0
GEVG.US,5,20251218,212000,13.05,13.05,13.05,13.05,100,0
GEVG.US,5,20251218,214500,13.1,13.1,13.1,13.1,500,0
GEVG.US,5,20251218,215000,13.06,13.06,12.96,12.96,200,0
GEVG.US,5,20251218,215500,12.95,12.95,12.95,12.95,100,0
GEVG.US,5,20251219,155000,13.48,13.48,13.48,13.48,100,0
GEVG.US,5,20251219,155500,13.46,13.4794,13.46,13.4794,200,0
GEVG.US,5,20251219,161000,13.59,13.59,13.56,13.56,200,0
GEVG.US,5,20251219,162000,13.3962,13.3962,13.3962,13.3962,100,0
GEVG.US,5,20251219,162500,13.41,13.41,13.41,13.41,163,0
GEVG.US,5,20251219,165000,13.189,13.189,13.14,13.14,200,0
GEVG.US,5,20251219,174500,13.34,13.34,13.34,13.34,100,0
GEVG.US,5,20251219,181000,13.46,13.46,13.46,13.46,100,0
GEVG.US,5,20251219,183000,13.4,13.4,13.4,13.4,100,0
GEVG.US,5,20251219,190500,13.565,13.6196,13.565,13.6196,200,0
GEVG.US,5,20251219,191500,13.6896,13.6896,13.6896,13.6896,195,0
GEVG.US,5,20251219,195000,13.64,13.64,13.64,13.64,200,0
GEVG.US,5,20251219,201000,13.71,13.71,13.71,13.71,100,0
GEVG.US,5,20251219,202000,13.7,13.7,13.7,13.7,100,0
GEVG.US,5,20251219,211000,13.71,13.71,13.71,13.71,100,0
GEVG.US,5,20251219,212000,13.74,13.77,13.74,13.77,200,0
GEVG.US,5,20251219,213500,13.8035,13.8035,13.77,13.77,300,0
GEVG.US,5,20251219,214000,13.71,13.71,13.71,13.71,100,0
GEVG.US,5,20251219,214500,13.76,13.76,13.76,13.76,100,0
GEVG.US,5,20251222,153000,14.16,14.16,13.9,13.9,200,0
GEVG.US,5,20251222,154000,13.8599,13.8599,13.74,13.8,499,0
GEVG.US,5,20251222,154500,13.87,13.87,13.87,13.87,100,0
GEVG.US,5,20251222,155500,14.2,14.2,14.08,14.09,433,0
GEVG.US,5,20251222,160000,14.1,14.1,14.1,14.1,200,0
GEVG.US,5,20251222,161000,14.07,14.07,14.07,14.07,200,0
GEVG.US,5,20251222,162000,14.14,14.14,14.14,14.14,100,0
GEVG.US,5,20251222,162500,14.11,14.11,14.11,14.11,300,0
GEVG.US,5,20251222,165000,13.88,13.88,13.88,13.88,100,0
GEVG.US,5,20251222,165500,13.92,13.92,13.88,13.88,357,0
GEVG.US,5,20251222,171000,13.852,13.852,13.852,13.852,987,0
GEVG.US,5,20251222,172000,13.96,13.96,13.96,13.96,100,0
GEVG.US,5,20251222,172500,13.89,13.89,13.83,13.83,200,0
GEVG.US,5,20251222,180500,13.939,13.939,13.939,13.939,300,0
GEVG.US,5,20251222,184500,13.76,13.76,13.76,13.76,200,0
GEVG.US,5,20251222,185000,13.73,13.77,13.73,13.77,311,0
GEVG.US,5,20251222,190000,13.85,13.85,13.85,13.85,200,0
GEVG.US,5,20251222,192500,13.87,13.87,13.87,13.87,100,0
GEVG.US,5,20251222,210500,13.97,13.99,13.97,13.99,200,0
GEVG.US,5,20251223,153500,13.7,13.7,13.7,13.7,100,0
GEVG.US,5,20251223,154500,13.7,13.7,13.7,13.7,100,0
GEVG.US,5,20251223,155500,13.65,13.65,13.65,13.65,350,0
GEVG.US,5,20251223,160500,13.6,13.6,13.6,13.6,500,0
GEVG.US,5,20251223,161000,13.68,13.68,13.65,13.65,400,0
GEVG.US,5,20251223,162000,13.8,13.8,13.8,13.8,100,0
GEVG.US,5,20251223,163500,13.78,13.79,13.78,13.79,200,0
GEVG.US,5,20251223,164000,13.83,13.83,13.83,13.83,100,0
GEVG.US,5,20251223,170500,13.8,13.8,13.8,13.8,100,0
GEVG.US,5,20251223,172500,13.81,13.81,13.81,13.81,100,0
GEVG.US,5,20251223,175000,13.76,13.76,13.76,13.76,100,0
GEVG.US,5,20251223,180000,13.69,13.69,13.69,13.69,200,0
GEVG.US,5,20251223,192500,13.85,13.85,13.85,13.85,100,0
GEVG.US,5,20251223,193500,13.85,13.86,13.85,13.85,4196,0
GEVG.US,5,20251223,195000,13.89,13.89,13.89,13.89,200,0
GEVG.US,5,20251223,200000,13.905,13.905,13.905,13.905,360,0
GEVG.US,5,20251223,200500,13.89,13.89,13.89,13.89,100,0
GEVG.US,5,20251223,203000,13.86,13.87,13.86,13.86,360,0
GEVG.US,5,20251223,204500,13.82,13.82,13.82,13.82,100,0
GEVG.US,5,20251223,210000,13.79,13.79,13.79,13.79,350,0
GEVG.US,5,20251224,154500,14.1,14.1,14.1,14.1,100,0
GEVG.US,5,20251224,160000,14.1,14.1,14.1,14.1,1000,0
GEVG.US,5,20251224,161000,14.26,14.26,14.26,14.26,200,0
GEVG.US,5,20251224,162000,14.339,14.339,14.3,14.3093,988,0
GEVG.US,5,20251224,162500,14.28,14.29,14.28,14.29,231,0
GEVG.US,5,20251224,163000,14.3199,14.33,14.3199,14.32,425,0
GEVG.US,5,20251224,165000,14.189,14.189,14.14,14.14,1200,0
GEVG.US,5,20251224,170000,14.16,14.16,14.16,14.16,100,0
GEVG.US,5,20251224,180000,14.09,14.09,14.09,14.09,200,0
GEVG.US,5,20251226,153000,14.05,14.05,14.05,14.05,100,0
GEVG.US,5,20251226,154500,13.96,14,13.96,13.98,5688,0
GEVG.US,5,20251226,161000,13.91,13.91,13.91,13.91,100,0
GEVG.US,5,20251226,161500,13.92,13.92,13.92,13.92,100,0
GEVG.US,5,20251226,162500,13.93,13.93,13.93,13.93,150,0
GEVG.US,5,20251226,171000,13.93,13.93,13.93,13.93,100,0
GEVG.US,5,20251226,171500,13.9,13.9,13.9,13.9,154,0
GEVG.US,5,20251226,175500,13.895,13.895,13.895,13.895,422,0
GEVG.US,5,20251226,180500,13.84,13.84,13.84,13.84,200,0
GEVG.US,5,20251226,182000,13.83,13.83,13.83,13.83,500,0
GEVG.US,5,20251226,184000,13.85,13.85,13.82,13.82,200,0
GEVG.US,5,20251226,200500,13.8661,13.8661,13.8661,13.8661,200,0
GEVG.US,5,20251226,202000,13.895,13.895,13.895,13.895,100,0
GEVG.US,5,20251226,210500,13.92,13.92,13.92,13.92,3988,0
GEVG.US,5,20251226,214500,13.92,13.92,13.92,13.92,100,0
GEVG.US,5,20251226,215500,13.94,13.94,13.94,13.94,100,0
GEVG.US,5,20251229,153000,13.81,13.91,13.81,13.91,400,0
GEVG.US,5,20251229,154000,13.9987,13.9987,13.9,13.9,711,0
GEVG.US,5,20251229,161500,13.52,13.52,13.52,13.52,100,0
GEVG.US,5,20251229,165000,13.69,13.69,13.69,13.69,500,0
GEVG.US,5,20251229,193000,13.89,13.89,13.89,13.89,100,0
GEVG.US,5,20251229,210500,13.96,13.99,13.96,13.9797,744,0
GEVG.US,5,20251229,211500,13.9701,13.9701,13.9701,13.9701,917,0
GEVG.US,5,20251230,155500,14.1,14.1,14.1,14.1,150,0
GEVG.US,5,20251230,181000,13.97,13.97,13.97,13.97,900,0
GEVG.US,5,20251230,192000,13.98,13.98,13.98,13.98,400,0
GEVG.US,5,20251230,200000,14.01,14.01,14.01,14.01,1531,0
GEVG.US,5,20251230,203000,13.93,13.93,13.91,13.91,1094,0
GEVG.US,5,20251230,205000,13.89,13.926,13.89,13.926,1470,0
GEVG.US,5,20251230,210000,13.92,13.92,13.92,13.92,100,0
GEVG.US,5,20251231,174500,13.63,13.63,13.58,13.58,2942,0
GEVG.US,5,20251231,175500,13.67,13.67,13.66,13.66,800,0
GEVG.US,5,20251231,180000,13.67,13.67,13.67,13.67,1114,0
GEVG.US,5,20251231,184000,13.74,13.74,13.74,13.74,100,0
GEVG.US,5,20251231,184500,13.74,13.74,13.74,13.74,199,0
GEVG.US,5,20251231,190500,13.685,13.685,13.67,13.67,402,0
GEVG.US,5,20251231,191000,13.69,13.7067,13.69,13.7067,364,0
GEVG.US,5,20260102,153000,14.05,14.05,14.05,14.05,200,0
GEVG.US,5,20260102,153500,14.07,14.07,14.06,14.06,231,0
GEVG.US,5,20260102,154000,14.1,14.2199,14.1,14.2199,827,0
GEVG.US,5,20260102,154500,14.06,14.06,14.06,14.06,100,0
GEVG.US,5,20260102,160500,14.04,14.04,14.04,14.04,100,0
GEVG.US,5,20260102,161500,13.82,13.88,13.82,13.88,1717,0
GEVG.US,5,20260102,162500,13.8,13.8,13.8,13.8,210,0
GEVG.US,5,20260102,163000,13.8,13.92,13.8,13.92,773,0
GEVG.US,5,20260102,164500,14,14,14,14,100,0
GEVG.US,5,20260102,165000,13.92,13.92,13.92,13.92,486,0
GEVG.US,5,20260102,165500,13.9301,13.9301,13.9301,13.9301,396,0
GEVG.US,5,20260102,170000,13.93,14.01,13.93,14.01,2100,0
GEVG.US,5,20260102,170500,14.01,14.01,14.01,14.01,147,0
GEVG.US,5,20260102,171500,14.23,14.28,14.23,14.28,555,0
GEVG.US,5,20260102,172000,14.25,14.25,14.25,14.25,100,0
GEVG.US,5,20260102,173000,14.29,14.42,14.29,14.42,433,0
GEVG.US,5,20260102,174000,14.37,14.37,14.37,14.37,200,0
GEVG.US,5,20260102,183000,14.5041,14.5041,14.5041,14.5041,140,0
GEVG.US,5,20260102,192000,14.29,14.29,14.29,14.29,108,0
GEVG.US,5,20260102,210500,14.4,14.4,14.4,14.4,100,0
GEVG.US,5,20260102,212000,14.46,14.46,14.46,14.46,400,0
GEVG.US,5,20260102,214500,14.44,14.44,14.44,14.44,400,0
GEVG.US,5,20260105,153000,15.01,15.01,15.01,15.01,100,0
GEVG.US,5,20260105,153500,15,15,15,15,250,0
GEVG.US,5,20260105,160000,14.2,14.2,14.2,14.2,335,0
GEVG.US,5,20260105,160500,14.36,14.36,14.36,14.36,999,0
GEVG.US,5,20260105,161000,14.2605,14.31,14.2605,14.31,300,0
GEVG.US,5,20260105,162000,14.4,14.4,14.4,14.4,200,0
GEVG.US,5,20260105,164000,14.52,14.52,14.52,14.52,960,0
GEVG.US,5,20260105,172500,14.41,14.41,14.41,14.41,600,0
GEVG.US,5,20260105,173000,14.4294,14.4294,14.4294,14.4294,600,0
GEVG.US,5,20260105,175500,14.44,14.44,14.44,14.44,100,0
GEVG.US,5,20260105,180000,14.39,14.39,14.39,14.39,100,0
GEVG.US,5,20260105,181500,14.44,14.44,14.44,14.44,500,0
GEVG.US,5,20260105,182000,14.46,14.46,14.46,14.46,899,0
