<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRAG.US,5,20251212,155000,15.37,15.37,15.37,15.37,220,0
GRAG.US,5,20251212,160000,15.29,15.29,15.29,15.29,100,0
GRAG.US,5,20251212,214500,15.06,15.06,15.06,15.06,100,0
GRAG.US,5,20251216,193000,13.69,13.69,13.69,13.69,100,0
GRAG.US,5,20251216,203000,13.49,13.49,13.49,13.49,627,0
GRAG.US,5,20251216,205000,13.63,13.63,13.62,13.62,920,0
GRAG.US,5,20251216,213500,13.69,13.7,13.69,13.7,1900,0
GRAG.US,5,20251217,153000,13.65,13.65,13.65,13.65,360,0
GRAG.US,5,20251217,181000,13.23,13.23,13.23,13.23,147,0
GRAG.US,5,20251217,182000,13.1895,13.1895,13.1895,13.1895,557,0
GRAG.US,5,20251217,182500,13.28,13.29,13.28,13.29,293,0
GRAG.US,5,20251218,153000,13.555,13.555,13.555,13.555,1000,0
GRAG.US,5,20251218,162000,13.35,13.35,13.35,13.35,100,0
GRAG.US,5,20251218,204500,13.55,13.55,13.55,13.55,100,0
GRAG.US,5,20251219,161500,13.87,13.88,13.8,13.8,600,0
GRAG.US,5,20251219,162500,13.8799,13.95,13.8799,13.95,2560,0
GRAG.US,5,20251219,163500,13.94,13.94,13.8899,13.89,1400,0
GRAG.US,5,20251219,173000,13.89,13.89,13.89,13.89,165,0
GRAG.US,5,20251219,173500,13.8774,13.8774,13.8774,13.8774,300,0
GRAG.US,5,20251219,203500,13.86,13.86,13.86,13.86,100,0
GRAG.US,5,20251219,213500,13.96,13.9999,13.96,13.9999,320,0
GRAG.US,5,20251222,153000,14.38,14.38,14.38,14.38,138,0
GRAG.US,5,20251222,153500,14.8,14.83,14.8,14.83,720,0
GRAG.US,5,20251222,155000,15.3,15.3,15.3,15.3,300,0
GRAG.US,5,20251222,160000,15.09,15.09,15.09,15.09,206,0
GRAG.US,5,20251222,163000,15.04,15.1,14.86,14.86,598,0
GRAG.US,5,20251222,163500,14.86,14.86,14.82,14.82,242,0
GRAG.US,5,20251222,200500,15.04,15.04,15.04,15.04,317,0
GRAG.US,5,20251222,214500,15.04,15.04,14.99,14.99,368,0
GRAG.US,5,20251223,153500,15.04,15.04,15.0399,15.04,3000,0
GRAG.US,5,20251223,155000,14.751,14.802,14.7,14.802,1494,0
GRAG.US,5,20251223,160000,14.66,14.66,14.66,14.66,402,0
GRAG.US,5,20251223,170500,14.54,14.54,14.54,14.54,100,0
GRAG.US,5,20251223,173500,14.36,14.36,14.36,14.36,300,0
GRAG.US,5,20251224,153000,14.315,14.315,14.13,14.14,620,0
GRAG.US,5,20251224,153500,14.1,14.1,14.1,14.1,273,0
GRAG.US,5,20251224,155500,14.13,14.13,14.13,14.13,250,0
GRAG.US,5,20251224,162000,14.39,14.39,14.39,14.39,140,0
GRAG.US,5,20251229,163500,14.73,14.73,14.72,14.7201,4444,0
GRAG.US,5,20251230,161000,14.39,14.39,14.39,14.39,160,0
GRAG.US,5,20251230,161500,14.36,14.36,14.36,14.36,139,0
GRAG.US,5,20251230,173000,14.24,14.24,14.24,14.24,190,0
GRAG.US,5,20251231,181000,13.95,13.95,13.95,13.95,168,0
GRAG.US,5,20251231,182000,13.93,13.93,13.93,13.93,100,0
GRAG.US,5,20260102,191500,13.93,13.93,13.93,13.93,162,0
GRAG.US,5,20260105,180500,14.75,14.75,14.75,14.75,100,0
GRAG.US,5,20260106,153500,15.35,15.35,15.35,15.35,510,0
GRAG.US,5,20260106,163500,15.13,15.13,15.13,15.13,149,0
GRAG.US,5,20260107,154500,14.9538,14.9538,14.93,14.93,700,0
GRAG.US,5,20260107,201000,14.7,14.7,14.7,14.7,100,0
GRAG.US,5,20260108,172500,13.48,13.48,13.48,13.48,100,0
GRAG.US,5,20260108,173500,13.3,13.3,13.3,13.3,500,0
GRAG.US,5,20260108,174000,13.3,13.3,13.3,13.3,200,0
GRAG.US,5,20260108,190000,13.15,13.16,13.15,13.16,959,0
GRAG.US,5,20260108,192500,13.03,13.03,13.03,13.03,200,0
GRAG.US,5,20260108,202000,13.21,13.22,13.21,13.22,6748,0
GRAG.US,5,20260108,203500,13.1802,13.1802,13.1802,13.1802,200,0
GRAG.US,5,20260108,204000,13.21,13.22,13.08,13.08,1971,0
GRAG.US,5,20260108,204500,13.16,13.22,13.04,13.196,3462,0
GRAG.US,5,20260108,205000,13.21,13.27,13.21,13.27,1772,0
GRAG.US,5,20260108,205500,13.1336,13.1336,13.1336,13.1336,831,0
GRAG.US,5,20260108,210500,13.04,13.04,13.04,13.04,100,0
GRAG.US,5,20260108,215000,13.05,13.05,13.05,13.05,745,0
GRAG.US,5,20260108,215500,13.01,13.02,12.92,13.0095,7110,0
