<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTOP.US,5,20251208,170500,39.92,39.92,39.89,39.89,1015,0
GTOP.US,5,20251208,171000,39.98,39.98,39.94,39.94,855,0
GTOP.US,5,20251208,172500,39.94,39.945,39.94,39.945,600,0
GTOP.US,5,20251208,174500,39.905,39.905,39.905,39.905,592,0
GTOP.US,5,20251208,180000,39.92,39.92,39.92,39.92,110,0
GTOP.US,5,20251208,180500,39.865,39.93,39.865,39.895,1035,0
GTOP.US,5,20251208,181000,39.965,39.965,39.965,39.965,160,0
GTOP.US,5,20251208,182000,39.89,39.89,39.89,39.89,110,0
GTOP.US,5,20251208,183000,39.94,39.94,39.915,39.915,810,0
GTOP.US,5,20251208,184000,39.975,39.975,39.93,39.93,1270,0
GTOP.US,5,20251208,184500,39.93,39.93,39.93,39.93,215,0
GTOP.US,5,20251208,185500,40.03,40.035,39.975,40.035,1450,0
GTOP.US,5,20251208,190000,40.03,40.03,40.03,40.03,170,0
GTOP.US,5,20251208,190500,40.12,40.12,40.12,40.12,170,0
GTOP.US,5,20251208,191000,40.0698,40.0698,40.0698,40.0698,370,0
GTOP.US,5,20251208,192500,39.98,39.98,39.98,39.98,1276,0
GTOP.US,5,20251208,194500,40.005,40.005,40.005,40.005,170,0
GTOP.US,5,20251208,195000,39.965,39.9651,39.965,39.965,1018,0
GTOP.US,5,20251208,195500,39.92,39.92,39.92,39.92,170,0
GTOP.US,5,20251208,201000,39.91,39.91,39.91,39.91,180,0
GTOP.US,5,20251208,201500,39.98,39.98,39.98,39.98,360,0
GTOP.US,5,20251208,202000,39.93,39.93,39.93,39.93,200,0
GTOP.US,5,20251208,211000,39.95,39.955,39.95,39.955,2096,0
GTOP.US,5,20251208,212000,39.95,39.95,39.95,39.95,440,0
GTOP.US,5,20251208,212500,39.89,39.89,39.89,39.89,160,0
GTOP.US,5,20251208,213000,39.97,39.97,39.97,39.97,170,0
GTOP.US,5,20251208,214000,39.93,39.97,39.93,39.97,2125,0
GTOP.US,5,20251209,154500,39.94,39.94,39.92,39.92,210,0
GTOP.US,5,20251209,160500,39.99,39.99,39.97,39.98,310,0
GTOP.US,5,20251209,164500,40.05,40.05,40.05,40.05,100,0
GTOP.US,5,20251209,165500,40.095,40.095,40.095,40.095,200,0
GTOP.US,5,20251209,171500,40.121,40.121,40.105,40.11,1284,0
GTOP.US,5,20251209,172500,40.12,40.12,40.12,40.12,1100,0
GTOP.US,5,20251209,173500,40.12,40.12,40.11,40.11,200,0
GTOP.US,5,20251209,174000,40.08,40.0801,40.08,40.0801,220,0
GTOP.US,5,20251209,174500,40.08,40.08,40.08,40.08,110,0
GTOP.US,5,20251209,181000,40.14,40.18,40.13,40.18,43759,0
GTOP.US,5,20251209,182000,40.15,40.15,40.15,40.15,1125,0
GTOP.US,5,20251209,185000,40.125,40.125,40.125,40.125,224,0
GTOP.US,5,20251209,192500,40.1405,40.1405,40.1405,40.1405,250,0
GTOP.US,5,20251209,193000,40.172,40.172,40.172,40.172,441,0
GTOP.US,5,20251209,194000,40.134,40.134,40.134,40.134,100,0
GTOP.US,5,20251209,194500,40.11,40.11,40.11,40.11,108,0
GTOP.US,5,20251209,195000,40.17,40.17,40.17,40.17,475,0
GTOP.US,5,20251209,200500,40.11,40.11,40.11,40.11,114,0
GTOP.US,5,20251209,202000,40.124,40.124,40.124,40.124,100,0
GTOP.US,5,20251209,202500,40.12,40.12,40.12,40.12,100,0
GTOP.US,5,20251209,203000,40.12,40.1201,40.12,40.1201,1314,0
GTOP.US,5,20251209,203500,40.1104,40.1104,40.1104,40.1104,400,0
GTOP.US,5,20251209,205000,40.12,40.13,40.12,40.13,303,0
GTOP.US,5,20251209,205500,40.13,40.13,40.13,40.13,628,0
GTOP.US,5,20251209,210000,40.13,40.14,40.13,40.14,872,0
GTOP.US,5,20251209,210500,40.13,40.13,40.13,40.13,1114,0
GTOP.US,5,20251209,212000,40.12,40.13,40.12,40.13,3600,0
GTOP.US,5,20251209,213000,40.13,40.13,40.13,40.13,480,0
GTOP.US,5,20251209,213500,40.13,40.13,40.13,40.13,100,0
GTOP.US,5,20251209,214000,40.14,40.14,40.14,40.14,124,0
GTOP.US,5,20251209,214500,40.134,40.134,40.13,40.13,956,0
GTOP.US,5,20251210,153000,40,40.06,39.84,40.06,1982,0
GTOP.US,5,20251210,155000,40.08,40.08,40.08,40.08,361,0
GTOP.US,5,20251210,160500,40.1036,40.1036,40.1036,40.1036,303,0
GTOP.US,5,20251210,163000,40,40,40,40,429,0
GTOP.US,5,20251210,165500,39.95,39.95,39.95,39.95,600,0
GTOP.US,5,20251210,170500,39.9133,39.9133,39.9133,39.9133,126,0
GTOP.US,5,20251210,171500,39.915,39.92,39.915,39.92,917,0
GTOP.US,5,20251210,172500,40.0774,40.0774,40.0774,40.0774,1896,0
GTOP.US,5,20251210,175000,40.08,40.115,40.08,40.115,1042,0
GTOP.US,5,20251210,180000,40.0944,40.0944,40.0944,40.0944,709,0
GTOP.US,5,20251210,181500,40.06,40.06,40.05,40.05,1000,0
GTOP.US,5,20251210,183000,40.03,40.03,40.0266,40.0266,524,0
GTOP.US,5,20251210,185500,40.0403,40.0403,40.0403,40.0403,127,0
GTOP.US,5,20251210,201000,40.145,40.145,40.145,40.145,100,0
GTOP.US,5,20251210,203000,40.0942,40.1,40.0942,40.1,579,0
GTOP.US,5,20251210,205000,40.09,40.09,40.09,40.09,100,0
GTOP.US,5,20251210,213500,40.3617,40.3651,40.3613,40.3613,1551,0
GTOP.US,5,20251211,153000,39.9114,39.9114,39.9114,39.9114,160,0
GTOP.US,5,20251211,154000,39.87,39.8904,39.87,39.88,870,0
GTOP.US,5,20251211,160000,39.57,39.57,39.57,39.57,400,0
GTOP.US,5,20251211,160500,39.685,39.75,39.68,39.75,3550,0
GTOP.US,5,20251211,161000,39.805,39.805,39.8,39.8,2500,0
GTOP.US,5,20251211,161500,39.79,39.805,39.79,39.805,200,0
GTOP.US,5,20251211,162000,39.81,39.91,39.805,39.91,300,0
GTOP.US,5,20251211,163000,39.83,39.83,39.83,39.83,100,0
GTOP.US,5,20251211,165500,39.64,39.71,39.64,39.71,790,0
GTOP.US,5,20251211,173000,39.65,39.65,39.65,39.65,100,0
GTOP.US,5,20251211,173500,39.66,39.66,39.66,39.66,100,0
GTOP.US,5,20251211,174000,39.755,39.7694,39.755,39.7694,330,0
GTOP.US,5,20251211,174500,39.77,39.84,39.77,39.84,200,0
GTOP.US,5,20251211,175000,39.7836,39.8,39.76,39.76,18519,0
GTOP.US,5,20251211,180500,39.7034,39.7034,39.7,39.7,395,0
GTOP.US,5,20251211,181000,39.71,39.71,39.71,39.71,100,0
GTOP.US,5,20251211,181500,39.82,39.82,39.82,39.82,100,0
GTOP.US,5,20251211,183500,39.91,39.91,39.91,39.91,100,0
