<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IALT.US,5,20251211,153500,25.1,25.1,25.1,25.1,200,0
IALT.US,5,20251211,154000,25.09,25.09,25.09,25.09,200,0
IALT.US,5,20251211,155500,25.05,25.05,25.05,25.05,200,0
IALT.US,5,20251211,160000,25.1283,25.1283,25.1283,25.1283,197,0
IALT.US,5,20251211,160500,25.13,25.13,25.062,25.13,4395,0
IALT.US,5,20251211,161000,25.13,25.13,24.97,25.062,9600,0
IALT.US,5,20251211,161500,25.0949,25.0949,25.0949,25.0949,100,0
IALT.US,5,20251211,164500,25.13,25.13,25.13,25.13,100,0
IALT.US,5,20251211,171000,25.1288,25.1288,25.1288,25.1288,1500,0
IALT.US,5,20251211,171500,25.031,25.031,25.031,25.031,200,0
IALT.US,5,20251211,183000,25.1391,25.1391,25.1391,25.1391,1000,0
IALT.US,5,20251211,183500,25.14,25.14,25.14,25.14,100,0
IALT.US,5,20251211,200500,25.115,25.115,25.115,25.115,1010,0
IALT.US,5,20251211,201000,25.115,25.12,25.115,25.12,1000,0
IALT.US,5,20251211,203000,25.119,25.12,25.119,25.12,200,0
IALT.US,5,20251211,211500,25.12,25.12,25.12,25.12,831,0
IALT.US,5,20251211,212500,25.13,25.13,25.1299,25.1299,1794,0
IALT.US,5,20251211,214500,25.1398,25.1398,25.1398,25.1398,100,0
IALT.US,5,20251211,215500,25.14,25.14,25.14,25.14,217,0
IALT.US,5,20251212,153000,25.11,25.11,25.11,25.11,500,0
IALT.US,5,20251212,154000,25.11,25.12,25.1099,25.115,2440,0
IALT.US,5,20251212,155000,25.1199,25.12,25.1199,25.12,200,0
IALT.US,5,20251212,160000,25.1101,25.1101,25.1101,25.1101,100,0
IALT.US,5,20251212,161000,25.1165,25.1165,25.1165,25.1165,437,0
IALT.US,5,20251212,163000,25.11,25.115,25.11,25.11,1500,0
IALT.US,5,20251212,163500,25.11,25.11,25.11,25.11,100,0
IALT.US,5,20251212,164500,25.1145,25.1145,25.1145,25.1145,199,0
IALT.US,5,20251212,165500,25.11,25.115,25.11,25.11,2680,0
IALT.US,5,20251212,170500,25.11,25.115,25.11,25.11,500,0
IALT.US,5,20251212,173000,25.11,25.11,25.11,25.11,300,0
IALT.US,5,20251212,173500,25.11,25.11,25.041,25.041,600,0
IALT.US,5,20251212,175000,25.0599,25.0599,25.0599,25.0599,320,0
IALT.US,5,20251212,181000,24.97,24.97,24.97,24.97,200,0
IALT.US,5,20251212,181500,25.06,25.06,25.0599,25.0599,419,0
IALT.US,5,20251215,154500,25.08,25.08,25.08,25.08,100,0
IALT.US,5,20251215,160000,25.0418,25.0418,25.0418,25.0418,280,0
IALT.US,5,20251215,162500,25.07,25.07,25.07,25.07,200,0
IALT.US,5,20251215,163000,25.07,25.07,25.07,25.07,200,0
IALT.US,5,20251215,182000,25.0455,25.05,25.0455,25.05,807,0
IALT.US,5,20251215,182500,25.05,25.06,25.05,25.055,1250,0
IALT.US,5,20251215,183000,25.06,25.06,25.0535,25.0565,1336,0
IALT.US,5,20251215,184500,25.0558,25.0558,25.0558,25.0558,268,0
IALT.US,5,20251215,190000,25.06,25.06,25.0599,25.0599,600,0
IALT.US,5,20251215,190500,25.06,25.06,25.0599,25.0599,218,0
IALT.US,5,20251215,191500,25.06,25.06,25.06,25.06,200,0
IALT.US,5,20251215,195000,25.0544,25.0544,25.0544,25.0544,1000,0
IALT.US,5,20251215,200000,25.06,25.06,25.0599,25.06,2086,0
IALT.US,5,20251215,200500,25.06,25.06,25.06,25.06,100,0
IALT.US,5,20251215,201500,25.0599,25.06,25.0599,25.06,200,0
IALT.US,5,20251215,203500,25.06,25.06,25.06,25.06,100,0
IALT.US,5,20251215,205500,25.06,25.06,25.06,25.06,100,0
IALT.US,5,20251215,211000,25.06,25.06,25.06,25.06,1127,0
IALT.US,5,20251215,211500,25.06,25.07,25.06,25.07,1074,0
IALT.US,5,20251215,212500,25.06,25.06,25.06,25.06,900,0
IALT.US,5,20251215,215500,25.07,25.08,25.07,25.08,3000,0
IALT.US,5,20251216,153000,25.07,25.07,25.07,25.07,1423,0
IALT.US,5,20251216,155000,25.07,25.07,25.0699,25.0699,400,0
IALT.US,5,20251216,162500,25.075,25.075,25.075,25.075,100,0
IALT.US,5,20251216,164500,25.07,25.07,25.07,25.07,100,0
IALT.US,5,20251216,171000,25.05,25.05,25.05,25.05,100,0
IALT.US,5,20251216,173500,25.07,25.07,25.0699,25.0699,570,0
IALT.US,5,20251216,185000,25.08,25.08,25.08,25.08,200,0
IALT.US,5,20251216,190000,25.07,25.07,25.07,25.07,600,0
IALT.US,5,20251216,191500,25.075,25.075,25.075,25.075,120,0
IALT.US,5,20251216,193000,25.08,25.08,25.08,25.08,300,0
IALT.US,5,20251216,194500,25.0899,25.09,25.0899,25.09,300,0
IALT.US,5,20251216,201000,25.09,25.09,25.09,25.09,100,0
IALT.US,5,20251216,212000,25.11,25.11,25.11,25.11,1759,0
IALT.US,5,20251217,153000,25.09,25.09,25.07,25.07,1402,0
IALT.US,5,20251217,154000,25.065,25.065,25.065,25.065,500,0
IALT.US,5,20251217,161000,25.065,25.07,25.06,25.07,1200,0
IALT.US,5,20251217,163500,25.06,25.06,25.06,25.06,500,0
IALT.US,5,20251217,164000,25.05,25.05,25.04,25.0499,1800,0
IALT.US,5,20251217,165000,25.04,25.04,25.04,25.04,200,0
IALT.US,5,20251217,165500,25.03,25.03,25.03,25.03,500,0
IALT.US,5,20251217,170500,25.0216,25.0216,25.0216,25.0216,100,0
IALT.US,5,20251217,183000,25.03,25.03,25.03,25.03,500,0
IALT.US,5,20251217,184500,25.03,25.03,25.03,25.03,280,0
IALT.US,5,20251217,185000,25.03,25.03,25.03,25.03,500,0
IALT.US,5,20251217,185500,25.03,25.03,25.03,25.03,500,0
IALT.US,5,20251217,202500,25,25.01,25,25,6425,0
