<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGACR.US,5,20251222,162000,0.17,0.17,0.17,0.17,3000,0
IGACR.US,5,20251222,164000,0.18,0.18,0.18,0.18,47805,0
IGACR.US,5,20251222,165500,0.18,0.18,0.18,0.18,500,0
IGACR.US,5,20251222,191000,0.19,0.19,0.19,0.19,200,0
IGACR.US,5,20251223,192000,0.19,0.19,0.19,0.19,100000,0
IGACR.US,5,20251223,215500,0.196,0.2,0.196,0.2,1000,0
IGACR.US,5,20251229,195000,0.19,0.19,0.19,0.19,2500,0
IGACR.US,5,20251229,214000,0.19,0.19,0.19,0.19,2000,0
IGACR.US,5,20251230,205000,0.195,0.195,0.19,0.19,5600,0
IGACR.US,5,20251231,175000,0.19,0.19,0.19,0.19,10000,0
IGACR.US,5,20260102,180500,0.19,0.19,0.19,0.19,10000,0
IGACR.US,5,20260102,191500,0.19,0.19,0.19,0.19,5000,0
IGACR.US,5,20260105,171000,0.19,0.19,0.19,0.19,8100,0
IGACR.US,5,20260105,174500,0.1811,0.1812,0.18,0.18,60400,0
IGACR.US,5,20260105,190000,0.175,0.175,0.17,0.175,31500,0
