<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INACU.US,5,20250813,160000,10.11,10.11,10.11,10.11,319,0
INACU.US,5,20250813,161000,10.07,10.0912,10.07,10.07,5198,0
INACU.US,5,20250813,161500,10.11,10.11,10.11,10.11,136,0
INACU.US,5,20250813,162500,10.07,10.1018,10.07,10.1,3800,0
INACU.US,5,20250813,163000,10.0701,10.1018,10.07,10.07,5300,0
INACU.US,5,20250813,164500,10.0801,10.0801,10.07,10.08,1200,0
INACU.US,5,20250813,165000,10.08,10.0965,10.07,10.07,2100,0
INACU.US,5,20250813,171000,10.0965,10.0965,10.07,10.0754,7600,0
INACU.US,5,20250813,171500,10.0701,10.0965,10.07,10.07,3100,0
INACU.US,5,20250813,184000,10.07,10.07,10.07,10.07,100,0
INACU.US,5,20250813,191000,10.06,10.06,10.06,10.06,100,0
INACU.US,5,20250813,215000,10.06,10.06,10.06,10.06,400,0
INACU.US,5,20250814,180000,10.09,10.1065,10.08,10.1065,3900,0
INACU.US,5,20250814,180500,10.105,10.1065,10.08,10.0801,1500,0
INACU.US,5,20250814,183000,10.07,10.07,10.07,10.07,100,0
INACU.US,5,20250814,183500,10.08,10.08,10.073,10.08,2600,0
INACU.US,5,20250814,184000,10.08,10.08,10.08,10.08,400,0
INACU.US,5,20250814,195500,10.08,10.08,10.08,10.08,100,0
INACU.US,5,20250814,203500,10.07,10.07,10.07,10.07,276,0
INACU.US,5,20250814,205000,10.07,10.07,10.07,10.07,100,0
INACU.US,5,20250814,205500,10.07,10.07,10.07,10.07,5324,0
INACU.US,5,20250814,212000,10.06,10.06,10.06,10.06,117,0
INACU.US,5,20250814,214500,10.06,10.06,10.06,10.06,145,0
INACU.US,5,20250815,163500,10.07,10.07,10.07,10.07,3100,0
INACU.US,5,20250815,165500,10.07,10.07,10.07,10.07,1500,0
INACU.US,5,20250815,173000,10.07,10.07,10.07,10.07,500,0
INACU.US,5,20250815,183500,10.07,10.07,10.07,10.07,400,0
INACU.US,5,20250815,212500,10.08,10.08,10.08,10.08,2000,0
INACU.US,5,20250818,205500,10.07,10.07,10.07,10.07,317,0
INACU.US,5,20250818,212000,10.07,10.07,10.07,10.07,2574,0
INACU.US,5,20250818,215500,10.07,10.07,10.07,10.07,992,0
INACU.US,5,20250819,162500,10.09,10.09,10.08,10.08,223,0
INACU.US,5,20250819,174000,10.07,10.0859,10.07,10.0701,3100,0
INACU.US,5,20250819,185000,10.07,10.07,10.07,10.07,100,0
