<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVSS.US,5,20251205,161500,25.3864,25.3864,25.3864,25.3864,394,0
IVSS.US,5,20251205,173000,25.32,25.32,25.32,25.32,100,0
IVSS.US,5,20251205,181500,25.26,25.26,25.26,25.26,80000,0
IVSS.US,5,20251208,170000,25.17,25.17,25.17,25.17,100,0
IVSS.US,5,20251208,200000,25.0523,25.0523,25.0523,25.0523,100,0
IVSS.US,5,20251209,203500,25.24,25.24,25.24,25.24,100,0
IVSS.US,5,20251209,204000,25.25,25.25,25.25,25.25,100,0
IVSS.US,5,20251209,204500,25.25,25.25,25.25,25.25,100,0
IVSS.US,5,20251209,205000,25.27,25.27,25.27,25.27,100,0
IVSS.US,5,20251209,205500,25.27,25.27,25.27,25.27,100,0
IVSS.US,5,20251210,163000,25.31,25.31,25.31,25.31,100,0
IVSS.US,5,20251210,194000,25.44,25.44,25.44,25.44,122,0
IVSS.US,5,20251210,204000,25.5,25.5,25.49,25.49,1679,0
IVSS.US,5,20251210,210000,25.7,25.7,25.69,25.69,570,0
IVSS.US,5,20251210,213500,25.81,25.81,25.81,25.81,200,0
IVSS.US,5,20251210,214000,25.8,25.8,25.8,25.8,100,0
IVSS.US,5,20251210,215000,25.72,25.72,25.72,25.72,100,0
IVSS.US,5,20251210,215500,25.7,25.7,25.7,25.7,100,0
IVSS.US,5,20251211,165500,25.9,25.9,25.9,25.9,101,0
IVSS.US,5,20251211,172000,25.8696,25.8696,25.8696,25.8696,100,0
IVSS.US,5,20251211,214000,26.01,26.01,26.01,26.01,200,0
IVSS.US,5,20251211,215500,25.96,25.96,25.95,25.95,1379,0
IVSS.US,5,20251212,200500,25.78,25.78,25.78,25.78,400,0
IVSS.US,5,20251215,154000,25.91,25.91,25.91,25.91,100,0
IVSS.US,5,20251215,203500,25.79,25.79,25.79,25.79,100,0
IVSS.US,5,20251215,204000,25.78,25.78,25.78,25.78,300,0
IVSS.US,5,20251215,204500,25.78,25.78,25.78,25.78,100,0
IVSS.US,5,20251215,205000,25.79,25.79,25.79,25.79,2000,0
IVSS.US,5,20251215,205500,25.81,25.81,25.81,25.81,100,0
IVSS.US,5,20251215,215500,25.77,25.77,25.77,25.77,100,0
IVSS.US,5,20251216,183500,25.66,25.66,25.66,25.66,500,0
IVSS.US,5,20251216,213500,25.66,25.66,25.66,25.66,1648,0
IVSS.US,5,20251217,184500,25.62,25.62,25.62,25.62,200,0
IVSS.US,5,20251217,201500,25.62,25.62,25.62,25.62,300,0
IVSS.US,5,20251217,211500,25.6608,25.6608,25.6608,25.6608,100,0
IVSS.US,5,20251217,212500,25.6108,25.6108,25.6108,25.6108,100,0
IVSS.US,5,20251218,175000,25.7,25.7,25.7,25.7,296,0
IVSS.US,5,20251218,175500,25.75,25.75,25.75,25.75,200,0
IVSS.US,5,20251218,180500,25.68,25.68,25.68,25.68,200,0
IVSS.US,5,20251218,181000,25.65,25.65,25.65,25.65,1000,0
IVSS.US,5,20251218,204500,25.66,25.66,25.6599,25.66,2000,0
IVSS.US,5,20251218,205000,25.64,25.64,25.6399,25.6399,2000,0
IVSS.US,5,20251219,172500,25.58,25.58,25.58,25.58,350,0
IVSS.US,5,20251219,181500,25.6493,25.6493,25.6493,25.6493,506,0
IVSS.US,5,20251219,182500,25.6585,25.6585,25.6585,25.6585,105,0
IVSS.US,5,20251219,195500,25.61,25.61,25.6,25.6,244,0
IVSS.US,5,20251219,200000,25.61,25.61,25.61,25.61,122,0
IVSS.US,5,20251219,200500,25.61,25.61,25.6,25.6,244,0
IVSS.US,5,20251219,201000,25.59,25.59,25.59,25.59,244,0
IVSS.US,5,20251219,201500,25.59,25.59,25.59,25.59,122,0
IVSS.US,5,20251219,202000,25.58,25.58,25.58,25.58,350,0
IVSS.US,5,20251219,211500,25.52,25.52,25.52,25.52,1172,0
IVSS.US,5,20251222,160000,25.77,25.77,25.77,25.77,100,0
IVSS.US,5,20251222,162500,25.84,25.84,25.81,25.81,4228,0
IVSS.US,5,20251222,170000,25.819,25.819,25.819,25.819,200,0
IVSS.US,5,20251222,170500,25.8148,25.8148,25.8148,25.8148,200,0
IVSS.US,5,20251222,171000,25.81,25.81,25.81,25.81,2636,0
IVSS.US,5,20251222,175500,25.87,25.87,25.87,25.87,100,0
IVSS.US,5,20251222,183000,25.82,25.82,25.82,25.82,200,0
IVSS.US,5,20251222,210500,25.75,25.75,25.75,25.75,457,0
IVSS.US,5,20251223,154000,25.75,25.75,25.75,25.75,400,0
IVSS.US,5,20251223,214500,25.65,25.65,25.65,25.65,2601,0
IVSS.US,5,20251224,162500,25.67,25.67,25.67,25.67,605,0
IVSS.US,5,20251224,175000,25.67,25.67,25.64,25.64,1800,0
IVSS.US,5,20251224,182000,25.68,25.68,25.68,25.68,160,0
IVSS.US,5,20251226,211500,25.66,25.66,25.6396,25.6396,200,0
IVSS.US,5,20251229,154500,25.64,25.64,25.64,25.64,100,0
IVSS.US,5,20251229,163500,25.587,25.587,25.587,25.587,300,0
IVSS.US,5,20251230,185000,25.5442,25.5442,25.5442,25.5442,200,0
IVSS.US,5,20251230,203000,25.54,25.54,25.54,25.54,3167,0
IVSS.US,5,20251230,210500,25.52,25.52,25.52,25.52,100,0
IVSS.US,5,20251230,211000,25.5039,25.5039,25.5039,25.5039,500,0
IVSS.US,5,20251230,211500,25.52,25.52,25.52,25.52,500,0
IVSS.US,5,20251230,212000,25.5178,25.5178,25.5178,25.5178,1000,0
IVSS.US,5,20251231,164500,25.31,25.31,25.31,25.31,100,0
IVSS.US,5,20251231,181500,25.3,25.3,25.2999,25.2999,4000,0
IVSS.US,5,20251231,182000,25.26,25.282,25.26,25.282,315,0
IVSS.US,5,20251231,192000,25.3,25.3,25.3,25.3,198,0
IVSS.US,5,20251231,204000,25.3,25.3,25.3,25.3,100,0
IVSS.US,5,20251231,211000,25.26,25.26,25.26,25.26,1819,0
IVSS.US,5,20251231,211500,25.26,25.26,25.26,25.26,1819,0
IVSS.US,5,20251231,215000,25.22,25.22,25.22,25.22,100,0
IVSS.US,5,20260102,162000,25.24,25.24,25.24,25.24,100,0
IVSS.US,5,20260102,175500,25.2789,25.2899,25.2789,25.2899,545,0
IVSS.US,5,20260102,182500,25.33,25.33,25.33,25.33,100,0
IVSS.US,5,20260102,201000,25.3,25.3,25.298,25.298,280,0
IVSS.US,5,20260102,212000,25.36,25.36,25.36,25.36,2208,0
IVSS.US,5,20260102,212500,25.35,25.35,25.35,25.35,100,0
IVSS.US,5,20260102,214500,25.3225,25.3225,25.3225,25.3225,1122,0
IVSS.US,5,20260105,165000,25.64,25.64,25.64,25.64,100,0
IVSS.US,5,20260105,170500,25.59,25.59,25.56,25.56,370,0
IVSS.US,5,20260105,171000,25.5762,25.5999,25.5762,25.5999,600,0
IVSS.US,5,20260105,171500,25.5832,25.5832,25.5832,25.5832,300,0
IVSS.US,5,20260105,172000,25.5889,25.5889,25.5889,25.5889,150,0
IVSS.US,5,20260105,173500,25.61,25.61,25.6098,25.6098,600,0
IVSS.US,5,20260105,174000,25.61,25.64,25.61,25.64,2500,0
IVSS.US,5,20260105,174500,25.6395,25.6395,25.6395,25.6395,800,0
IVSS.US,5,20260105,183000,25.7499,25.75,25.7499,25.75,900,0
IVSS.US,5,20260105,184000,25.7322,25.7322,25.7322,25.7322,500,0
IVSS.US,5,20260105,204000,25.765,25.765,25.76,25.76,200,0
IVSS.US,5,20260105,205500,25.75,25.75,25.75,25.75,900,0
IVSS.US,5,20260105,211000,25.71,25.71,25.71,25.71,100,0
IVSS.US,5,20260105,213000,25.69,25.69,25.69,25.69,2282,0
IVSS.US,5,20260105,215000,25.66,25.66,25.66,25.66,100,0
IVSS.US,5,20260106,153500,25.574,25.574,25.574,25.574,400,0
IVSS.US,5,20260106,160000,25.67,25.67,25.67,25.67,1161,0
IVSS.US,5,20260106,164000,25.76,25.76,25.76,25.76,100,0
IVSS.US,5,20260106,165500,25.7393,25.7393,25.7393,25.7393,200,0
IVSS.US,5,20260106,175500,25.73,25.73,25.73,25.73,10607,0
IVSS.US,5,20260106,180000,25.76,25.76,25.76,25.76,114548,0
IVSS.US,5,20260106,190000,25.945,25.945,25.945,25.945,300,0
IVSS.US,5,20260106,194000,25.88,25.88,25.88,25.88,200,0
IVSS.US,5,20260106,195000,25.88,25.88,25.88,25.88,100,0
IVSS.US,5,20260106,205000,25.9077,25.9077,25.8859,25.8859,400,0
IVSS.US,5,20260106,211500,25.92,25.92,25.92,25.92,6181,0
IVSS.US,5,20260106,214000,25.9463,25.9463,25.9463,25.9463,385,0
IVSS.US,5,20260107,160500,25.82,25.82,25.82,25.82,100,0
IVSS.US,5,20260107,161500,25.74,25.74,25.74,25.74,100,0
IVSS.US,5,20260107,162000,25.74,25.74,25.74,25.74,200,0
IVSS.US,5,20260107,182500,25.88,25.88,25.88,25.88,100,0
IVSS.US,5,20260107,183500,25.88,25.88,25.88,25.88,100,0
IVSS.US,5,20260107,184500,25.86,25.86,25.86,25.86,125,0
IVSS.US,5,20260107,185000,25.835,25.835,25.83,25.83,200,0
IVSS.US,5,20260107,190000,25.775,25.775,25.77,25.77,200,0
IVSS.US,5,20260107,192000,25.78,25.78,25.78,25.78,150,0
IVSS.US,5,20260107,193500,25.8,25.8,25.8,25.8,125,0
IVSS.US,5,20260107,194500,25.8,25.8,25.8,25.8,125,0
IVSS.US,5,20260107,195500,25.81,25.81,25.81,25.81,125,0
IVSS.US,5,20260107,200000,25.82,25.82,25.82,25.82,125,0
IVSS.US,5,20260107,201000,25.83,25.83,25.83,25.83,100,0
IVSS.US,5,20260107,201500,25.83,25.83,25.83,25.83,100,0
IVSS.US,5,20260107,202000,25.83,25.83,25.83,25.83,100,0
IVSS.US,5,20260107,204500,25.83,25.83,25.83,25.83,2100,0
IVSS.US,5,20260107,214000,25.81,25.81,25.81,25.81,7541,0
IVSS.US,5,20260107,215000,25.84,25.84,25.84,25.84,175,0
IVSS.US,5,20260108,154000,25.87,25.87,25.87,25.87,100,0
IVSS.US,5,20260108,161500,26.1,26.1,26.0999,26.0999,1120,0
IVSS.US,5,20260108,165000,26.06,26.06,26.06,26.06,100,0
IVSS.US,5,20260108,214000,26.21,26.21,26.21,26.21,4390,0
