<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JCSE.US,5,20250813,153500,0.9698,0.9698,0.9549,0.9549,3000,0
JCSE.US,5,20250813,161000,0.94,0.94,0.94,0.94,200,0
JCSE.US,5,20250813,162500,0.94,0.94,0.94,0.94,100,0
JCSE.US,5,20250813,165000,0.94,0.9564,0.94,0.9564,9900,0
JCSE.US,5,20250813,165500,0.962399,0.962399,0.962399,0.962399,500,0
JCSE.US,5,20250813,171500,0.94,0.94,0.94,0.94,100,0
JCSE.US,5,20250813,173500,0.9401,0.9401,0.9401,0.9401,1800,0
JCSE.US,5,20250813,181000,0.9575,0.9575,0.9575,0.9575,103,0
JCSE.US,5,20250813,183000,0.94,0.94,0.94,0.94,100,0
JCSE.US,5,20250814,153500,0.93,0.93,0.93,0.93,100,0
JCSE.US,5,20250814,154000,0.93,0.93,0.93,0.93,100,0
JCSE.US,5,20250814,154500,0.9301,0.9301,0.9301,0.9301,150,0
JCSE.US,5,20250814,155000,0.935,0.94,0.935,0.94,1357,0
JCSE.US,5,20250814,160000,0.935,0.935,0.935,0.935,100,0
JCSE.US,5,20250814,160500,0.94,0.95,0.94,0.95,3263,0
JCSE.US,5,20250814,163000,0.93,0.93,0.93,0.93,100,0
JCSE.US,5,20250814,175500,0.94,0.94,0.94,0.94,100,0
JCSE.US,5,20250814,181500,0.955,0.955,0.955,0.955,100,0
JCSE.US,5,20250814,192000,0.93,0.93,0.93,0.93,100,0
JCSE.US,5,20250814,204500,0.93,0.9301,0.92,0.9301,2031,0
JCSE.US,5,20250814,210500,0.91,0.91,0.91,0.91,100,0
JCSE.US,5,20250815,153000,0.91,0.91,0.91,0.91,552,0
JCSE.US,5,20250815,153500,0.9101,0.9101,0.9101,0.9101,200,0
JCSE.US,5,20250815,154000,0.91,0.91,0.91,0.91,100,0
JCSE.US,5,20250815,161000,0.9101,0.9101,0.91,0.91,1680,0
JCSE.US,5,20250815,162500,0.91,0.91,0.91,0.91,220,0
JCSE.US,5,20250815,203000,0.9107,0.9107,0.9107,0.9107,700,0
JCSE.US,5,20250815,205000,0.901,0.901,0.901,0.901,100,0
JCSE.US,5,20250818,160000,0.9021,0.9021,0.9021,0.9021,408,0
JCSE.US,5,20250818,161500,0.9021,0.9021,0.9021,0.9021,100,0
JCSE.US,5,20250818,163500,0.9002,0.9002,0.9002,0.9002,171,0
JCSE.US,5,20250818,170500,0.9,0.9,0.9,0.9,100,0
JCSE.US,5,20250818,184000,0.9,0.9,0.9,0.9,100,0
JCSE.US,5,20250818,202000,0.9198,0.9198,0.9198,0.9198,500,0
JCSE.US,5,20250818,204500,0.9,0.9,0.9,0.9,100,0
JCSE.US,5,20250819,154000,0.91,0.91,0.91,0.91,100,0
JCSE.US,5,20250819,160000,0.93,0.93,0.92281,0.92281,1587,0
JCSE.US,5,20250819,162500,0.93,0.93,0.93,0.93,456,0
JCSE.US,5,20250819,165000,0.926068,0.926068,0.926068,0.926068,420,0
JCSE.US,5,20250819,165500,0.9103,0.9103,0.9103,0.9103,100,0
JCSE.US,5,20250819,172500,0.9103,0.9103,0.9103,0.9103,100,0
JCSE.US,5,20250819,190000,0.9103,0.9103,0.9103,0.9103,100,0
JCSE.US,5,20250819,200500,0.91,0.91,0.91,0.91,100,0
JCSE.US,5,20250819,202000,0.9274,0.9274,0.9274,0.9274,104,0
JCSE.US,5,20250819,205000,0.924015,0.924015,0.924015,0.924015,420,0
JCSE.US,5,20250819,210500,0.91,0.91,0.91,0.91,100,0
JCSE.US,5,20250819,215000,0.91408,0.914233,0.913658,0.914233,840,0
JCSE.US,5,20250819,215500,0.92,0.92,0.92,0.92,300,0
JCSE.US,5,20250820,153000,0.91,0.91,0.91,0.91,105,0
JCSE.US,5,20250820,154500,0.91,0.91,0.91,0.91,124,0
JCSE.US,5,20250820,155000,0.918604,0.918604,0.918604,0.918604,100,0
JCSE.US,5,20250820,164500,0.93,0.93,0.93,0.93,456,0
JCSE.US,5,20250820,165000,0.92,0.92,0.92,0.92,100,0
JCSE.US,5,20250820,184500,0.91,0.91,0.91,0.91,100,0
JCSE.US,5,20250820,185000,0.925457,0.925457,0.925457,0.925457,400,0
JCSE.US,5,20250820,185500,0.926186,0.926186,0.926186,0.926186,249,0
JCSE.US,5,20250820,201000,0.91,0.91,0.896,0.9,5333,0
JCSE.US,5,20250820,202000,0.917631,0.917631,0.917631,0.917631,250,0
JCSE.US,5,20250820,203500,0.9,0.9,0.9,0.9,1100,0
JCSE.US,5,20250821,153000,0.918,0.918,0.906998,0.906998,1229,0
JCSE.US,5,20250821,172500,0.9092,0.9092,0.9092,0.9092,100,0
JCSE.US,5,20250821,182500,0.914899,0.914899,0.914899,0.914899,200,0
JCSE.US,5,20250821,200500,0.902779,0.902779,0.902779,0.902779,500,0
JCSE.US,5,20250821,205500,0.9148,0.9148,0.9148,0.9148,1000,0
JCSE.US,5,20250821,215000,0.9,0.9,0.9,0.9,239,0
JCSE.US,5,20250821,215500,0.9,0.9148,0.9,0.9148,6000,0
JCSE.US,5,20250822,165000,0.914,0.914,0.914,0.914,100,0
JCSE.US,5,20250822,184000,0.943799,0.943799,0.943799,0.943799,200,0
JCSE.US,5,20250822,185500,0.943716,0.943716,0.943716,0.943716,250,0
JCSE.US,5,20250825,153000,1,1,1,1,449,0
JCSE.US,5,20250825,174500,0.93,0.93,0.93,0.93,500,0
JCSE.US,5,20250825,175500,0.9789,0.98,0.9555,0.98,4778,0
JCSE.US,5,20250825,185000,0.931,0.931,0.931,0.931,100,0
JCSE.US,5,20250826,153000,0.97,0.97,0.97,0.97,570,0
JCSE.US,5,20250826,155000,0.9701,0.9701,0.9701,0.9701,100,0
JCSE.US,5,20250826,163000,0.95,0.95,0.95,0.95,200,0
JCSE.US,5,20250826,163500,0.935,0.97,0.935,0.97,340,0
JCSE.US,5,20250826,165000,0.97708,0.97708,0.97708,0.97708,1031,0
JCSE.US,5,20250826,181000,0.97,0.97,0.97,0.97,100,0
JCSE.US,5,20250826,184500,0.973006,0.973006,0.973006,0.973006,100,0
JCSE.US,5,20250826,213500,0.95,0.95,0.95,0.95,477,0
JCSE.US,5,20250827,153000,0.935,0.935,0.935,0.935,100,0
JCSE.US,5,20250827,165500,0.97,0.97,0.97,0.97,110,0
JCSE.US,5,20250827,181500,0.9698,0.9698,0.9698,0.9698,381,0
JCSE.US,5,20250827,184500,0.9897,0.9897,0.9897,0.9897,100,0
JCSE.US,5,20250827,190000,0.99,0.99,0.99,0.99,1000,0
JCSE.US,5,20250827,191000,0.9899,0.9899,0.9816,0.9816,300,0
JCSE.US,5,20250827,211500,0.9752,0.9752,0.9752,0.9752,300,0
JCSE.US,5,20250827,215500,0.9899,0.99,0.9899,0.9899,391,0
JCSE.US,5,20250828,153000,0.99,0.99,0.99,0.99,107,0
JCSE.US,5,20250828,180000,0.99,0.99,0.99,0.99,1001,0
JCSE.US,5,20250828,181000,1,1,1,1,1100,0
JCSE.US,5,20250828,182000,1.0099,1.07,1.0099,1.0699,4156,0
JCSE.US,5,20250828,182500,1.07,1.07,1.06,1.0689,1100,0
JCSE.US,5,20250828,183000,1.09,1.28,1.07,1.2025,227624,0
JCSE.US,5,20250828,183500,1.2024,1.26,1.1422,1.2252,129517,0
JCSE.US,5,20250828,184000,1.21,1.2299,1.15,1.18,31398,0
JCSE.US,5,20250828,184500,1.18,1.21,1.15,1.16,76161,0
JCSE.US,5,20250828,185000,1.16,1.1797,1.08,1.1143,83721,0
JCSE.US,5,20250828,185500,1.11,1.11,1.0882,1.09,14632,0
JCSE.US,5,20250828,190000,1.0999,1.114,0.9849,1,35092,0
JCSE.US,5,20250828,190500,0.9801,1.01,0.9,1,53040,0
JCSE.US,5,20250828,191000,1.02,1.02,0.986,1.0002,20864,0
JCSE.US,5,20250828,191500,1.01,1.01,1,1,2224,0
JCSE.US,5,20250828,192000,1,1.0001,0.995,1.0001,8882,0
JCSE.US,5,20250828,192500,1,1,0.975,0.981106,17164,0
JCSE.US,5,20250828,193000,0.9772,1,0.9652,1,8788,0
JCSE.US,5,20250828,193500,0.9999,1,0.9635,0.9688,2134,0
JCSE.US,5,20250828,194000,0.9688,0.9693,0.9688,0.9693,1300,0
JCSE.US,5,20250828,194500,0.9694,0.9999,0.963,0.963,3809,0
JCSE.US,5,20250828,195000,0.9874,0.9874,0.9874,0.9874,999,0
JCSE.US,5,20250828,195500,0.99,1.0588,0.977113,1.0588,22892,0
JCSE.US,5,20250828,200000,1.02,1.05,1.02,1.0222,4600,0
JCSE.US,5,20250828,200500,1.04,1.0599,0.98,0.98,10200,0
JCSE.US,5,20250828,201000,1.0234,1.06,1.0201,1.0592,8500,0
JCSE.US,5,20250828,201500,1.0501,1.06,1.05,1.0501,3800,0
JCSE.US,5,20250828,202000,1.055,1.058,1.05,1.05,3506,0
JCSE.US,5,20250828,203000,1.055,1.055,1.055,1.055,500,0
JCSE.US,5,20250828,203500,1.06,1.06,1.05,1.055,2196,0
JCSE.US,5,20250828,204000,1.05,1.0597,1.05,1.0597,400,0
JCSE.US,5,20250828,204500,1.0597,1.0597,1.0597,1.0597,500,0
JCSE.US,5,20250828,205000,1.0512,1.0585,1.05,1.0519,1100,0
JCSE.US,5,20250828,205500,1.06,1.06,1.06,1.06,160,0
JCSE.US,5,20250828,210000,1.055,1.055,1.055,1.055,100,0
JCSE.US,5,20250828,211000,1.05,1.0651,1.0144,1.02,15728,0
JCSE.US,5,20250828,211500,1.06,1.06,1.02,1.02,900,0
JCSE.US,5,20250828,212000,1.06,1.0999,1.02,1.07,3365,0
JCSE.US,5,20250828,212500,1.06,1.07,1.0331,1.0331,800,0
JCSE.US,5,20250828,213000,1.06,1.06,1.0452,1.0491,1502,0
JCSE.US,5,20250828,213500,1.08,1.08,1.0201,1.0201,12000,0
JCSE.US,5,20250828,214500,1.06,1.06,1.06,1.06,1000,0
JCSE.US,5,20250828,215000,1.05,1.1,1.02,1.02,1905,0
JCSE.US,5,20250829,153000,1.05,1.0698,1.02,1.02,2213,0
JCSE.US,5,20250829,153500,1.05,1.05,1.0258,1.0258,200,0
JCSE.US,5,20250829,154500,1.035,1.035,1.02,1.02,771,0
JCSE.US,5,20250829,155000,1.05,1.05,1.04,1.04,200,0
JCSE.US,5,20250829,155500,1.0374,1.0374,1.02,1.0256,472,0
JCSE.US,5,20250829,160000,1.02,1.0297,1.02,1.02,500,0
JCSE.US,5,20250829,160500,1.03,1.03,1.0001,1.01,2259,0
JCSE.US,5,20250829,161000,1,1,0.985,0.9876,4327,0
