<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLAG.US,5,20251219,154000,17.2102,17.2102,17.2102,17.2102,115,0
KLAG.US,5,20251219,160500,17.23,17.2498,17.17,17.2498,737,0
KLAG.US,5,20251219,161500,17.25,17.25,17.23,17.23,600,0
KLAG.US,5,20251219,162500,17.2,17.2,17.2,17.2,500,0
KLAG.US,5,20251219,170000,17,17,17,17,200,0
KLAG.US,5,20251219,172500,17.1,17.1,17.1,17.1,100,0
KLAG.US,5,20251219,180500,17.02,17.03,17.02,17.0299,1600,0
KLAG.US,5,20251219,182500,17.0688,17.0688,17.0688,17.0688,294,0
KLAG.US,5,20251219,185000,17.07,17.07,17.07,17.07,100,0
KLAG.US,5,20251219,191000,17.0299,17.0299,17.0299,17.0299,100,0
KLAG.US,5,20251219,195500,16.93,16.93,16.93,16.93,100,0
KLAG.US,5,20251222,153000,18.619,18.619,18.619,18.619,111,0
KLAG.US,5,20251222,155000,17.205,17.205,17.205,17.205,100,0
KLAG.US,5,20251222,155500,17.2893,17.2893,17.2893,17.2893,100,0
KLAG.US,5,20251222,172000,17.34,17.34,17.34,17.34,100,0
KLAG.US,5,20251222,175500,17.4001,17.4001,17.4001,17.4001,582,0
KLAG.US,5,20251222,190000,17.4176,17.4176,17.4176,17.4176,100,0
KLAG.US,5,20251222,191500,17.42,17.42,17.402,17.4199,716,0
KLAG.US,5,20251222,195000,17.3673,17.3673,17.3673,17.3673,100,0
KLAG.US,5,20251222,201000,17.3825,17.3825,17.3825,17.3825,200,0
KLAG.US,5,20251222,201500,17.43,17.43,17.43,17.43,100,0
KLAG.US,5,20251222,203000,17.985,17.985,17.985,17.985,100,0
KLAG.US,5,20251222,203500,17.53,17.54,17.53,17.54,876,0
KLAG.US,5,20251222,204000,17.53,17.53,17.53,17.53,100,0
KLAG.US,5,20251222,211500,17.49,17.49,17.49,17.49,100,0
KLAG.US,5,20251222,212000,17.47,17.47,17.47,17.47,100,0
KLAG.US,5,20251222,212500,17.4187,17.4187,17.4187,17.4187,200,0
KLAG.US,5,20251222,215500,17.5599,17.56,17.5599,17.56,270,0
KLAG.US,5,20251223,155000,17.5301,17.5301,17.5301,17.5301,300,0
KLAG.US,5,20251223,162500,17.38,17.38,17.38,17.38,100,0
KLAG.US,5,20251223,170000,17.54,17.54,17.54,17.54,100,0
KLAG.US,5,20251223,171000,17.48,17.48,17.48,17.48,100,0
KLAG.US,5,20251223,183500,17.53,17.53,17.53,17.53,5100,0
KLAG.US,5,20251223,185000,17.525,17.525,17.52,17.52,1900,0
KLAG.US,5,20251223,191500,17.56,17.56,17.56,17.56,262,0
KLAG.US,5,20251223,192000,17.54,17.54,17.54,17.54,100,0
KLAG.US,5,20251223,202500,17.6,17.6,17.6,17.6,500,0
KLAG.US,5,20251223,215000,17.6,17.67,17.6,17.67,1043,0
KLAG.US,5,20251224,154000,17.5,17.5,17.5,17.5,100,0
KLAG.US,5,20251224,161000,17.57,17.58,17.57,17.58,453,0
KLAG.US,5,20251224,162000,17.74,17.74,17.74,17.74,100,0
KLAG.US,5,20251224,170500,17.5741,17.5741,17.5741,17.5741,150,0
KLAG.US,5,20251224,173000,17.65,17.65,17.6499,17.6499,200,0
KLAG.US,5,20251224,174000,17.69,17.69,17.69,17.69,100,0
KLAG.US,5,20251224,175000,17.68,17.68,17.68,17.68,100,0
KLAG.US,5,20251224,180500,17.7,17.7,17.7,17.7,10000,0
KLAG.US,5,20251224,181000,17.7199,18.07,17.7199,18.07,2517,0
KLAG.US,5,20251224,182500,17.6799,17.68,17.6799,17.68,1130,0
KLAG.US,5,20251224,183000,17.7,17.7,17.65,17.65,1607,0
KLAG.US,5,20251224,184000,17.6753,17.6753,17.66,17.66,202,0
KLAG.US,5,20251226,153000,17.85,17.8501,17.85,17.8501,300,0
KLAG.US,5,20251226,154000,17.85,17.85,17.8,17.8,2450,0
KLAG.US,5,20251226,161000,17.7299,17.73,17.7,17.7,300,0
KLAG.US,5,20251226,162000,17.73,17.73,17.72,17.72,300,0
KLAG.US,5,20251226,163500,17.85,17.85,17.85,17.85,100,0
KLAG.US,5,20251226,164500,17.7,17.7,17.7,17.7,700,0
KLAG.US,5,20251226,170000,17.8084,17.87,17.8084,17.8284,600,0
KLAG.US,5,20251226,171500,17.82,17.82,17.8199,17.8199,200,0
KLAG.US,5,20251226,172000,17.82,17.82,17.82,17.82,225,0
KLAG.US,5,20251226,174000,17.81,17.81,17.81,17.81,125,0
KLAG.US,5,20251226,175500,17.82,17.82,17.82,17.82,100,0
KLAG.US,5,20251226,180500,17.8,17.8,17.8,17.8,599,0
KLAG.US,5,20251226,182500,17.83,17.83,17.83,17.83,100,0
KLAG.US,5,20251226,185500,17.796,17.796,17.796,17.796,150,0
KLAG.US,5,20251226,193500,17.9252,17.9252,17.9252,17.9252,100,0
KLAG.US,5,20251226,200500,17.9699,17.97,17.9699,17.97,200,0
KLAG.US,5,20251226,201000,17.97,17.97,17.97,17.97,200,0
KLAG.US,5,20251226,202000,17.96,17.96,17.96,17.96,100,0
KLAG.US,5,20251226,203500,17.94,17.94,17.94,17.94,200,0
KLAG.US,5,20251226,205000,17.9,17.9,17.9,17.9,100,0
KLAG.US,5,20251226,214500,17.8399,17.84,17.8399,17.84,200,0
KLAG.US,5,20251229,153000,17.7,17.7,17.7,17.7,100,0
KLAG.US,5,20251229,154000,17.91,17.91,17.91,17.91,100,0
KLAG.US,5,20251229,154500,17.635,17.635,17.635,17.635,100,0
KLAG.US,5,20251229,160500,17.437,17.437,17.4,17.4,444,0
KLAG.US,5,20251229,164000,17.61,17.61,17.61,17.61,100,0
KLAG.US,5,20251229,171000,17.52,17.52,17.52,17.52,100,0
KLAG.US,5,20251229,181000,17.37,17.37,17.37,17.37,250,0
KLAG.US,5,20251230,154000,17.1575,17.21,17.1575,17.21,711,0
KLAG.US,5,20251230,155500,17.17,17.17,17.17,17.17,100,0
KLAG.US,5,20251230,163000,17.13,17.13,17.13,17.13,100,0
KLAG.US,5,20251230,170000,17.13,17.13,17.13,17.13,200,0
KLAG.US,5,20251230,173500,17.08,17.09,17.08,17.09,200,0
KLAG.US,5,20251230,174000,16.96,16.96,16.96,16.96,116,0
KLAG.US,5,20251230,180500,16.97,16.97,16.97,16.97,100,0
KLAG.US,5,20251230,193000,17,17,17,17,851,0
KLAG.US,5,20251230,195000,16.95,16.95,16.95,16.95,250,0
