<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KUST.US,5,20250813,153000,5.37,5.37,5.37,5.37,1375.9999998623998,0
KUST.US,5,20250813,154000,5.415,5.46,5.415,5.43,1333.3333332,0
KUST.US,5,20250813,154500,5.4597,5.4597,5.4597,5.4597,116.3333333217,0
KUST.US,5,20250813,155000,5.4522,5.4522,5.4003,5.4018,344.66666663219996,0
KUST.US,5,20250813,155500,5.4,5.4219,5.3403,5.4219,743.3333332589999,0
KUST.US,5,20250813,160000,5.4,5.4,5.34,5.34,237.3333333096,0
KUST.US,5,20250813,160500,5.34,5.4,5.34,5.4,291.3333333042,0
KUST.US,5,20250813,161500,5.37,5.37,5.37,5.37,33.333333329999995,0
KUST.US,5,20250813,162500,5.4,5.4297,5.391,5.4297,345.33333329879997,0
KUST.US,5,20250813,163000,5.37,5.37,5.37,5.37,99.99999998999999,0
KUST.US,5,20250813,164000,5.4,5.4,5.4,5.4,194.66666664719997,0
KUST.US,5,20250813,164500,5.3703,5.3703,5.3703,5.3703,333.3333333,0
KUST.US,5,20250813,165000,5.4,5.4,5.34,5.34,1290.6666665376,0
KUST.US,5,20250813,170000,5.325,5.325,5.325,5.325,33.333333329999995,0
KUST.US,5,20250813,171000,5.34,5.34,5.34,5.34,262.33333330709996,0
KUST.US,5,20250813,171500,5.32005,5.32005,5.32005,5.32005,56.666666660999994,0
KUST.US,5,20250813,174000,5.31,5.31,5.28,5.28,1866.6666664799998,0
KUST.US,5,20250813,174500,5.31,5.31,5.31,5.31,255.9999999744,0
KUST.US,5,20250813,180000,5.28,5.28,5.28,5.28,129.6666666537,0
KUST.US,5,20250813,181000,5.2803,5.2803,5.2803,5.2803,41.6666666625,0
KUST.US,5,20250813,181500,5.28,5.3061,5.28,5.295,366.66666662999995,0
KUST.US,5,20250813,184000,5.31,5.31,5.31,5.31,33.333333329999995,0
KUST.US,5,20250813,185500,5.295,5.295,5.28,5.28,66.66666665999999,0
