<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBTYB.US,5,20250813,153000,12.39,12.39,12.39,12.39,100,0
LBTYB.US,5,20250821,202500,11.7,11.7,11.11,11.12,500,0
LBTYB.US,5,20250821,215500,12.33,12.33,11.7,11.7,400,0
LBTYB.US,5,20250902,212000,12.22,12.22,12.22,12.22,115,0
LBTYB.US,5,20250915,215500,11.61,11.61,11.61,11.61,126,0
LBTYB.US,5,20250923,214000,13.04,13.04,13.04,13.04,184,0
LBTYB.US,5,20250923,215500,12.42,12.42,12.42,12.42,176,0
LBTYB.US,5,20250929,194000,11.8,11.8,11.8,11.8,408,0
LBTYB.US,5,20250929,215500,12.41,12.41,12.41,12.41,208,0
LBTYB.US,5,20250930,211000,12.88,12.88,12.88,12.88,100,0
LBTYB.US,5,20251001,190000,12.3193,12.3193,12.3193,12.3193,121,0
LBTYB.US,5,20251002,153500,11.6488,11.6488,11.6488,11.6488,100,0
LBTYB.US,5,20251003,161000,11.55,11.55,11.55,11.55,100,0
LBTYB.US,5,20251008,211000,11.19,11.19,11.19,11.19,114,0
LBTYB.US,5,20251010,175500,10.4,10.5,10.39,10.5,500,0
LBTYB.US,5,20251014,161000,10.74,10.85,10.74,10.76,1600,0
LBTYB.US,5,20251016,184000,10.81,10.8101,10.81,10.8101,400,0
LBTYB.US,5,20251021,163000,11.01,11.01,11.01,11.01,172,0
LBTYB.US,5,20251022,153000,11.5,11.5,11.5,11.5,111,0
LBTYB.US,5,20251028,143000,12.6,12.6,11.71,11.71,500,0
LBTYB.US,5,20251030,172500,11,11,11,11,1200,0
LBTYB.US,5,20251107,195000,10.2972,10.2972,10.2972,10.2972,243,0
LBTYB.US,5,20251114,164000,10.5,10.5,10.5,10.5,505,0
LBTYB.US,5,20251121,192500,10.9694,10.9694,10.9694,10.9694,862,0
LBTYB.US,5,20251126,172500,11.29,11.29,11.29,11.29,400,0
LBTYB.US,5,20251128,154500,11.3,11.3,11.3,11.3,893,0
LBTYB.US,5,20251128,161500,11.6,11.8,11.6,11.8,500,0
LBTYB.US,5,20251128,165000,11.2,11.2,11.2,11.2,987,0
LBTYB.US,5,20251128,170500,11.4,11.4,11.4,11.4,499,0
LBTYB.US,5,20251201,182000,11.1741,11.525,11.11,11.1741,1354,0
LBTYB.US,5,20251201,210000,11.52,11.52,11.52,11.52,144,0
LBTYB.US,5,20251202,153000,11.65,11.65,11.15,11.15,903,0
LBTYB.US,5,20251202,165500,11.41,11.41,11.41,11.41,125,0
LBTYB.US,5,20251202,204000,11.25,11.28,11.23,11.25,2390,0
LBTYB.US,5,20251203,215500,11.34,11.34,11.34,11.34,139,0
LBTYB.US,5,20251205,160000,10.9593,10.9593,10.9593,10.9593,100,0
LBTYB.US,5,20251208,213000,11.3,11.3,11.3,11.3,623,0
LBTYB.US,5,20251209,160500,11,11,11,11,500,0
LBTYB.US,5,20251209,161000,10.85,10.85,10.85,10.85,387,0
LBTYB.US,5,20251210,210500,11.08,11.1,11.07,11.1,800,0
LBTYB.US,5,20251210,215500,10.88,10.88,10.88,10.88,108,0
LBTYB.US,5,20251211,153500,11.8257,11.8257,11.8257,11.8257,396,0
LBTYB.US,5,20251211,154000,10.96,12.06,10.96,12.06,629,0
LBTYB.US,5,20251211,155000,10.96,10.96,10.96,10.96,204,0
LBTYB.US,5,20251212,213500,11.58,11.58,11.55,11.58,625,0
LBTYB.US,5,20251212,214000,11.26,11.26,11.26,11.26,100,0
LBTYB.US,5,20251212,214500,11.3999,11.3999,11.28,11.28,200,0
LBTYB.US,5,20251215,155000,11.32,11.32,11.28,11.28,800,0
LBTYB.US,5,20251216,153000,11.01,11.01,11.01,11.01,200,0
LBTYB.US,5,20251216,153500,10.845,10.845,10.845,10.845,400,0
LBTYB.US,5,20251216,154500,11.08,11.08,11.08,11.08,126,0
LBTYB.US,5,20251217,155000,10.905,10.905,10.905,10.905,1249,0
LBTYB.US,5,20251217,161000,11.04,11.04,11.04,11.04,771,0
LBTYB.US,5,20251217,170000,11.04,11.04,11.04,11.04,600,0
LBTYB.US,5,20251217,173000,10.865,10.865,10.865,10.865,400,0
LBTYB.US,5,20251218,213000,10.8,10.8,10.8,10.8,114,0
LBTYB.US,5,20251219,161000,10.8,10.8,10.8,10.8,200,0
LBTYB.US,5,20251219,174500,11,11.11,11,11.11,700,0
LBTYB.US,5,20251219,202500,11.07,11.07,11.07,11.07,173,0
LBTYB.US,5,20251219,204500,11,11,11,11,300,0
LBTYB.US,5,20251224,163000,11.5,11.5,11.5,11.5,200,0
LBTYB.US,5,20251224,180000,11.5,11.5,11.5,11.5,100,0
LBTYB.US,5,20251226,174000,11.25,11.25,11.25,11.25,100,0
LBTYB.US,5,20251226,181500,11.14,11.14,11.14,11.14,100,0
LBTYB.US,5,20251226,212500,11.1245,11.1245,11.1245,11.1245,206,0
LBTYB.US,5,20251229,215500,11.1,11.1,11.1,11.1,300,0
LBTYB.US,5,20251231,191500,11.815,11.815,11.815,11.815,300,0
LBTYB.US,5,20260102,163000,11.5,11.5,11.22,11.31,400,0
LBTYB.US,5,20260102,212500,11.18,11.18,11.18,11.18,110,0
LBTYB.US,5,20260107,191000,11.12,11.12,11.12,11.12,100,0
