<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPCN.US,5,20250813,153000,2.95,2.95,2.95,2.95,245,0
LPCN.US,5,20250813,154000,2.967,2.967,2.967,2.967,189,0
LPCN.US,5,20250813,161500,2.9802,2.9802,2.9802,2.9802,1000,0
LPCN.US,5,20250813,163500,2.9995,2.9995,2.9995,2.9995,584,0
LPCN.US,5,20250813,164000,3,3,3,3,112,0
LPCN.US,5,20250813,165500,2.995,3.01,2.995,3,1200,0
LPCN.US,5,20250813,170000,3.02,3.02,3.02,3.02,100,0
LPCN.US,5,20250813,175500,3.02,3.03,3.02,3.03,1000,0
LPCN.US,5,20250813,180000,3.03,3.03,3.03,3.03,338,0
LPCN.US,5,20250813,191000,3.03,3.03,3.03,3.03,341,0
LPCN.US,5,20250813,191500,3.03,3.03,3.03,3.03,658,0
LPCN.US,5,20250813,200000,3.02,3.02,3.02,3.02,102,0
LPCN.US,5,20250813,201000,3.04,3.04,3.03,3.03,256,0
LPCN.US,5,20250813,205500,3.0015,3.0015,3.0015,3.0015,736,0
LPCN.US,5,20250813,210000,3.02,3.05,3.02,3.05,444,0
LPCN.US,5,20250813,211000,3.05,3.05,3.05,3.05,500,0
LPCN.US,5,20250813,211500,3.0592,3.0592,3.0585,3.0585,600,0
LPCN.US,5,20250813,213000,3.0508,3.0508,3.0508,3.0508,1000,0
LPCN.US,5,20250813,213500,3.05,3.05,3.05,3.05,600,0
LPCN.US,5,20250813,214000,3.05,3.0565,3,3.015,2109,0
LPCN.US,5,20250814,153000,2.96,2.96,2.96,2.96,308,0
LPCN.US,5,20250814,154000,3.0064,3.0064,3.0064,3.0064,175,0
LPCN.US,5,20250814,160500,3.0134,3.043935,3.0134,3.043935,352,0
LPCN.US,5,20250814,162500,3.0499,3.0499,3.03,3.03,370,0
LPCN.US,5,20250814,163500,3.0243,3.0243,3.0243,3.0243,1000,0
LPCN.US,5,20250814,164000,3.03,3.03,3.03,3.03,220,0
LPCN.US,5,20250814,171500,3.045,3.05,3.045,3.05,1000,0
LPCN.US,5,20250814,185000,3.0213,3.0213,3.0213,3.0213,199,0
LPCN.US,5,20250814,194000,3.04,3.04,3.04,3.04,1280,0
LPCN.US,5,20250814,203500,3.02,3.02,3.02,3.02,237,0
LPCN.US,5,20250814,204000,3.03,3.03,3.03,3.03,400,0
LPCN.US,5,20250814,204500,3.04,3.04,3.04,3.04,493,0
LPCN.US,5,20250814,211000,3.029,3.029,3.029,3.029,100,0
LPCN.US,5,20250814,215500,3.04,3.04,3.04,3.04,133,0
LPCN.US,5,20250815,153000,3.05,3.05,3.05,3.05,133,0
LPCN.US,5,20250815,153500,3.0501,3.0501,3.0501,3.0501,100,0
LPCN.US,5,20250815,155000,3.04,3.04,3.04,3.04,128,0
LPCN.US,5,20250815,172500,3.05,3.05,3.05,3.05,583,0
LPCN.US,5,20250815,174500,3.0456,3.0456,3.0456,3.0456,1000,0
LPCN.US,5,20250815,194000,3.035,3.035,3.01,3.01,2280,0
LPCN.US,5,20250815,215500,3.027,3.027,3.027,3.027,191,0
LPCN.US,5,20250818,153000,3.05,3.06,3.05,3.06,3383,0
