<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFVL.US,5,20251209,165000,20.06,20.07,20.06,20.07,1150,0
MFVL.US,5,20251209,165500,20.0731,20.08,20.0731,20.0799,500,0
MFVL.US,5,20251209,170000,20.068,20.09,20.068,20.0896,5500,0
MFVL.US,5,20251209,170500,20.0832,20.1,20.0832,20.1,3000,0
MFVL.US,5,20251209,171000,20.11,20.11,20.11,20.11,100,0
MFVL.US,5,20251209,172500,20.11,20.11,20.11,20.11,1000,0
MFVL.US,5,20251209,173000,20.098,20.098,20.098,20.098,100,0
MFVL.US,5,20251209,173500,20.11,20.11,20.11,20.11,100,0
MFVL.US,5,20251209,174000,20.088,20.088,20.088,20.088,1000,0
MFVL.US,5,20251209,174500,20.11,20.11,20.11,20.11,4000,0
MFVL.US,5,20251209,175500,20.1196,20.12,20.1072,20.1072,5400,0
MFVL.US,5,20251209,180000,20.1036,20.1036,20.1036,20.1036,1200,0
MFVL.US,5,20251209,181000,20.11,20.11,20.11,20.11,100,0
MFVL.US,5,20251209,181500,20.1,20.1,20.09,20.09,600,0
MFVL.US,5,20251209,182500,20.0999,20.1,20.07,20.08,500,0
MFVL.US,5,20251209,185500,20.08,20.08,20.0797,20.08,800,0
MFVL.US,5,20251209,192000,20.09,20.09,20.09,20.09,150,0
MFVL.US,5,20251209,193000,20.0735,20.0735,20.0735,20.0735,225,0
MFVL.US,5,20251209,200000,20.09,20.09,20.0897,20.0897,700,0
MFVL.US,5,20251209,201500,20.09,20.09,20.082,20.082,650,0
MFVL.US,5,20251209,203000,20.08,20.08,20.0698,20.0698,4700,0
MFVL.US,5,20251209,203500,20.0574,20.0574,20.0574,20.0574,600,0
MFVL.US,5,20251209,204000,20.08,20.08,20.0797,20.0797,250,0
MFVL.US,5,20251209,204500,20.0635,20.08,20.0635,20.08,550,0
MFVL.US,5,20251209,210500,20.09,20.09,20.09,20.09,100,0
MFVL.US,5,20251209,211000,20.0899,20.09,20.0899,20.09,2000,0
MFVL.US,5,20251209,213000,20.08,20.08,20.08,20.08,600,0
MFVL.US,5,20251209,215500,20.05,20.05,20.05,20.05,150,0
MFVL.US,5,20251210,153000,20.27,20.27,20.27,20.27,269,0
MFVL.US,5,20251210,160000,20.129,20.129,20.129,20.129,250,0
MFVL.US,5,20251210,162000,20.13,20.13,20.13,20.13,200,0
MFVL.US,5,20251210,162500,20.13,20.13,20.13,20.13,100,0
MFVL.US,5,20251210,164500,20.1335,20.1335,20.1335,20.1335,496,0
MFVL.US,5,20251210,170000,20.13,20.13,20.13,20.13,200,0
MFVL.US,5,20251210,172000,20.16,20.16,20.148,20.148,1310,0
MFVL.US,5,20251210,174500,20.1499,20.1499,20.1499,20.1499,200,0
