<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLEC.US,5,20250813,153000,39.9585,39.9585,39.9585,39.9585,146.66666674,0
MLEC.US,5,20250813,153500,40.2,40.2,39.4575,39.4575,31.6666666825,0
MLEC.US,5,20250813,155500,39.3,39.3,39.3,39.3,26.666666680000002,0
MLEC.US,5,20250813,160000,38.4,38.4,38.4,38.4,6.666666670000001,0
MLEC.US,5,20250813,160500,38.4,38.4,37.5,37.5,174.7333334207,0
MLEC.US,5,20250813,161000,36.9,39,36.9,38.313,73.33333337,0
MLEC.US,5,20250813,161500,38.9865,38.9865,38.25,38.25,33.333333350000004,0
MLEC.US,5,20250813,162000,38.7,38.7,38.7,38.7,6.666666670000001,0
MLEC.US,5,20250813,162500,38.7,38.7,38.7,38.7,18.2666666758,0
MLEC.US,5,20250813,163500,38.25,38.25,37.65,37.725,265.1333334659,0
MLEC.US,5,20250813,164000,37.65,37.8,37.65,37.65,186.33333342650002,0
MLEC.US,5,20250813,164500,37.65,37.65,34.65,34.8,150.8666667421,0
MLEC.US,5,20250813,165500,36.3,36.3,36.3,36.3,33.0666666832,0
MLEC.US,5,20250813,170000,37.113,37.113,37.113,37.113,33.333333350000004,0
MLEC.US,5,20250813,173000,37.05,37.2,37.05,37.2,26.666666680000002,0
MLEC.US,5,20250813,173500,37.35,37.5,37.35,37.5,206.66666677,0
MLEC.US,5,20250813,175000,37.5,37.5,37.275,37.4985,225.7333334462,0
MLEC.US,5,20250813,180000,37.5,37.5,37.5,37.5,96.9333333818,0
MLEC.US,5,20250813,191000,37.5,39,37.5,39,313.46666682340003,0
MLEC.US,5,20250813,193000,39.825,39.825,39.825,39.825,133.33333340000001,0
MLEC.US,5,20250813,195000,39.9,39.9,39.825,39.9,46.66666669,0
MLEC.US,5,20250813,195500,40.497,41.7,40.497,41.7,51.8666666926,0
MLEC.US,5,20250813,200500,40.65,40.65,39.3015,39.975,26.666666680000002,0
MLEC.US,5,20250813,204000,39.486,39.486,39.486,39.486,123.333333395,0
MLEC.US,5,20250813,212000,40.35,40.35,40.35,40.35,6.666666670000001,0
MLEC.US,5,20250814,153000,39.15,43.05,37.5,37.65,148.666666741,0
MLEC.US,5,20250814,153500,37.65,37.65,37.5,37.5,40.00000002,0
MLEC.US,5,20250814,155000,37.5,38.55,37.5,38.55,60.00000003,0
MLEC.US,5,20250814,155500,39.3,39.3,39.3,39.3,6.666666670000001,0
MLEC.US,5,20250814,162500,37.2,37.95,37.2,37.5,123.4666667284,0
MLEC.US,5,20250814,163000,37.05,37.05,37.05,37.05,101.9333333843,0
MLEC.US,5,20250814,163500,37.4985,37.4985,36.78,37.05,73.33333337,0
MLEC.US,5,20250814,164000,36.8025,37.05,36.78,36.78,33.333333350000004,0
MLEC.US,5,20250814,164500,37.5,37.5,36.9,37.5,60.00000003,0
MLEC.US,5,20250814,165000,36.975,36.975,36.9,36.9,33.333333350000004,0
MLEC.US,5,20250814,165500,37.5,37.5,37.5,37.5,75.6000000378,0
MLEC.US,5,20250814,170000,36.75,37.05,36.75,37.05,33.333333350000004,0
MLEC.US,5,20250814,170500,37.05,37.05,36.78,36.78,66.66666670000001,0
MLEC.US,5,20250814,171000,36.8025,36.8025,36.75,36.75,33.333333350000004,0
MLEC.US,5,20250814,171500,37.2,37.2,37.125,37.125,66.66666670000001,0
MLEC.US,5,20250814,174000,37.032,37.281,36.96,37.281,26.666666680000002,0
MLEC.US,5,20250814,175500,36.6,36.75,36.6,36.75,24.4666666789,0
MLEC.US,5,20250814,180500,36,36.15,36,36.15,33.333333350000004,0
MLEC.US,5,20250814,181000,36.6,36.6,36.5355,36.5985,29.8000000149,0
MLEC.US,5,20250814,182000,36.5205,36.6,36.5205,36.6,13.333333340000001,0
MLEC.US,5,20250814,183500,36.75,36.75,36.75,36.75,6.666666670000001,0
MLEC.US,5,20250814,184000,36.6,36.6,36.6,36.6,6.666666670000001,0
MLEC.US,5,20250814,184500,36.375,36.375,36.375,36.375,6.666666670000001,0
MLEC.US,5,20250814,185500,36.0015,36.0015,36.0015,36.0015,6.666666670000001,0
MLEC.US,5,20250814,190500,36.282,36.3,36.0015,36.3,60.00000003,0
MLEC.US,5,20250814,191000,36.6,37.2,36.0015,36.0015,208.0666667707,0
MLEC.US,5,20250814,191500,36.6885,36.6885,36.6885,36.6885,6.666666670000001,0
MLEC.US,5,20250814,192000,37.2,37.2,37.2,37.2,13.333333340000001,0
MLEC.US,5,20250814,192500,36.0015,36.0015,36.0015,36.0015,168.666666751,0
MLEC.US,5,20250814,193000,37.2,37.2,36,36,693.2666670133,0
MLEC.US,5,20250814,193500,35.85,35.9835,35.85,35.9835,113.33333339,0
MLEC.US,5,20250814,194000,36,36,35.7015,35.9775,106.66666672000001,0
MLEC.US,5,20250814,195500,35.7,35.7555,35.55,35.7555,71.00000003550001,0
MLEC.US,5,20250814,200000,35.7,35.85,35.7,35.85,80.00000004,0
MLEC.US,5,20250814,200500,35.7,35.7,35.7,35.7,100.00000005,0
MLEC.US,5,20250814,201000,35.85,35.85,35.85,35.85,12.866666673100001,0
MLEC.US,5,20250814,201500,35.55,36,35.55,36,300.5333334836,0
MLEC.US,5,20250814,202000,36,36,35.9025,36,145.4000000727,0
MLEC.US,5,20250814,202500,36,36,36,36,100.00000005,0
MLEC.US,5,20250814,204000,36.2505,36.2505,36.2505,36.2505,66.66666670000001,0
MLEC.US,5,20250814,210000,36.45,36.45,36.45,36.45,10.800000005400001,0
MLEC.US,5,20250814,211000,36.75,37.35,36.3,36.3,325.333333496,0
MLEC.US,5,20250814,211500,37.05,37.05,37.05,37.05,66.66666670000001,0
MLEC.US,5,20250814,212500,37.2,37.2,37.05,37.05,13.333333340000001,0
MLEC.US,5,20250814,214000,37.326,37.326,37.326,37.326,133.2666667333,0
MLEC.US,5,20250814,215500,36.675,36.675,36.675,36.675,16.666666675000002,0
MLEC.US,5,20250815,154500,36.4515,36.4515,36.4515,36.4515,13.6000000068,0
MLEC.US,5,20250815,155000,36.75,36.75,36.75,36.75,6.666666670000001,0
MLEC.US,5,20250815,155500,36.456,36.456,36.456,36.456,6.666666670000001,0
MLEC.US,5,20250815,163500,36.4665,36.4665,36.4665,36.4665,11.6666666725,0
MLEC.US,5,20250815,164500,37.926,37.935,37.926,37.935,133.33333340000001,0
MLEC.US,5,20250815,170000,37.125,37.125,37.125,37.125,6.666666670000001,0
MLEC.US,5,20250815,171500,36.45,36.45,36.45,36.45,16.6000000083,0
MLEC.US,5,20250815,173000,35.85,35.9985,35.5425,35.9985,60.00000003,0
MLEC.US,5,20250815,174500,35.7,35.85,35.7,35.85,58.9333333628,0
MLEC.US,5,20250815,175000,36.786,36.786,36.786,36.786,45.000000022500004,0
MLEC.US,5,20250815,180000,36.375,36.375,36.375,36.375,6.666666670000001,0
MLEC.US,5,20250815,180500,36,36.2985,36,36.15,100.00000005,0
MLEC.US,5,20250815,205000,35.982,35.982,35.982,35.982,6.666666670000001,0
MLEC.US,5,20250815,213000,36,36,35.7,36,20.00000001,0
MLEC.US,5,20250815,215000,36.9195,36.9195,36.9195,36.9195,13.4666666734,0
MLEC.US,5,20250818,154500,37.272,37.4985,36.45,37.497,225.9333334463,0
MLEC.US,5,20250818,155500,37.5,37.5,37.35,37.35,40.8666666871,0
MLEC.US,5,20250818,160500,36.9,36.9,36.9,36.9,6.666666670000001,0
MLEC.US,5,20250818,161500,37.35,37.5,37.35,37.35,1093.2000005466,0
MLEC.US,5,20250818,164000,36.75,36.75,36.75,36.75,16.666666675000002,0
MLEC.US,5,20250818,165500,36.5985,36.5985,36.5985,36.5985,66.66666670000001,0
MLEC.US,5,20250818,180500,36.75,36.75,36.75,36.75,99.6000000498,0
MLEC.US,5,20250818,181500,36.6,36.6,36.6,36.6,6.666666670000001,0
MLEC.US,5,20250818,191000,36,36.15,36,36.0045,20.00000001,0
MLEC.US,5,20250818,205000,36.0945,36.738,36.0945,36.15,430.2666668818,0
MLEC.US,5,20250818,211500,36,36,36,36,100.00000005,0
MLEC.US,5,20250818,214000,36.75,36.75,36.75,36.75,6.666666670000001,0
MLEC.US,5,20250818,214500,37.4985,37.4985,37.4985,37.4985,26.666666680000002,0
MLEC.US,5,20250818,215500,37.2,37.5,37.2,37.5,120.00000006,0
MLEC.US,5,20250819,153000,38.1,38.1,37.5,37.5,277.7333334722,0
MLEC.US,5,20250819,153500,38.1,38.1,38.1,38.1,43.6666666885,0
MLEC.US,5,20250819,154500,38.25,38.25,38.25,38.25,24.8666666791,0
MLEC.US,5,20250819,155000,38.175,38.175,38.175,38.175,33.333333350000004,0
MLEC.US,5,20250819,160000,37.35,37.35,36.7605,36.7605,260.4000001302,0
MLEC.US,5,20250819,160500,37.725,37.725,36.9,36.9,20.00000001,0
MLEC.US,5,20250819,162500,36.75,36.9,36.75,36.9,189.2000000946,0
MLEC.US,5,20250819,171000,37.2,37.35,37.2,37.35,126.66666673,0
MLEC.US,5,20250819,172500,37.35,37.35,37.35,37.35,96.666666715,0
MLEC.US,5,20250819,174500,36.783,36.783,36.675,36.675,266.66666680000003,0
MLEC.US,5,20250819,175000,36.675,37.2,36.675,37.05,40.00000002,0
MLEC.US,5,20250819,180500,36,36.15,36,36,368.3333335175,0
MLEC.US,5,20250819,184000,36,36,34.95,34.95,534.5333336006,0
MLEC.US,5,20250819,184500,35.202,35.7495,34.65,35.202,93.33333338,0
MLEC.US,5,20250819,185000,35.25,35.8485,34.8,35.8485,54.666666694,0
MLEC.US,5,20250819,185500,34.8,35.85,34.8,35.85,214.2666667738,0
MLEC.US,5,20250819,190000,35.25,35.283,34.8,35.283,26.666666680000002,0
MLEC.US,5,20250819,191000,35.283,35.283,35.283,35.283,6.666666670000001,0
MLEC.US,5,20250819,191500,35.25,35.55,34.8225,35.55,20.00000001,0
MLEC.US,5,20250819,192500,35.175,35.5485,34.818,35.5485,26.666666680000002,0
MLEC.US,5,20250819,194000,35.325,35.3985,35.325,35.3985,26.666666680000002,0
MLEC.US,5,20250819,201000,35.4,35.4,35.4,35.4,31.9333333493,0
MLEC.US,5,20250819,201500,35.475,36,35.475,36,51.1333333589,0
MLEC.US,5,20250819,210500,35.4,35.625,35.4,35.625,100.00000005,0
MLEC.US,5,20250819,211000,35.85,35.85,35.85,35.85,6.666666670000001,0
MLEC.US,5,20250819,214000,35.85,35.85,35.85,35.85,6.666666670000001,0
MLEC.US,5,20250819,214500,35.85,35.85,35.85,35.85,100.00000005,0
MLEC.US,5,20250819,215500,36.675,37.5,36.675,37.35,239.333333453,0
MLEC.US,5,20250820,153500,38.058,38.55,35.85,35.85,241.46666678740002,0
MLEC.US,5,20250820,154500,36,36,36,36,49.000000024500004,0
MLEC.US,5,20250820,155000,36,36,36,36,11.6000000058,0
MLEC.US,5,20250820,155500,35.4,35.4,35.4,35.4,46.66666669,0
MLEC.US,5,20250820,160500,35.253,35.253,35.253,35.253,266.66666680000003,0
MLEC.US,5,20250820,161000,35.55,35.55,35.55,35.55,20.00000001,0
MLEC.US,5,20250820,162000,35.55,35.55,35.55,35.55,6.666666670000001,0
MLEC.US,5,20250820,172000,35.55,35.55,35.55,35.55,8.4000000042,0
MLEC.US,5,20250820,174000,34.65,34.65,34.65,34.65,120.9333333938,0
MLEC.US,5,20250820,174500,34.65,34.65,34.5,34.5,169.8000000849,0
MLEC.US,5,20250820,175000,34.5,34.5,33.9,34.125,186.66666676,0
MLEC.US,5,20250820,175500,34.3905,34.3905,34.3905,34.3905,6.666666670000001,0
MLEC.US,5,20250820,180000,34.446,34.5,34.446,34.5,84.0666667087,0
MLEC.US,5,20250820,181000,34.5,34.5,34.5,34.5,83.93333337530001,0
MLEC.US,5,20250820,181500,34.5,34.5,34.5,34.5,40.00000002,0
MLEC.US,5,20250820,182000,34.5,34.5,34.5,34.5,53.333333360000005,0
MLEC.US,5,20250820,183000,34.5,34.5,34.5,34.5,20.00000001,0
MLEC.US,5,20250820,190500,34.35,34.35,33.957,33.957,20.00000001,0
MLEC.US,5,20250820,191000,33.75,33.9,32.31,32.31,130.000000065,0
MLEC.US,5,20250820,191500,32.46,33,32.46,33,40.00000002,0
MLEC.US,5,20250820,192000,33.63,33.663,33.15,33.15,33.333333350000004,0
MLEC.US,5,20250820,192500,34.485,34.485,34.485,34.485,7.333333337,0
MLEC.US,5,20250820,193500,33.6,34.4805,33.6,34.446,192.8666667631,0
MLEC.US,5,20250820,195000,34.2,34.2,34.2,34.2,66.7333333667,0
MLEC.US,5,20250820,200000,33.15,33.15,33,33.15,73.33333337,0
MLEC.US,5,20250820,200500,32.9985,33,32.9445,33,112.0666667227,0
MLEC.US,5,20250820,201500,34.35,34.35,33.75,33.75,18.200000009100002,0
MLEC.US,5,20250820,202000,33,33,32.4,32.4,205.86666676960002,0
MLEC.US,5,20250820,202500,32.4,32.4,32.4,32.4,135.86666673460002,0
MLEC.US,5,20250820,203000,33.45,33.45,32.55,32.55,66.66666670000001,0
MLEC.US,5,20250820,204000,32.4,33,32.25,32.775,158.3333334125,0
MLEC.US,5,20250820,213500,33.6,33.6,33.6,33.6,20.00000001,0
MLEC.US,5,20250820,214500,35.7,35.85,34.725,35.85,754.8666670441,0
MLEC.US,5,20250821,153000,30.9,31.2,30.438,31.1985,226.2000001131,0
MLEC.US,5,20250821,153500,30.9,31.092,30.45,30.609,787.4666670604,0
MLEC.US,5,20250821,154000,30.4635,30.6,30,30,647.6666669905001,0
MLEC.US,5,20250821,154500,30,30,28.6515,28.8,718.9333336928,0
MLEC.US,5,20250821,155000,28.95,29.7,28.95,28.9545,220.66666677700002,0
