<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMTX.US,5,20251215,155000,9.9,9.9,9.9,9.9,3000,0
MMTX.US,5,20251215,160500,9.9,9.9,9.9,9.9,2100,0
MMTX.US,5,20251215,161500,9.89,9.89,9.89,9.89,400,0
MMTX.US,5,20251215,162000,9.88,9.88,9.88,9.88,25000,0
MMTX.US,5,20251215,162500,9.9,9.9,9.88,9.88,25200,0
MMTX.US,5,20251215,183000,9.9,9.9,9.9,9.9,300,0
MMTX.US,5,20251215,203000,9.88,9.88,9.88,9.88,100000,0
MMTX.US,5,20251216,154500,9.88,9.88,9.88,9.88,500,0
MMTX.US,5,20251219,155000,9.89,9.89,9.89,9.89,2000,0
MMTX.US,5,20251222,153500,9.89,9.89,9.89,9.89,2000,0
MMTX.US,5,20251222,160000,9.89,9.89,9.89,9.89,98000,0
MMTX.US,5,20251222,161000,9.89,9.89,9.89,9.89,31799,0
MMTX.US,5,20251222,161500,9.89,9.89,9.89,9.89,73597,0
MMTX.US,5,20251224,184500,9.89,9.89,9.89,9.89,300,0
MMTX.US,5,20251226,170500,9.9,9.9,9.9,9.9,101,0
MMTX.US,5,20251230,213500,9.9,9.9,9.9,9.9,59999,0
MMTX.US,5,20251230,214000,9.9,9.9,9.9,9.9,50150,0
MMTX.US,5,20251231,160000,9.909,9.909,9.909,9.909,1000,0
MMTX.US,5,20260102,165500,9.8965,9.8965,9.8965,9.8965,551,0
MMTX.US,5,20260102,200500,9.9,9.9,9.9,9.9,100,0
MMTX.US,5,20260105,153000,9.91,9.91,9.91,9.91,100,0
MMTX.US,5,20260105,162500,9.9,9.9,9.9,9.9,300,0
MMTX.US,5,20260105,165000,9.895,9.895,9.895,9.895,400,0
MMTX.US,5,20260105,170500,9.9,9.9,9.9,9.9,4700,0
MMTX.US,5,20260105,184500,9.91,9.91,9.91,9.91,100,0
MMTX.US,5,20260106,194500,9.905,9.91,9.905,9.91,8299,0
MMTX.US,5,20260106,213000,9.92,9.92,9.91,9.91,1400,0
MMTX.US,5,20260106,215000,9.91,9.91,9.91,9.91,300,0
