<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGEN.US,5,20260108,153000,6.3,6.3,5.61,5.8499,54409,0
NGEN.US,5,20260108,153500,5.7,6.099,5.65,5.75,10206,0
NGEN.US,5,20260108,154000,5.8,5.9764,5.65,5.79,10362,0
NGEN.US,5,20260108,154500,5.83,6,5.7788,5.85,5015,0
NGEN.US,5,20260108,155000,5.85,6,5.8,5.9418,7998,0
NGEN.US,5,20260108,155500,5.9,5.9,5.76,5.78,7169,0
NGEN.US,5,20260108,160000,5.7,5.7782,5.65,5.75,2592,0
NGEN.US,5,20260108,160500,5.76,5.76,5.7,5.71,4584,0
NGEN.US,5,20260108,161000,5.7,5.76,5.65,5.66,14961,0
NGEN.US,5,20260108,161500,5.755,5.83,5.755,5.83,1578,0
NGEN.US,5,20260108,162000,5.85,5.86,5.73,5.85,9207,0
NGEN.US,5,20260108,162500,5.805,5.805,5.8,5.8,2700,0
NGEN.US,5,20260108,163000,5.81,5.81,5.81,5.81,208,0
NGEN.US,5,20260108,163500,5.835,5.86,5.8,5.83,8016,0
NGEN.US,5,20260108,164000,5.8,5.8,5.78,5.78,1220,0
NGEN.US,5,20260108,165000,5.75,5.78,5.69,5.7,2685,0
NGEN.US,5,20260108,165500,5.76,5.77,5.76,5.77,412,0
NGEN.US,5,20260108,170000,5.756,6,5.756,5.9633,3967,0
NGEN.US,5,20260108,170500,6,6,5.85,5.87,3895,0
NGEN.US,5,20260108,171000,5.87,5.94,5.86,5.94,4190,0
NGEN.US,5,20260108,171500,5.9399,5.9399,5.85,5.9,5785,0
NGEN.US,5,20260108,172000,5.9,5.9,5.9,5.9,546,0
NGEN.US,5,20260108,172500,5.9,5.91,5.86,5.87,6951,0
NGEN.US,5,20260108,173000,5.9,5.96,5.8996,5.94,4460,0
NGEN.US,5,20260108,173500,5.94,5.94,5.8739,5.8739,1590,0
NGEN.US,5,20260108,174000,5.86,5.86,5.86,5.86,750,0
NGEN.US,5,20260108,174500,5.94,5.94,5.9393,5.9393,292,0
NGEN.US,5,20260108,175000,5.88,5.94,5.88,5.94,1599,0
NGEN.US,5,20260108,175500,5.94,5.95,5.94,5.94,602,0
NGEN.US,5,20260108,180000,5.9459,5.96,5.94,5.95,4182,0
NGEN.US,5,20260108,180500,5.96,6.01,5.95,5.95,14605,0
NGEN.US,5,20260108,181000,5.95,6.16,5.86,5.88,8776,0
NGEN.US,5,20260108,181500,5.96,6,5.9,5.965,2760,0
NGEN.US,5,20260108,182000,5.95,5.96,5.95,5.96,1000,0
