<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NHPBP.US,5,20250813,163500,17.33,17.33,17.3,17.3,200,0
NHPBP.US,5,20250813,172000,17.21,17.2492,17.21,17.2492,1000,0
NHPBP.US,5,20250813,204000,17.2,17.2,17.2,17.2,150,0
NHPBP.US,5,20250813,215000,17.1175,17.1175,17.1175,17.1175,100,0
NHPBP.US,5,20250814,153000,17.04,17.04,17.04,17.04,300,0
NHPBP.US,5,20250814,154000,17.0127,17.0127,17.0127,17.0127,500,0
NHPBP.US,5,20250814,162500,17.22,17.22,17.22,17.22,100,0
NHPBP.US,5,20250814,164500,17.25,17.25,17.25,17.25,100,0
NHPBP.US,5,20250814,204500,17.11,17.11,17.1,17.1,1000,0
NHPBP.US,5,20250814,205000,17.2484,17.2484,17.1159,17.1159,473,0
NHPBP.US,5,20250814,205500,17.13,17.142,17.1,17.1143,1900,0
NHPBP.US,5,20250814,211000,17.13,17.13,17.06,17.06,1390,0
NHPBP.US,5,20250814,215500,17.02,17.02,17.02,17.02,100,0
NHPBP.US,5,20250815,170500,17.35,17.35,17.35,17.35,100,0
NHPBP.US,5,20250815,204500,17.21,17.21,17.21,17.21,100,0
NHPBP.US,5,20250815,212500,17.38,17.38,17.38,17.38,800,0
NHPBP.US,5,20250815,215500,17.03,17.03,17.03,17.03,1022,0
NHPBP.US,5,20250818,162000,17.19,17.19,17.19,17.19,100,0
NHPBP.US,5,20250818,164000,17.31,17.38,17.31,17.38,1100,0
NHPBP.US,5,20250818,170500,17.38,17.55,17.3799,17.55,1600,0
NHPBP.US,5,20250818,171000,17.64,17.65,17.64,17.65,537,0
NHPBP.US,5,20250818,173000,17.68,17.68,17.68,17.68,200,0
NHPBP.US,5,20250818,173500,17.75,17.7601,17.7499,17.76,2400,0
NHPBP.US,5,20250818,174500,17.88,18.01,17.88,18.01,4700,0
NHPBP.US,5,20250818,175000,18.0388,18.0388,18,18,7959,0
NHPBP.US,5,20250818,193500,17.73,17.73,17.73,17.73,100,0
NHPBP.US,5,20250818,195500,17.51,17.99,17.51,17.99,9489,0
NHPBP.US,5,20250818,200500,18.01,18.01,18.01,18.01,200,0
NHPBP.US,5,20250818,201000,18.01,18.025,18,18.01,1500,0
NHPBP.US,5,20250818,203500,18.05,18.05,18.05,18.05,100,0
NHPBP.US,5,20250818,210500,17.8186,17.8186,17.8186,17.8186,638,0
NHPBP.US,5,20250818,215500,18.04,18.04,18.04,18.04,100,0
NHPBP.US,5,20250819,154000,17.98,18.29,17.98,18.29,959,0
NHPBP.US,5,20250819,160000,18.0186,18.34,18.0186,18.3,3850,0
NHPBP.US,5,20250819,161000,18.515,18.515,18.3001,18.3001,200,0
