<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBTC.US,5,20251222,154000,28.87,28.87,28.87,28.87,300,0
OBTC.US,5,20251222,154500,28.99,29,28.95,28.95,800,0
OBTC.US,5,20251222,155000,28.96,28.96,28.95,28.95,300,0
OBTC.US,5,20251222,160000,28.95,28.95,28.95,28.95,3080,0
OBTC.US,5,20251222,160500,28.985,28.985,28.97,28.97,400,0
OBTC.US,5,20251222,161500,28.86,28.86,28.86,28.86,100,0
OBTC.US,5,20251222,162500,28.79,28.79,28.79,28.79,100,0
OBTC.US,5,20251222,163000,28.8,28.8,28.78,28.78,600,0
OBTC.US,5,20251222,163500,28.7,28.7,28.7,28.7,300,0
OBTC.US,5,20251222,164000,28.73,28.74,28.73,28.74,300,0
OBTC.US,5,20251222,164500,28.73,28.73,28.73,28.73,300,0
OBTC.US,5,20251222,165000,28.8,28.8,28.79,28.79,300,0
OBTC.US,5,20251222,165500,28.85,28.91,28.85,28.89,400,0
OBTC.US,5,20251222,170000,28.86,28.86,28.83,28.83,200,0
OBTC.US,5,20251222,170500,28.84,28.88,28.84,28.88,200,0
OBTC.US,5,20251222,171000,28.87,28.905,28.87,28.88,4400,0
OBTC.US,5,20251222,171500,28.88,28.92,28.88,28.92,3473,0
OBTC.US,5,20251222,172000,28.91,28.93,28.89,28.89,2400,0
OBTC.US,5,20251222,172500,28.92,28.96,28.915,28.96,2400,0
OBTC.US,5,20251222,173000,28.92,28.92,28.82,28.82,2100,0
OBTC.US,5,20251222,173500,28.82,28.83,28.78,28.82,4600,0
OBTC.US,5,20251222,174000,28.81,28.84,28.81,28.81,2280,0
OBTC.US,5,20251222,174500,28.81,28.82,28.8,28.8,3500,0
OBTC.US,5,20251222,175000,28.8,28.8,28.8,28.8,1300,0
OBTC.US,5,20251222,180000,28.73,28.75,28.73,28.75,600,0
OBTC.US,5,20251222,180500,28.69,28.69,28.68,28.68,1100,0
OBTC.US,5,20251222,181000,28.68,28.7,28.675,28.68,2400,0
OBTC.US,5,20251222,181500,28.66,28.66,28.65,28.65,1000,0
OBTC.US,5,20251222,182000,28.68,28.7,28.68,28.7,2000,0
OBTC.US,5,20251222,182500,28.69,28.715,28.68,28.7109,2500,0
OBTC.US,5,20251222,183500,28.73,28.75,28.73,28.75,5900,0
OBTC.US,5,20251222,184000,28.75,28.765,28.75,28.76,2300,0
OBTC.US,5,20251222,184500,28.69,28.72,28.62,28.6803,1500,0
OBTC.US,5,20251222,185000,28.71,28.73,28.71,28.72,900,0
OBTC.US,5,20251222,185500,28.72,28.72,28.72,28.72,1042,0
OBTC.US,5,20251222,190000,28.72,28.73,28.72,28.73,2100,0
OBTC.US,5,20251222,190500,28.7,28.7,28.7,28.7,100,0
OBTC.US,5,20251222,191000,28.7,28.75,28.7,28.75,3000,0
OBTC.US,5,20251222,191500,28.74,28.76,28.74,28.76,1600,0
OBTC.US,5,20251222,192000,28.7,28.72,28.7,28.72,2800,0
OBTC.US,5,20251222,192500,28.74,28.76,28.73,28.76,1700,0
OBTC.US,5,20251222,193000,28.76,28.77,28.76,28.77,2500,0
OBTC.US,5,20251222,193500,28.73,28.73,28.71,28.71,7920,0
OBTC.US,5,20251222,194000,28.73,28.73,28.73,28.73,1100,0
OBTC.US,5,20251222,195500,28.71,28.73,28.7,28.73,10200,0
OBTC.US,5,20251222,200000,28.61,28.61,28.61,28.61,100,0
OBTC.US,5,20251222,201500,28.55,28.55,28.55,28.55,200,0
OBTC.US,5,20251222,202000,28.5307,28.56,28.511,28.5202,11612,0
OBTC.US,5,20251222,202500,28.49,28.49,28.44,28.47,10580,0
OBTC.US,5,20251222,203000,28.46,28.46,28.46,28.46,2000,0
OBTC.US,5,20251222,203500,28.41,28.44,28.41,28.44,700,0
OBTC.US,5,20251222,204000,28.41,28.41,28.4,28.41,400,0
OBTC.US,5,20251222,204500,28.38,28.38,28.35,28.35,4200,0
OBTC.US,5,20251222,205000,28.35,28.37,28.35,28.36,2400,0
OBTC.US,5,20251222,205500,28.3,28.32,28.29,28.32,8798,0
OBTC.US,5,20251222,210000,28.29,28.31,28.29,28.31,400,0
OBTC.US,5,20251222,211500,28.28,28.31,28.28,28.31,2500,0
OBTC.US,5,20251222,212000,28.32,28.32,28.32,28.32,100,0
OBTC.US,5,20251222,213000,28.33,28.35,28.33,28.35,2100,0
OBTC.US,5,20251222,213500,28.34,28.34,28.31,28.33,1100,0
OBTC.US,5,20251222,214000,28.32,28.38,28.31,28.38,27606,0
OBTC.US,5,20251222,214500,28.4,28.42,28.4,28.42,1600,0
OBTC.US,5,20251222,215500,28.4,28.43,28.4,28.43,2400,0
OBTC.US,5,20251223,153000,28.17,28.21,28.17,28.18,4500,0
OBTC.US,5,20251223,154000,28.09,28.12,28.09,28.12,1000,0
OBTC.US,5,20251223,155000,27.98,27.98,27.96,27.96,200,0
OBTC.US,5,20251223,160500,27.93,27.93,27.91,27.91,700,0
OBTC.US,5,20251223,161000,27.93,27.94,27.93,27.94,400,0
OBTC.US,5,20251223,161500,27.99,28.05,27.99,28.05,2168,0
OBTC.US,5,20251223,163000,28.05,28.11,28.05,28.11,2400,0
OBTC.US,5,20251223,163500,28.12,28.12,28.12,28.12,2000,0
OBTC.US,5,20251223,164000,28.12,28.12,28.12,28.12,200,0
OBTC.US,5,20251223,165500,28.11,28.11,28.11,28.11,2000,0
OBTC.US,5,20251223,170000,28.09,28.22,28.09,28.22,2400,0
OBTC.US,5,20251223,170500,28.27,28.285,28.23,28.28,1600,0
OBTC.US,5,20251223,171000,28.18,28.19,28.18,28.19,650,0
OBTC.US,5,20251223,171500,28.19,28.285,28.18,28.28,5006,0
OBTC.US,5,20251223,173000,28.25,28.265,28.19,28.2,1932,0
OBTC.US,5,20251223,174000,28.23,28.25,28.23,28.25,2000,0
OBTC.US,5,20251223,174500,28.24,28.28,28.24,28.28,2468,0
OBTC.US,5,20251223,175000,28.25,28.33,28.25,28.33,4000,0
OBTC.US,5,20251223,180000,28.28,28.28,28.28,28.28,100,0
OBTC.US,5,20251223,183500,28.21,28.22,28.21,28.22,377,0
OBTC.US,5,20251223,184500,28.22,28.22,28.171,28.171,9843,0
OBTC.US,5,20251223,190000,28.03,28.08,28.03,28.08,916,0
OBTC.US,5,20251223,191500,28.2199,28.2199,28.2199,28.2199,724,0
OBTC.US,5,20251223,192000,28.19,28.19,28.19,28.19,1100,0
OBTC.US,5,20251223,192500,28.22,28.22,28.22,28.22,1100,0
OBTC.US,5,20251223,193000,28.24,28.25,28.24,28.25,1000,0
OBTC.US,5,20251223,193500,28.241,28.31,28.24,28.31,9686,0
OBTC.US,5,20251223,194000,28.301,28.301,28.301,28.301,470,0
OBTC.US,5,20251223,194500,28.2939,28.2939,28.2443,28.26,4100,0
OBTC.US,5,20251223,195000,28.259,28.27,28.25,28.25,3300,0
OBTC.US,5,20251223,195500,28.25,28.27,28.25,28.27,600,0
OBTC.US,5,20251223,200000,28.27,28.27,28.25,28.27,2400,0
OBTC.US,5,20251223,200500,28.28,28.28,28.26,28.27,2000,0
OBTC.US,5,20251223,201000,28.21,28.245,28.2,28.23,2600,0
OBTC.US,5,20251223,201500,28.22,28.24,28.22,28.24,1600,0
OBTC.US,5,20251223,202000,28.25,28.26,28.22,28.22,1400,0
OBTC.US,5,20251223,202500,28.21,28.21,28.16,28.16,1400,0
OBTC.US,5,20251223,203000,28.155,28.16,28.15,28.16,1200,0
OBTC.US,5,20251223,203500,28.15,28.24,28.15,28.24,3434,0
OBTC.US,5,20251223,204000,28.22,28.23,28.21,28.21,1300,0
OBTC.US,5,20251223,204500,28.21,28.22,28.165,28.18,1700,0
OBTC.US,5,20251223,205000,28.2,28.22,28.2,28.205,1000,0
OBTC.US,5,20251223,205500,28.185,28.19,28.16,28.17,9943,0
OBTC.US,5,20251223,210000,28.19,28.19,28.1672,28.18,5249,0
OBTC.US,5,20251223,210500,28.185,28.185,28.12,28.15,3350,0
OBTC.US,5,20251223,211000,28.15,28.17,28.14,28.15,6857,0
OBTC.US,5,20251223,211500,28.18,28.22,28.18,28.22,3300,0
OBTC.US,5,20251223,212000,28.2,28.22,28.2,28.215,3200,0
OBTC.US,5,20251223,212500,28.21,28.21,28.18,28.185,1900,0
OBTC.US,5,20251223,213000,28.18,28.225,28.16,28.175,2600,0
OBTC.US,5,20251223,213500,28.17,28.22,28.155,28.22,5240,0
OBTC.US,5,20251223,214000,28.3,28.33,28.295,28.31,3600,0
OBTC.US,5,20251223,214500,28.35,28.385,28.35,28.385,2200,0
OBTC.US,5,20251224,153000,28.04,28.04,28.04,28.04,400,0
OBTC.US,5,20251224,154000,27.86,27.86,27.86,27.86,100,0
OBTC.US,5,20251224,154500,27.93,27.93,27.9,27.9,200,0
OBTC.US,5,20251224,155000,28,28,27.96,27.99,1800,0
OBTC.US,5,20251224,155500,27.99,27.99,27.96,27.96,500,0
OBTC.US,5,20251224,160000,28.01,28.01,27.96,27.96,300,0
OBTC.US,5,20251224,160500,27.99,27.99,27.94,27.94,3300,0
OBTC.US,5,20251224,161000,27.94,27.95,27.94,27.95,900,0
OBTC.US,5,20251224,161500,27.93,27.95,27.93,27.95,2500,0
OBTC.US,5,20251224,162500,27.87,27.89,27.87,27.89,2200,0
OBTC.US,5,20251224,163000,28.01,28.01,28.01,28.01,1300,0
OBTC.US,5,20251224,163500,28.01,28.01,28.01,28.01,900,0
OBTC.US,5,20251224,164000,27.9346,27.95,27.9346,27.95,2840,0
OBTC.US,5,20251224,165000,27.93,27.95,27.88,27.93,35823,0
OBTC.US,5,20251224,165500,27.93,27.96,27.9,27.96,7010,0
OBTC.US,5,20251224,170000,27.96,28.0099,27.96,28,900,0
OBTC.US,5,20251224,170500,27.9984,27.9984,27.9984,27.9984,100,0
OBTC.US,5,20251224,171000,27.99,27.99,27.99,27.99,2000,0
OBTC.US,5,20251224,171500,27.98,27.99,27.98,27.99,2500,0
OBTC.US,5,20251224,172500,27.95,27.95,27.95,27.95,2000,0
OBTC.US,5,20251224,173000,27.96,28.135,27.92,28.135,14934,0
OBTC.US,5,20251224,173500,28.06,28.1,28.06,28.08,2447,0
OBTC.US,5,20251224,180500,28.06,28.08,28.06,28.08,2400,0
OBTC.US,5,20251224,181000,28.08,28.08,28.08,28.08,300,0
OBTC.US,5,20251224,182000,28.1,28.1,28.1,28.1,860,0
OBTC.US,5,20251224,182500,28.1,28.1,28.08,28.1,3400,0
OBTC.US,5,20251224,183500,28.1,28.11,28.095,28.11,12376,0
OBTC.US,5,20251224,184000,28.1,28.11,28.02,28.05,22513,0
OBTC.US,5,20251224,185000,28.04,28.105,28.02,28.05,26758,0
OBTC.US,5,20251226,162000,27.97,27.97,27.97,27.97,608,0
OBTC.US,5,20251226,163000,27.97,27.97,27.97,27.97,100,0
OBTC.US,5,20251226,171000,28,28,28,28,1100,0
OBTC.US,5,20251226,172000,28.05,28.05,28.05,28.05,600,0
OBTC.US,5,20251226,173500,28.01,28.06,28.01,28.06,800,0
OBTC.US,5,20251226,175500,28.03,28.03,27.95,27.95,278,0
OBTC.US,5,20251226,182000,27.95,27.98,27.95,27.98,2545,0
