<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCCIN.US,5,20250813,162000,24.44,24.44,24.44,24.44,100,0
OCCIN.US,5,20250813,201000,24.4565,24.4565,24.4565,24.4565,750,0
OCCIN.US,5,20250814,170500,24.43,24.43,24.43,24.43,100,0
OCCIN.US,5,20250815,162000,24.32,24.32,24.32,24.32,479,0
OCCIN.US,5,20250815,172000,24.45,24.45,24.45,24.45,200,0
OCCIN.US,5,20250815,173500,24.45,24.45,24.45,24.45,300,0
OCCIN.US,5,20250818,164000,24.5058,24.5058,24.5058,24.5058,150,0
OCCIN.US,5,20250818,165500,24.405,24.405,24.405,24.405,400,0
OCCIN.US,5,20250818,172000,24.29,24.29,24.29,24.29,100,0
OCCIN.US,5,20250819,162000,24.395,24.5058,24.395,24.5058,250,0
OCCIN.US,5,20250819,172000,24.29,24.29,24.29,24.29,100,0
OCCIN.US,5,20250819,184500,24.33,24.33,24.33,24.33,800,0
OCCIN.US,5,20250819,185000,24.28,24.29,24.2758,24.28,2300,0
OCCIN.US,5,20250819,190000,24.27,24.27,24.27,24.27,100,0
OCCIN.US,5,20250819,190500,24.285,24.3,24.285,24.2872,800,0
OCCIN.US,5,20250819,213500,24.27,24.27,24.27,24.27,100,0
OCCIN.US,5,20250819,214000,24.3,24.33,24.3,24.33,1500,0
OCCIN.US,5,20250820,180500,24.27,24.33,24.27,24.33,1300,0
OCCIN.US,5,20250820,200000,24.32,24.3201,24.32,24.32,400,0
OCCIN.US,5,20250820,201000,24.32,24.32,24.32,24.32,844,0
OCCIN.US,5,20250820,210000,24.3,24.3,24.2736,24.2736,897,0
OCCIN.US,5,20250821,162500,24.3426,24.3426,24.3426,24.3426,204,0
OCCIN.US,5,20250821,165000,24.2878,24.2878,24.2878,24.2878,425,0
OCCIN.US,5,20250821,175000,24.35,24.35,24.35,24.35,100,0
OCCIN.US,5,20250821,175500,24.35,24.35,24.35,24.35,200,0
OCCIN.US,5,20250821,213500,24.29,24.29,24.27,24.27,1300,0
OCCIN.US,5,20250821,215000,24.27,24.27,24.27,24.27,198,0
OCCIN.US,5,20250822,194000,24.35,24.45,24.35,24.43,1791,0
OCCIN.US,5,20250825,165000,24.35,24.35,24.35,24.35,100,0
OCCIN.US,5,20250825,170000,24.3,24.3,24.3,24.3,100,0
OCCIN.US,5,20250826,165000,24.28,24.28,24.28,24.28,100,0
OCCIN.US,5,20250826,203500,24.28,24.28,24.28,24.28,117,0
OCCIN.US,5,20250826,214500,24.28,24.28,24.27,24.27,300,0
OCCIN.US,5,20250826,215000,24.27,24.27,24.27,24.27,149,0
OCCIN.US,5,20250827,164000,24.27,24.27,24.27,24.27,186,0
OCCIN.US,5,20250827,182500,24.28,24.28,24.28,24.28,100,0
OCCIN.US,5,20250827,215000,24.29,24.29,24.29,24.29,200,0
OCCIN.US,5,20250828,161500,24.3866,24.3866,24.3866,24.3866,500,0
OCCIN.US,5,20250828,164500,24.28,24.28,24.28,24.28,100,0
OCCIN.US,5,20250828,173500,24.33,24.33,24.33,24.33,310,0
OCCIN.US,5,20250828,184000,24.34,24.34,24.34,24.34,290,0
OCCIN.US,5,20250828,205500,24.27,24.27,24.27,24.27,100,0
OCCIN.US,5,20250829,164500,24.27,24.27,24.27,24.27,100,0
OCCIN.US,5,20250829,212500,24.27,24.27,24.27,24.27,125,0
OCCIN.US,5,20250902,160000,24.27,24.27,24.27,24.27,173,0
OCCIN.US,5,20250902,161000,24.3,24.3,24.3,24.3,100,0
OCCIN.US,5,20250902,195000,24.3271,24.3271,24.3271,24.3271,100,0
OCCIN.US,5,20250903,154000,24.34,24.34,24.34,24.34,100,0
OCCIN.US,5,20250903,155500,24.34,24.34,24.34,24.34,100,0
OCCIN.US,5,20250903,160000,24.37,24.37,24.37,24.37,200,0
OCCIN.US,5,20250903,160500,24.34,24.34,24.34,24.34,324,0
OCCIN.US,5,20250903,162000,24.34,24.34,24.34,24.34,100,0
OCCIN.US,5,20250903,164000,24.365,24.39,24.365,24.3718,1225,0
OCCIN.US,5,20250904,175000,24.4028,24.4028,24.4028,24.4028,100,0
OCCIN.US,5,20250905,193500,24.3598,24.3598,24.3598,24.3598,330,0
OCCIN.US,5,20250905,211000,24.33,24.33,24.3,24.3,1050,0
OCCIN.US,5,20250905,212000,24.31,24.31,24.31,24.31,100,0
OCCIN.US,5,20250905,215500,24.3079,24.32,24.3079,24.32,800,0
OCCIN.US,5,20250908,154500,24.3,24.3,24.3,24.3,150,0
OCCIN.US,5,20250908,155000,24.3,24.3,24.3,24.3,100,0
OCCIN.US,5,20250908,155500,24.3176,24.32,24.3176,24.32,1700,0
OCCIN.US,5,20250908,161500,24.31,24.31,24.31,24.31,100,0
OCCIN.US,5,20250908,162000,24.309,24.32,24.309,24.32,6642,0
OCCIN.US,5,20250908,170000,24.32,24.32,24.31,24.31,1862,0
OCCIN.US,5,20250908,171000,24.3146,24.315,24.3146,24.315,200,0
OCCIN.US,5,20250908,172000,24.315,24.315,24.315,24.315,100,0
OCCIN.US,5,20250908,173500,24.32,24.32,24.32,24.32,100,0
OCCIN.US,5,20250908,174500,24.31,24.31,24.31,24.31,100,0
OCCIN.US,5,20250908,180500,24.31,24.31,24.31,24.31,1200,0
OCCIN.US,5,20250908,183000,24.32,24.32,24.3135,24.315,7896,0
OCCIN.US,5,20250908,185000,24.32,24.32,24.31,24.31,250,0
OCCIN.US,5,20250908,190500,24.31,24.31,24.31,24.31,100,0
OCCIN.US,5,20250908,192500,24.3198,24.32,24.315,24.315,2850,0
OCCIN.US,5,20250908,195500,24.33,24.33,24.33,24.33,100,0
OCCIN.US,5,20250909,183000,24.5,24.5,24.5,24.5,320,0
OCCIN.US,5,20250909,185500,24.425,24.425,24.425,24.425,100,0
OCCIN.US,5,20250909,203000,24.4272,24.4272,24.4272,24.4272,400,0
OCCIN.US,5,20250909,212500,24.35,24.35,24.3475,24.3475,600,0
OCCIN.US,5,20250909,215000,24.35,24.35,24.35,24.35,100,0
OCCIN.US,5,20250909,215500,24.34,24.34,24.34,24.34,100,0
OCCIN.US,5,20250910,163000,24.488,24.488,24.488,24.488,140,0
OCCIN.US,5,20250910,200000,24.451,24.451,24.451,24.451,400,0
OCCIN.US,5,20250911,161500,24.3713,24.3713,24.3713,24.3713,1000,0
OCCIN.US,5,20250911,211500,24.3977,24.3977,24.3977,24.3977,100,0
OCCIN.US,5,20250911,215500,24.48,24.48,24.48,24.48,100,0
OCCIN.US,5,20250912,160500,24.4,24.4,24.4,24.4,100,0
OCCIN.US,5,20250912,205000,24.42,24.42,24.42,24.42,300,0
OCCIN.US,5,20250912,214000,24.472,24.472,24.472,24.472,100,0
OCCIN.US,5,20250915,155000,24.38,24.38,24.36,24.36,320,0
OCCIN.US,5,20250915,204500,24.45,24.45,24.45,24.45,100,0
OCCIN.US,5,20250915,205000,24.45,24.45,24.45,24.45,399,0
OCCIN.US,5,20250917,160000,24.3633,24.3633,24.3633,24.3633,400,0
OCCIN.US,5,20250917,164500,24.45,24.45,24.45,24.45,941,0
