<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCG.US,5,20250813,154500,4.1733,4.1733,4.1733,4.1733,100,0
OCG.US,5,20250813,160500,4.105,4.17,4.06,4.17,2497,0
OCG.US,5,20250813,162500,4.21,4.21,4.2,4.2,2129,0
OCG.US,5,20250813,164500,4.15,4.15,4.0546,4.0546,1967,0
OCG.US,5,20250813,170500,4.12,4.12,4.03,4.03,2842,0
OCG.US,5,20250813,172500,4.04,4.04,4.04,4.04,2946,0
OCG.US,5,20250813,185000,4.04,4.04,4.04,4.04,1999,0
OCG.US,5,20250814,153000,3.95,4.22,3.74,4.22,1899,0
OCG.US,5,20250814,155500,3.8,3.8,3.8,3.8,380,0
OCG.US,5,20250814,162000,3.97,3.97,3.97,3.97,200,0
OCG.US,5,20250814,162500,3.8,3.801,3.8,3.8,3470,0
OCG.US,5,20250814,184500,3.9242,3.9242,3.9242,3.9242,300,0
OCG.US,5,20250814,185500,3.91,3.92,3.8,3.8,1000,0
OCG.US,5,20250815,171500,3.755,3.78,3.755,3.78,300,0
OCG.US,5,20250815,185500,3.755,3.755,3.755,3.755,1000,0
OCG.US,5,20250815,191500,3.8,3.8,3.51,3.5101,4263,0
OCG.US,5,20250815,192000,3.21,3.21,3.21,3.21,200,0
OCG.US,5,20250815,193000,2.88,3.3,2.88,3.22,1783,0
OCG.US,5,20250815,193500,3.31,3.4,3.31,3.4,706,0
OCG.US,5,20250815,200500,3.27,3.6,3.27,3.6,1343,0
OCG.US,5,20250815,201000,3.51,3.564,3.51,3.564,300,0
OCG.US,5,20250818,161000,3.56,3.56,3.56,3.56,100,0
OCG.US,5,20250819,153000,3.3,3.3,3.3,3.3,1223,0
OCG.US,5,20250819,155000,3.41,3.41,3.4,3.4,1144,0
OCG.US,5,20250819,160500,3.4,3.4,3.4,3.4,2876,0
OCG.US,5,20250819,173500,3.49,3.498,3.46,3.49,1928,0
OCG.US,5,20250819,174000,3.15,3.15,3.15,3.15,100,0
OCG.US,5,20250820,153000,3.09,3.09,3.09,3.09,100,0
OCG.US,5,20250820,154000,3.15,3.15,3.15,3.15,102,0
OCG.US,5,20250820,195500,2.88,2.88,2.88,2.88,100,0
OCG.US,5,20250820,202500,2.85,2.85,2.85,2.85,129,0
OCG.US,5,20250820,203000,3.09,3.11,3.06,3.11,1656,0
OCG.US,5,20250820,204500,2.83,3.09,2.83,3.09,541,0
OCG.US,5,20250821,160000,3,3,3,3,1000,0
OCG.US,5,20250821,160500,2.9998,3,2.9706,3,1351,0
OCG.US,5,20250821,161500,2.9544,2.9544,2.84,2.92,5300,0
OCG.US,5,20250821,163000,3,3,3,3,100,0
OCG.US,5,20250821,164000,2.965,3,2.965,2.99,996,0
OCG.US,5,20250821,164500,2.94,2.96,2.92,2.92,1095,0
OCG.US,5,20250821,165500,2.96,2.96,2.96,2.96,300,0
OCG.US,5,20250821,170500,2.83,2.83,2.83,2.83,100,0
OCG.US,5,20250821,172000,2.83,2.83,2.83,2.83,200,0
OCG.US,5,20250821,202000,2.62,2.82,2.59,2.75,1900,0
OCG.US,5,20250821,202500,2.7498,2.7498,2.6101,2.6101,1000,0
OCG.US,5,20250821,203000,2.75,2.75,2.75,2.75,364,0
OCG.US,5,20250821,204000,2.75,2.75,2.75,2.75,891,0
OCG.US,5,20250822,182500,2.8,2.8,2.47,2.47,48724,0
OCG.US,5,20250822,183000,2.515,2.515,2.45,2.47,8142,0
OCG.US,5,20250822,183500,2.47,2.55,2.4,2.4,6775,0
OCG.US,5,20250822,184000,2.4,2.41,2.4,2.4,4943,0
OCG.US,5,20250822,185000,2.88,2.88,2.88,2.88,250,0
OCG.US,5,20250822,191500,2.46,2.46,2.4,2.45,10475,0
OCG.US,5,20250822,192000,2.4,2.4,2.4,2.4,140,0
OCG.US,5,20250822,193000,2.47,2.47,2.45,2.45,10160,0
OCG.US,5,20250822,193500,2.43,2.43,2.42,2.42,13065,0
OCG.US,5,20250822,194000,2.4188,2.42,2.4188,2.42,1713,0
OCG.US,5,20250822,195000,2.4,2.5832,2.4,2.5832,4267,0
OCG.US,5,20250822,195500,2.45,2.45,2.45,2.45,10000,0
OCG.US,5,20250822,200000,2.34,2.35,2.3358,2.34,2032,0
OCG.US,5,20250822,200500,2.32,2.34,2.32,2.33,6192,0
OCG.US,5,20250822,201000,2.34,2.35,2.33,2.34,5861,0
OCG.US,5,20250822,201500,2.34,2.34,2.26,2.26,7600,0
OCG.US,5,20250822,202000,2.26,2.26,2.2563,2.2563,7221,0
OCG.US,5,20250822,202500,2.26,2.26,2.26,2.26,300,0
OCG.US,5,20250822,203000,2.25,2.43,2.22,2.43,1471,0
OCG.US,5,20250822,203500,2.26,2.26,2.235,2.25,8000,0
OCG.US,5,20250822,204000,2.25,2.435,2.25,2.3702,25579,0
OCG.US,5,20250822,204500,2.3702,2.3702,2.26,2.27,12624,0
OCG.US,5,20250822,205000,2.44,2.65,2.44,2.55,3226,0
OCG.US,5,20250822,205500,2.56,2.87,2.43,2.615,3065,0
OCG.US,5,20250822,210000,2.6,2.615,2.48,2.55,4000,0
OCG.US,5,20250822,210500,2.6599,2.66,2.615,2.615,2500,0
OCG.US,5,20250822,211500,2.72,2.72,2.72,2.72,1100,0
OCG.US,5,20250822,212000,2.74,2.74,2.74,2.74,459,0
OCG.US,5,20250822,212500,2.35,2.61,2.35,2.48,20434,0
OCG.US,5,20250822,213000,2.6,2.7,2.35,2.635,8099,0
OCG.US,5,20250822,213500,2.81,2.81,2.605,2.73,3635,0
OCG.US,5,20250822,214000,2.73,2.775,2.7,2.71,2100,0
OCG.US,5,20250822,214500,2.79,2.8,2.57,2.73,9221,0
OCG.US,5,20250822,215000,2.8,2.83,2.41,2.69,10777,0
OCG.US,5,20250822,215500,2.715,3.49,2.63,3.4899,16740,0
OCG.US,5,20250825,153000,3.29,3.29,3.2,3.2,12360,0
OCG.US,5,20250825,153500,3.25,3.36,3.25,3.36,3210,0
OCG.US,5,20250825,154000,3.46,3.47,3.46,3.47,546,0
OCG.US,5,20250825,162500,3.14,3.21,3,3.07,700,0
