<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPEG.US,5,20251212,161000,15.17,15.17,15.17,15.17,100,0
OPEG.US,5,20251212,165500,14.44,14.44,14.43,14.43,200,0
OPEG.US,5,20251212,171000,14.19,14.19,14.19,14.19,132,0
OPEG.US,5,20251212,184000,14.2091,14.2091,14.2091,14.2091,1000,0
OPEG.US,5,20251212,185000,14.26,14.26,14.26,14.26,100,0
OPEG.US,5,20251212,190500,14.25,14.25,14.25,14.25,100,0
OPEG.US,5,20251212,193500,14.25,14.25,14.25,14.25,600,0
OPEG.US,5,20251212,194000,14.231,14.25,14.231,14.25,2707,0
OPEG.US,5,20251212,195000,14.18,14.18,14.18,14.18,100,0
OPEG.US,5,20251212,201000,13.92,13.92,13.92,13.92,100,0
OPEG.US,5,20251215,153000,13,13.13,13,13.13,200,0
OPEG.US,5,20251215,154000,12.93,12.93,12.61,12.61,3398,0
OPEG.US,5,20251215,154500,12.7,12.7,12.26,12.26,200,0
OPEG.US,5,20251215,155500,12.34,12.34,12.02,12.02,200,0
OPEG.US,5,20251215,161500,11.94,11.94,11.94,11.94,100,0
OPEG.US,5,20251216,153000,13.12,13.12,13.12,13.12,100,0
OPEG.US,5,20251216,162000,12.68,12.73,12.68,12.73,200,0
OPEG.US,5,20251216,164000,13.02,13.02,13.0105,13.0105,291,0
OPEG.US,5,20251216,165500,12.94,12.94,12.94,12.94,137,0
OPEG.US,5,20251216,174000,12.92,12.92,12.92,12.92,1100,0
OPEG.US,5,20251216,182500,12.93,12.93,12.93,12.93,100,0
OPEG.US,5,20251216,193500,13.24,13.24,13.24,13.24,100,0
OPEG.US,5,20251216,194500,13.54,13.54,13.54,13.54,100,0
OPEG.US,5,20251216,201000,13.34,13.34,13.34,13.34,100,0
OPEG.US,5,20251216,203500,13.41,13.41,13.41,13.41,1493,0
OPEG.US,5,20251216,213500,13.9,13.9,13.9,13.9,100,0
OPEG.US,5,20251216,215500,13.72,13.72,13.72,13.72,100,0
OPEG.US,5,20251217,153000,13.99,14.2,13.99,14.2,200,0
OPEG.US,5,20251217,162500,13.26,13.26,13.26,13.26,164,0
OPEG.US,5,20251217,211000,11.74,11.74,11.74,11.74,100,0
OPEG.US,5,20251218,153000,12.65,12.82,12.65,12.79,500,0
OPEG.US,5,20251218,154000,12.68,12.75,12.68,12.75,200,0
OPEG.US,5,20251218,155000,12.35,12.35,12.35,12.35,100,0
OPEG.US,5,20251218,155500,12.42,12.42,12.42,12.42,100,0
OPEG.US,5,20251218,161500,12.17,12.17,12.17,12.17,100,0
OPEG.US,5,20251218,162000,12.04,12.04,12.04,12.04,200,0
OPEG.US,5,20251218,190500,12.74,12.74,12.74,12.74,100,0
OPEG.US,5,20251218,204000,12.12,12.12,12.12,12.12,287,0
OPEG.US,5,20251218,205500,11.745,11.745,11.745,11.745,712,0
OPEG.US,5,20251219,153000,11.93,11.93,11.93,11.93,800,0
OPEG.US,5,20251219,153500,11.63,11.67,11.63,11.67,733,0
OPEG.US,5,20251219,160000,11.78,11.78,11.78,11.78,100,0
OPEG.US,5,20251219,163000,11.63,11.63,11.63,11.63,100,0
OPEG.US,5,20251219,173000,12.04,12.04,12.04,12.04,100,0
OPEG.US,5,20251219,182000,11.832,11.832,11.8,11.8,1000,0
OPEG.US,5,20251219,201500,11.6521,11.6521,11.6521,11.6521,1000,0
OPEG.US,5,20251219,203500,11.85,11.85,11.85,11.85,200,0
OPEG.US,5,20251219,205000,11.74,11.74,11.74,11.74,100,0
OPEG.US,5,20251219,211000,11.6,11.6,11.6,11.6,100,0
OPEG.US,5,20251219,211500,11.86,11.86,11.86,11.86,900,0
OPEG.US,5,20251219,215000,12.15,12.22,12.15,12.22,600,0
OPEG.US,5,20251222,153000,13.301,13.5589,13.3,13.5589,4712,0
OPEG.US,5,20251222,153500,13.37,13.37,13.26,13.26,5032,0
OPEG.US,5,20251222,160000,13.45,13.45,13.45,13.45,100,0
OPEG.US,5,20251222,161000,12.84,12.84,12.84,12.84,100,0
OPEG.US,5,20251222,161500,12.92,12.92,12.92,12.92,100,0
OPEG.US,5,20251222,162000,13.04,13.04,13.04,13.04,100,0
OPEG.US,5,20251222,162500,12.84,12.84,12.84,12.84,100,0
OPEG.US,5,20251222,163000,12.8,12.83,12.8,12.83,200,0
OPEG.US,5,20251222,163500,12.75,12.75,12.61,12.61,200,0
OPEG.US,5,20251222,165000,12.6845,12.6845,12.6845,12.6845,1000,0
OPEG.US,5,20251222,172500,13.1,13.1,13.1,13.1,100,0
OPEG.US,5,20251222,180000,12.98,12.98,12.95,12.95,254,0
OPEG.US,5,20251222,182500,12.84,12.84,12.84,12.84,100,0
OPEG.US,5,20251222,194000,12.688,12.688,12.688,12.688,100,0
OPEG.US,5,20251223,155000,12.49,12.49,12.49,12.49,1332,0
OPEG.US,5,20251223,155500,12.08,12.08,12.01,12.01,2045,0
OPEG.US,5,20251223,160000,12.01,12.01,11.872,11.872,1326,0
OPEG.US,5,20251223,161000,11.96,11.96,11.96,11.96,100,0
OPEG.US,5,20251223,165000,11.73,11.73,11.69,11.69,4438,0
OPEG.US,5,20251223,185000,11.72,11.72,11.67,11.67,1525,0
OPEG.US,5,20251223,190000,11.63,11.63,11.63,11.63,100,0
OPEG.US,5,20251224,180000,11.78,11.78,11.78,11.78,715,0
OPEG.US,5,20251224,181000,11.73,11.73,11.73,11.73,500,0
OPEG.US,5,20251226,162500,11.02,11.02,11.02,11.02,500,0
OPEG.US,5,20251226,181000,11,11,11,11,4999,0
OPEG.US,5,20251226,203500,11.11,11.11,11.11,11.11,100,0
OPEG.US,5,20251226,204500,11.15,11.15,11.15,11.15,100,0
OPEG.US,5,20251226,205500,10.98,10.98,10.98,10.98,100,0
OPEG.US,5,20251229,154000,10.5445,10.72,10.5445,10.72,1070,0
OPEG.US,5,20251229,155000,10.595,10.595,10.595,10.595,1000,0
OPEG.US,5,20251229,163500,10.54,10.54,10.54,10.54,258,0
OPEG.US,5,20251229,165500,10.12,10.13,10.12,10.12,4605,0
OPEG.US,5,20251229,180500,10.15,10.15,10.15,10.15,189,0
OPEG.US,5,20251229,184000,10.13,10.13,10.13,10.13,100,0
OPEG.US,5,20251229,202000,10.14,10.14,10.14,10.14,700,0
OPEG.US,5,20251229,202500,10.14,10.15,10.14,10.15,1400,0
OPEG.US,5,20251229,203000,10.16,10.16,10.15,10.15,1360,0
OPEG.US,5,20251229,203500,10.14,10.14,10.14,10.14,800,0
OPEG.US,5,20251229,204500,10.14,10.14,10.14,10.14,500,0
OPEG.US,5,20251229,205000,10.14,10.14,10.14,10.14,1098,0
OPEG.US,5,20251230,160000,9.649,9.6583,9.649,9.65,2000,0
OPEG.US,5,20251230,161000,9.49,9.49,9.49,9.49,100,0
OPEG.US,5,20251230,163000,9.66,9.66,9.66,9.66,100,0
OPEG.US,5,20251230,174500,10.11,10.11,10.11,10.11,100,0
OPEG.US,5,20251230,193000,9.96,9.96,9.96,9.96,100,0
OPEG.US,5,20251230,210500,9.94,9.94,9.93,9.93,600,0
OPEG.US,5,20251231,185000,10.4,10.4,10.4,10.4,5000,0
OPEG.US,5,20260102,154500,10.43,10.65,10.43,10.65,600,0
OPEG.US,5,20260102,155000,10.72,10.77,10.67,10.71,6378,0
OPEG.US,5,20260102,155500,10.69,10.69,10.69,10.69,370,0
OPEG.US,5,20260105,153500,10.75,10.75,10.75,10.75,124,0
OPEG.US,5,20260105,155000,10.76,10.76,10.7,10.75,5094,0
OPEG.US,5,20260105,155500,10.76,10.82,10.76,10.82,303,0
OPEG.US,5,20260105,160500,10.82,10.82,10.82,10.82,1060,0
OPEG.US,5,20260105,162500,10.82,10.82,10.82,10.82,2053,0
OPEG.US,5,20260105,191000,10.78,10.78,10.78,10.78,1000,0
OPEG.US,5,20260105,191500,10.67,10.6701,10.67,10.6701,1494,0
OPEG.US,5,20260105,212000,11.585,11.585,11.585,11.585,400,0
OPEG.US,5,20260105,215000,11.59,11.59,11.59,11.59,280,0
OPEG.US,5,20260106,154500,11.89,11.89,11.89,11.89,127,0
OPEG.US,5,20260106,162500,11.61,11.61,11.61,11.61,100,0
OPEG.US,5,20260106,163000,11.57,11.57,11.57,11.57,1000,0
OPEG.US,5,20260106,170000,12.05,12.0586,12.05,12.0586,500,0
OPEG.US,5,20260106,170500,11.96,11.96,11.96,11.96,200,0
OPEG.US,5,20260106,171000,12.05,12.059,12.0401,12.0401,1486,0
OPEG.US,5,20260106,172000,12.47,12.5,12.47,12.5,3071,0
OPEG.US,5,20260106,181500,12.32,12.32,12.32,12.32,165,0
OPEG.US,5,20260106,203000,13.11,13.11,13.09,13.09,1068,0
OPEG.US,5,20260106,203500,13.2316,13.37,13.2316,13.37,1289,0
OPEG.US,5,20260106,211000,13.97,13.97,13.94,13.94,400,0
OPEG.US,5,20260106,213000,13.809,13.809,13.809,13.809,300,0
OPEG.US,5,20260106,213500,14.049,14.09,13.985,14.09,860,0
OPEG.US,5,20260106,214500,14.0238,14.09,14.0238,14.09,400,0
OPEG.US,5,20260107,153000,13.62,13.62,13.38,13.38,484,0
OPEG.US,5,20260107,153500,13.2088,13.2088,13.2088,13.2088,2242,0
OPEG.US,5,20260107,154000,13.2745,13.2745,13.06,13.06,714,0
OPEG.US,5,20260107,155000,13.06,13.09,12.98,13.07,543,0
OPEG.US,5,20260107,160000,13,13,12.83,12.83,1000,0
OPEG.US,5,20260107,160500,12.77,12.77,12.77,12.77,100,0
OPEG.US,5,20260107,161000,12.69,12.69,12.69,12.69,100,0
OPEG.US,5,20260107,161500,12.51,12.51,12.5,12.5,1729,0
OPEG.US,5,20260107,162000,12.5,12.5,12.5,12.5,1200,0
OPEG.US,5,20260107,164500,12.6,12.6,12.6,12.6,1000,0
OPEG.US,5,20260107,165000,12.7399,12.7399,12.7399,12.7399,100,0
OPEG.US,5,20260107,174000,13.1606,13.1606,13.06,13.06,2587,0
OPEG.US,5,20260107,175500,13.29,13.31,13.29,13.31,1643,0
OPEG.US,5,20260107,180500,13.18,13.18,13.17,13.17,200,0
OPEG.US,5,20260107,183000,13.19,13.19,13.19,13.19,100,0
OPEG.US,5,20260107,185000,11.95,11.959,11.68,11.9062,2260,0
OPEG.US,5,20260107,191000,11.92,11.92,11.92,11.92,100,0
OPEG.US,5,20260107,192000,11.98,11.98,11.98,11.98,100,0
OPEG.US,5,20260107,194000,11.6,11.6,11.44,11.44,300,0
OPEG.US,5,20260107,194500,11.35,11.38,11.31,11.31,1539,0
OPEG.US,5,20260107,200000,10.67,10.67,10.64,10.64,200,0
OPEG.US,5,20260107,200500,10.63,10.746,10.51,10.746,1198,0
OPEG.US,5,20260107,201000,10.63,10.63,10.62,10.62,500,0
OPEG.US,5,20260107,201500,10.5496,10.61,10.5496,10.61,300,0
OPEG.US,5,20260107,202500,10.6899,10.6899,10.67,10.67,215,0
OPEG.US,5,20260107,203000,10.86,11.11,10.86,11.11,200,0
OPEG.US,5,20260107,203500,10.9944,10.9944,10.9944,10.9944,479,0
OPEG.US,5,20260107,204500,10.79,10.79,10.79,10.79,252,0
OPEG.US,5,20260107,210500,11.24,11.24,11.24,11.24,100,0
OPEG.US,5,20260107,211000,11.3,11.3,11.3,11.3,252,0
OPEG.US,5,20260107,211500,11.2301,11.2301,11.2301,11.2301,115,0
OPEG.US,5,20260107,213500,11.2099,11.2099,11.2099,11.2099,100,0
OPEG.US,5,20260107,215500,10.96,10.96,10.84,10.84,215,0
OPEG.US,5,20260108,153500,11.617193,11.617193,11.4412,11.4412,514,0
OPEG.US,5,20260108,154500,11.76,11.81,11.76,11.77,600,0
OPEG.US,5,20260108,160500,11.87,11.87,11.87,11.87,100,0
OPEG.US,5,20260108,161500,11.96,11.96,11.96,11.96,100,0
OPEG.US,5,20260108,163500,11.75,11.75,11.72,11.73,500,0
OPEG.US,5,20260108,165500,11.54,11.54,11.53,11.53,300,0
OPEG.US,5,20260108,171500,11.75,11.75,11.74,11.74,201,0
OPEG.US,5,20260108,173000,11.78,11.78,11.78,11.78,100,0
OPEG.US,5,20260108,175000,11.5,11.5,11.5,11.5,648,0
OPEG.US,5,20260108,181500,11.91,11.91,11.82,11.82,200,0
OPEG.US,5,20260108,185500,12.37,12.37,12.37,12.37,138,0
OPEG.US,5,20260108,190500,12.39,12.39,12.381,12.381,432,0
OPEG.US,5,20260108,192500,12.4,12.4,12.4,12.4,100,0
OPEG.US,5,20260108,195000,12.55,12.55,12.55,12.55,100,0
OPEG.US,5,20260108,195500,12.59,12.6,12.59,12.6,300,0
OPEG.US,5,20260108,202500,12.61,12.61,12.6,12.6,424,0
OPEG.US,5,20260108,205500,12.44,12.44,12.44,12.44,100,0
OPEG.US,5,20260108,215500,11.935,11.935,11.755,11.755,372,0
