<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBEU.US,5,20251125,171500,25.85,25.85,25.85,25.85,100,0
PBEU.US,5,20251126,153000,26.2,26.2,26.2,26.2,500,0
PBEU.US,5,20251126,154500,26.25,26.25,26.25,26.25,500,0
PBEU.US,5,20251126,174000,26.3,26.3,26.3,26.3,1500,0
PBEU.US,5,20251201,174000,26.6,26.6,26.6,26.6,500,0
PBEU.US,5,20251205,160000,26.92,26.9201,26.92,26.9201,200,0
PBEU.US,5,20251211,192000,27.9499,27.9499,27.9499,27.9499,141,0
PBEU.US,5,20251215,185500,27.92,27.92,27.92,27.92,100,0
PBEU.US,5,20251222,173500,28.57,28.57,28.57,28.57,1500,0
PBEU.US,5,20260102,184000,29.29,29.29,29.29,29.29,100,0
PBEU.US,5,20260102,184500,29.29,29.29,29.25,29.25,600,0
PBEU.US,5,20260102,185000,29.26,29.26,29.26,29.26,200,0
PBEU.US,5,20260102,185500,29.26,29.27,29.25,29.25,1400,0
PBEU.US,5,20260102,190000,29.26,29.26,29.24,29.24,1500,0
PBEU.US,5,20260102,190500,29.24,29.24,29.22,29.22,800,0
PBEU.US,5,20260102,191000,29.22,29.22,29.21,29.21,900,0
PBEU.US,5,20260102,191500,29.21,29.21,29.205,29.21,500,0
PBEU.US,5,20260102,192000,29.23,29.24,29.22,29.22,816,0
PBEU.US,5,20260102,192500,29.22,29.22,29.21,29.22,600,0
PBEU.US,5,20260102,193000,29.21,29.21,29.21,29.21,745,0
PBEU.US,5,20260102,193500,29.21,29.21,29.21,29.21,1200,0
PBEU.US,5,20260102,194000,29.21,29.21,29.21,29.21,900,0
PBEU.US,5,20260102,194500,29.21,29.22,29.21,29.21,1100,0
PBEU.US,5,20260102,195000,29.21,29.21,29.205,29.21,1100,0
PBEU.US,5,20260102,195500,29.22,29.22,29.21,29.22,1100,0
PBEU.US,5,20260102,200000,29.23,29.24,29.22,29.24,1200,0
PBEU.US,5,20260102,200500,29.25,29.26,29.25,29.26,1300,0
PBEU.US,5,20260102,201000,29.25,29.29,29.25,29.29,1500,0
PBEU.US,5,20260102,201500,29.29,29.29,29.29,29.29,1400,0
PBEU.US,5,20260102,202000,29.28,29.3,29.28,29.3,4905,0
PBEU.US,5,20260102,202500,29.3,29.31,29.3,29.31,500,0
PBEU.US,5,20260102,203000,29.32,29.33,29.32,29.33,500,0
PBEU.US,5,20260102,203500,29.33,29.34,29.33,29.34,400,0
PBEU.US,5,20260102,204000,29.34,29.34,29.33,29.34,1600,0
PBEU.US,5,20260102,204500,29.34,29.35,29.34,29.35,1786,0
PBEU.US,5,20260102,205000,29.35,29.36,29.35,29.35,1531,0
PBEU.US,5,20260102,205500,29.36,29.36,29.36,29.36,1900,0
PBEU.US,5,20260102,210000,29.36,29.36,29.36,29.36,1106,0
PBEU.US,5,20260102,210500,29.35,29.35,29.34,29.35,1398,0
PBEU.US,5,20260102,211000,29.35,29.35,29.34,29.34,916,0
