<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBPH.US,5,20251125,172000,25.08,25.08,25.0797,25.0797,200,0
PBPH.US,5,20251211,161500,24.74,24.74,24.74,24.74,2500,0
PBPH.US,5,20251212,215500,24.75,24.75,24.75,24.75,100,0
PBPH.US,5,20251215,172500,25.1092,25.1092,25.1092,25.1092,100,0
PBPH.US,5,20251215,215000,25.1868,25.22,25.1868,25.22,1140,0
PBPH.US,5,20251217,205500,24.89,24.89,24.89,24.89,100,0
PBPH.US,5,20251219,210000,25.1821,25.1821,25.1821,25.1821,450,0
PBPH.US,5,20251224,172000,25.49,25.49,25.49,25.49,354,0
PBPH.US,5,20251226,170500,25.47,25.47,25.4699,25.4699,200,0
PBPH.US,5,20251230,215000,25.38,25.38,25.38,25.38,500,0
PBPH.US,5,20251231,205500,25.31,25.31,25.31,25.31,100,0
PBPH.US,5,20260102,184000,25.24,25.24,25.24,25.24,100,0
PBPH.US,5,20260102,184500,25.25,25.25,25.23,25.23,859,0
PBPH.US,5,20260102,185000,25.23,25.23,25.23,25.23,665,0
PBPH.US,5,20260102,185500,25.24,25.24,25.24,25.24,1319,0
PBPH.US,5,20260102,190000,25.24,25.24,25.23,25.24,1250,0
PBPH.US,5,20260102,190500,25.23,25.23,25.23,25.23,1165,0
PBPH.US,5,20260102,191000,25.23,25.23,25.22,25.22,964,0
PBPH.US,5,20260102,191500,25.22,25.23,25.22,25.23,1079,0
PBPH.US,5,20260102,192000,25.23,25.24,25.23,25.23,611,0
PBPH.US,5,20260102,192500,25.22,25.22,25.22,25.22,357,0
PBPH.US,5,20260102,193000,25.22,25.22,25.22,25.22,419,0
PBPH.US,5,20260102,193500,25.22,25.22,25.22,25.22,1331,0
PBPH.US,5,20260102,194000,25.22,25.22,25.22,25.22,1164,0
PBPH.US,5,20260102,194500,25.22,25.22,25.22,25.22,1277,0
PBPH.US,5,20260102,195000,25.22,25.22,25.22,25.22,1195,0
PBPH.US,5,20260102,195500,25.22,25.22,25.22,25.22,903,0
PBPH.US,5,20260102,200000,25.22,25.22,25.22,25.22,1422,0
PBPH.US,5,20260102,200500,25.23,25.23,25.22,25.22,1145,0
PBPH.US,5,20260102,201000,25.22,25.25,25.22,25.25,1310,0
PBPH.US,5,20260102,201500,25.26,25.26,25.25,25.26,1450,0
PBPH.US,5,20260102,202000,25.26,25.26,25.26,25.26,1374,0
PBPH.US,5,20260102,202500,25.27,25.28,25.27,25.28,1049,0
PBPH.US,5,20260102,203000,25.28,25.28,25.28,25.28,746,0
PBPH.US,5,20260102,203500,25.29,25.29,25.29,25.29,214,0
PBPH.US,5,20260102,204000,25.29,25.3,25.29,25.29,1191,0
PBPH.US,5,20260102,204500,25.29,25.32,25.29,25.29,2889,0
PBPH.US,5,20260102,205000,25.29,25.31,25.29,25.31,1190,0
PBPH.US,5,20260102,205500,25.29,25.3,25.29,25.29,1201,0
PBPH.US,5,20260102,210000,25.28,25.3,25.28,25.29,1151,0
PBPH.US,5,20260102,210500,25.29,25.29,25.28,25.29,1057,0
PBPH.US,5,20260102,211000,25.29,25.29,25.28,25.28,1205,0
PBPH.US,5,20260102,211500,25.3,25.31,25.29,25.3,1347,0
PBPH.US,5,20260102,212000,25.3,25.3,25.3,25.3,1177,0
PBPH.US,5,20260102,212500,25.3,25.3,25.29,25.29,1292,0
PBPH.US,5,20260102,213000,25.3,25.31,25.3,25.3,1353,0
PBPH.US,5,20260102,213500,25.31,25.31,25.3,25.3,1558,0
PBPH.US,5,20260102,214000,25.3,25.31,25.3,25.31,2364,0
PBPH.US,5,20260102,215500,25.31,25.31,25.31,25.31,14500,0
PBPH.US,5,20260105,164500,24.9,24.9,24.9,24.9,134,0
PBPH.US,5,20260105,170000,24.94,24.94,24.94,24.94,132,0
PBPH.US,5,20260105,172000,24.9,24.9,24.9,24.9,133,0
PBPH.US,5,20260105,173500,24.92,24.92,24.92,24.92,132,0
PBPH.US,5,20260105,174000,24.92,24.92,24.92,24.92,100,0
PBPH.US,5,20260105,175500,24.93,24.93,24.93,24.93,132,0
PBPH.US,5,20260105,182000,24.98,24.98,24.98,24.98,132,0
PBPH.US,5,20260105,183500,24.98,24.98,24.98,24.98,100,0
PBPH.US,5,20260105,184000,25,25,25,25,132,0
PBPH.US,5,20260105,190500,25.02,25.02,25.02,25.02,132,0
PBPH.US,5,20260105,192000,25,25,25,25,100,0
PBPH.US,5,20260105,193000,24.99,24.99,24.99,24.99,132,0
PBPH.US,5,20260105,194000,24.98,24.99,24.98,24.99,326,0
PBPH.US,5,20260105,194500,24.99,24.99,24.99,24.99,753,0
PBPH.US,5,20260105,195000,24.98,24.99,24.98,24.99,1480,0
PBPH.US,5,20260105,195500,24.99,24.99,24.98,24.98,1671,0
PBPH.US,5,20260105,200000,24.98,24.99,24.98,24.98,1744,0
PBPH.US,5,20260105,200500,24.97,24.97,24.97,24.97,1324,0
PBPH.US,5,20260105,201000,24.97,24.97,24.97,24.97,1321,0
PBPH.US,5,20260105,201500,24.97,24.97,24.97,24.97,1453,0
PBPH.US,5,20260105,202000,24.97,24.98,24.97,24.98,1559,0
PBPH.US,5,20260105,202500,24.98,24.98,24.98,24.98,1698,0
PBPH.US,5,20260105,203000,24.99,24.99,24.99,24.99,1321,0
PBPH.US,5,20260105,203500,24.99,25,24.99,25,1678,0
PBPH.US,5,20260105,204000,25,25.01,25,25.01,1556,0
PBPH.US,5,20260105,204500,25.01,25.02,25.01,25.01,2147,0
PBPH.US,5,20260105,205000,25.02,25.02,25.01,25.02,2147,0
PBPH.US,5,20260105,205500,25.04,25.04,25.04,25.04,2452,0
PBPH.US,5,20260105,210000,25.03,25.03,25.02,25.03,2475,0
PBPH.US,5,20260105,210500,25.04,25.04,25.04,25.04,2539,0
PBPH.US,5,20260105,211000,25.04,25.06,25.04,25.06,2592,0
PBPH.US,5,20260105,211500,25.05,25.06,25.05,25.06,2634,0
PBPH.US,5,20260105,212000,25.05,25.05,25.04,25.04,2762,0
PBPH.US,5,20260105,212500,25.05,25.06,25.05,25.05,3689,0
PBPH.US,5,20260105,213000,25.05,25.05,25.05,25.05,557,0
PBPH.US,5,20260105,213500,25.07,25.11,25.07,25.11,1700,0
PBPH.US,5,20260106,193000,25.45,25.45,25.45,25.45,25614,0
PBPH.US,5,20260106,193500,25.45,25.45,25.45,25.45,16341,0
PBPH.US,5,20260106,194000,25.45,25.45,25.45,25.45,8330,0
PBPH.US,5,20260106,194500,25.44,25.46,25.44,25.455,4804,0
PBPH.US,5,20260106,195500,25.45,25.45,25.45,25.45,1200,0
PBPH.US,5,20260106,210500,25.54,25.54,25.54,25.54,3000,0
PBPH.US,5,20260106,211000,25.55,25.55,25.55,25.55,451,0
PBPH.US,5,20260106,212000,25.55,25.55,25.54,25.54,828,0
PBPH.US,5,20260106,212500,25.53,25.53,25.53,25.53,2962,0
PBPH.US,5,20260106,213000,25.54,25.54,25.52,25.53,3310,0
PBPH.US,5,20260106,213500,25.53,25.54,25.53,25.54,3025,0
PBPH.US,5,20260106,214000,25.54,25.54,25.53,25.53,10888,0
PBPH.US,5,20260106,215000,25.54,25.54,25.54,25.54,1528,0
PBPH.US,5,20260107,192500,26.02,26.02,26.02,26.02,100,0
PBPH.US,5,20260107,195000,25.89,25.89,25.89,25.89,22023,0
PBPH.US,5,20260107,200000,25.91,25.91,25.91,25.91,25878,0
PBPH.US,5,20260107,201500,25.88,25.88,25.88,25.88,8432,0
PBPH.US,5,20260107,202000,25.88,25.88,25.88,25.88,893,0
PBPH.US,5,20260107,202500,25.89,25.9,25.89,25.9,4881,0
PBPH.US,5,20260107,203500,25.88,25.88,25.88,25.88,800,0
PBPH.US,5,20260107,204500,25.885,27.08,25.88,27.08,5400,0
PBPH.US,5,20260107,210000,26.01,26.01,26.01,26.01,400,0
PBPH.US,5,20260107,211000,26.03,26.03,26.03,26.03,100,0
PBPH.US,5,20260107,214000,25.9881,25.99,25.9881,25.99,2346,0
PBPH.US,5,20260107,214500,25.99,25.99,25.99,25.99,2686,0
PBPH.US,5,20260107,215000,26.02,26.02,26.02,26.02,5004,0
PBPH.US,5,20260108,163000,26.06,26.06,26.06,26.06,200,0
PBPH.US,5,20260108,191500,25.84,25.84,25.84,25.84,100,0
PBPH.US,5,20260108,200000,25.74,25.74,25.74,25.74,20035,0
PBPH.US,5,20260108,200500,25.77,25.77,25.77,25.77,19810,0
PBPH.US,5,20260108,201000,25.74,25.74,25.72,25.74,11854,0
PBPH.US,5,20260108,201500,25.735,25.74,25.72,25.72,8892,0
PBPH.US,5,20260108,202500,25.69,25.69,25.6759,25.69,11758,0
PBPH.US,5,20260108,203000,25.68,25.69,25.68,25.6884,2336,0
PBPH.US,5,20260108,203500,25.66,25.6601,25.66,25.6601,200,0
PBPH.US,5,20260108,205500,25.6,25.6,25.6,25.6,100,0
PBPH.US,5,20260108,211500,25.61,25.61,25.61,25.61,370,0
PBPH.US,5,20260108,213500,25.73,25.73,25.73,25.73,4472,0
PBPH.US,5,20260108,214000,25.8,25.8,25.8,25.8,2544,0
PBPH.US,5,20260108,214500,25.8,25.8,25.8,25.8,2544,0
PBPH.US,5,20260108,215000,25.8,25.8,25.8,25.8,641,0
