<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBRG.US,5,20251222,190500,14.84,14.84,14.84,14.84,300,0
PBRG.US,5,20251223,160000,15.08,15.08,15.08,15.08,165,0
PBRG.US,5,20251223,183000,15.1,15.1,15.09,15.1,1900,0
PBRG.US,5,20251226,172500,14.9162,14.9162,14.9,14.91,1900,0
PBRG.US,5,20251230,153000,15.87,15.87,15.87,15.87,100,0
PBRG.US,5,20251230,184500,16.0945,16.0945,16.0945,16.0945,100,0
PBRG.US,5,20251231,175500,15.9785,15.9785,15.9785,15.9785,150,0
PBRG.US,5,20260102,215000,16.07,16.07,16.07,16.07,100,0
PBRG.US,5,20260105,153000,16.5,16.5,16.5,16.5,300,0
PBRG.US,5,20260105,163500,15.11,15.11,15.11,15.11,100,0
PBRG.US,5,20260105,164000,15.22,15.22,15.22,15.22,320,0
PBRG.US,5,20260105,215500,15.57,15.57,15.57,15.57,100,0
PBRG.US,5,20260108,212500,15.93,15.93,15.93,15.93,399,0
