<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFDE.US,5,20251231,153000,25.15,25.174,25.085,25.085,2000,0
PFDE.US,5,20251231,153500,25.08,25.08,25.08,25.08,250,0
PFDE.US,5,20251231,163500,25.07,25.07,25.07,25.07,100,0
PFDE.US,5,20251231,165500,25.03,25.03,25.03,25.03,300,0
PFDE.US,5,20251231,171500,25.02,25.02,25.02,25.02,155854,0
PFDE.US,5,20260102,162500,24.92,24.92,24.92,24.92,2500,0
PFDE.US,5,20260102,193500,24.865,24.865,24.865,24.865,1000,0
PFDE.US,5,20260102,201500,24.9158,24.9158,24.9158,24.9158,4063,0
PFDE.US,5,20260102,212500,24.96,24.96,24.9599,24.9599,800,0
PFDE.US,5,20260102,214500,24.94,24.94,24.93,24.93,400,0
PFDE.US,5,20260105,164500,25.05,25.05,25.05,25.05,600,0
PFDE.US,5,20260105,165000,25.0699,25.0699,25.0699,25.0699,3055,0
PFDE.US,5,20260105,171000,25.07,25.07,25.07,25.07,299,0
PFDE.US,5,20260105,191500,25.04,25.04,25.03,25.03,700,0
PFDE.US,5,20260105,204000,25.02,25.02,25.02,25.02,100,0
PFDE.US,5,20260105,205500,25.03,25.03,25.03,25.03,299,0
PFDE.US,5,20260106,163500,25.17,25.17,25.17,25.17,100,0
PFDE.US,5,20260106,165500,25.13,25.13,25.13,25.13,100,0
PFDE.US,5,20260106,183000,25.1702,25.1702,25.1702,25.1702,217,0
PFDE.US,5,20260106,200500,25.23,25.23,25.23,25.23,200,0
PFDE.US,5,20260106,212500,25.2081,25.2081,25.2081,25.2081,327,0
PFDE.US,5,20260107,163000,25.24,25.24,25.24,25.24,970289,0
PFDE.US,5,20260107,163500,25.2668,25.2668,25.24,25.24,2086,0
PFDE.US,5,20260107,170500,25.28,25.28,25.28,25.28,100,0
PFDE.US,5,20260107,172500,25.26,25.26,25.26,25.26,100,0
PFDE.US,5,20260107,174000,25.27,25.27,25.27,25.27,300,0
PFDE.US,5,20260107,175500,25.2984,25.2984,25.2984,25.2984,752,0
PFDE.US,5,20260107,180500,25.31,25.31,25.31,25.31,110,0
PFDE.US,5,20260107,182500,25.31,25.31,25.31,25.31,100,0
PFDE.US,5,20260107,183000,25.305,25.305,25.305,25.305,100,0
PFDE.US,5,20260107,185000,25.3,25.3,25.27,25.27,420,0
PFDE.US,5,20260107,185500,25.28,25.28,25.28,25.28,310,0
PFDE.US,5,20260107,192000,25.27,25.28,25.27,25.28,13708,0
PFDE.US,5,20260107,193000,25.27,25.27,25.27,25.27,100,0
PFDE.US,5,20260107,194500,25.28,25.28,25.28,25.28,961,0
PFDE.US,5,20260107,195000,25.28,25.28,25.28,25.28,320,0
PFDE.US,5,20260107,195500,25.28,25.28,25.28,25.28,100,0
PFDE.US,5,20260107,200500,25.28,25.28,25.25,25.25,200,0
PFDE.US,5,20260107,201000,25.25,25.25,25.21,25.21,1552,0
PFDE.US,5,20260107,202000,25.24,25.24,25.24,25.24,100,0
PFDE.US,5,20260107,203500,25.2541,25.2541,25.2541,25.2541,1072,0
PFDE.US,5,20260107,211000,25.21,25.21,25.21,25.21,100,0
PFDE.US,5,20260107,212500,25.2,25.2,25.2,25.2,100,0
PFDE.US,5,20260108,155500,25.13,25.13,25.13,25.13,100,0
PFDE.US,5,20260108,163500,25.13,25.15,25.105,25.15,4826,0
PFDE.US,5,20260108,164500,25.1201,25.1201,25.1201,25.1201,212,0
PFDE.US,5,20260108,165000,25.14,25.14,25.12,25.12,7952,0
PFDE.US,5,20260108,171500,25.12,25.12,25.12,25.12,100,0
PFDE.US,5,20260108,182500,25.12,25.12,25.12,25.12,1921,0
PFDE.US,5,20260108,191000,25.115,25.115,25.115,25.115,100,0
PFDE.US,5,20260108,191500,25.12,25.12,25.12,25.12,100,0
PFDE.US,5,20260108,194000,25.13,25.13,25.1299,25.1299,2280,0
PFDE.US,5,20260108,195000,25.12,25.12,25.12,25.12,100,0
PFDE.US,5,20260108,195500,25.115,25.12,25.115,25.12,200,0
PFDE.US,5,20260108,201000,25.11,25.11,25.11,25.11,100,0
PFDE.US,5,20260108,211000,25.11,25.11,25.11,25.11,100,0
PFDE.US,5,20260108,211500,25.12,25.12,25.09,25.09,2940,0
