<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCON.US,5,20250813,153000,2.48,2.49,2.48,2.48,5731,0
RCON.US,5,20250813,153500,2.525,2.535,2.525,2.535,640,0
RCON.US,5,20250813,154000,2.508,2.508,2.508,2.508,210,0
RCON.US,5,20250813,154500,2.52,2.52,2.52,2.52,570,0
RCON.US,5,20250813,155000,2.48,2.5296,2.48,2.5296,1488,0
RCON.US,5,20250813,155500,2.53,2.5511,2.52,2.5511,2433,0
RCON.US,5,20250813,160000,2.58,2.58,2.529,2.529,3684,0
RCON.US,5,20250813,160500,2.575,2.575,2.575,2.575,100,0
RCON.US,5,20250813,161000,2.605,2.64,2.605,2.64,2297,0
RCON.US,5,20250813,161500,2.69,2.7,2.63,2.63,2340,0
RCON.US,5,20250813,163000,2.63,2.63,2.63,2.63,350,0
RCON.US,5,20250813,163500,2.63,2.7,2.63,2.7,525,0
RCON.US,5,20250813,164000,2.64,2.7,2.64,2.665,1250,0
RCON.US,5,20250813,165000,2.63,2.75,2.63,2.75,1960,0
RCON.US,5,20250813,165500,2.7997,2.7997,2.725,2.725,5100,0
RCON.US,5,20250813,170500,2.71,2.71,2.57,2.65,2407,0
RCON.US,5,20250813,171000,2.68,2.75,2.6612,2.6612,2799,0
RCON.US,5,20250813,171500,2.74,2.769,2.7183,2.7183,2169,0
RCON.US,5,20250813,172500,2.72,2.72,2.72,2.72,196,0
RCON.US,5,20250813,173000,2.705,2.75,2.705,2.75,1650,0
RCON.US,5,20250813,173500,2.74,2.74,2.74,2.74,100,0
RCON.US,5,20250813,174000,2.78,2.78,2.75,2.75,1900,0
RCON.US,5,20250813,174500,2.76,2.76,2.7,2.75,1252,0
RCON.US,5,20250813,175000,2.7101,2.79,2.71,2.79,3719,0
RCON.US,5,20250813,175500,2.79,2.83,2.78,2.83,5941,0
RCON.US,5,20250813,181500,2.7677,2.8198,2.71,2.8198,12478,0
RCON.US,5,20250813,182000,2.7373,2.81,2.7373,2.81,554,0
RCON.US,5,20250813,182500,2.81,2.81,2.81,2.81,300,0
RCON.US,5,20250813,183000,2.7507,2.7507,2.7507,2.7507,1200,0
RCON.US,5,20250813,184000,2.7601,2.7601,2.7601,2.7601,10500,0
RCON.US,5,20250813,190000,2.8,2.81,2.8,2.8,6351,0
RCON.US,5,20250813,191000,2.795,2.795,2.795,2.795,517,0
RCON.US,5,20250813,195000,2.7206,2.7206,2.7206,2.7206,1240,0
RCON.US,5,20250813,204500,2.72,2.75,2.72,2.745,706,0
RCON.US,5,20250813,205500,2.78,2.78,2.716,2.716,842,0
RCON.US,5,20250813,210000,2.78,2.8,2.78,2.8,650,0
RCON.US,5,20250813,210500,2.79,2.8,2.7138,2.8,1696,0
RCON.US,5,20250813,211000,2.79,2.8,2.79,2.79,550,0
RCON.US,5,20250813,211500,2.79,2.8,2.79,2.8,1200,0
RCON.US,5,20250813,212000,2.8,2.85,2.8,2.84,11852,0
RCON.US,5,20250813,214000,2.81,2.82,2.7855,2.7855,434,0
RCON.US,5,20250813,214500,2.81,2.81,2.72,2.72,1350,0
RCON.US,5,20250813,215500,2.73,2.83,2.72,2.83,6406,0
RCON.US,5,20250814,153000,2.65,2.71,2.65,2.71,972,0
RCON.US,5,20250814,153500,2.7,2.74,2.7,2.74,350,0
RCON.US,5,20250814,154000,2.71,2.71,2.7,2.71,3480,0
RCON.US,5,20250814,154500,2.79,2.79,2.79,2.79,716,0
RCON.US,5,20250814,155000,2.735,2.79,2.735,2.79,200,0
RCON.US,5,20250814,163000,2.73,2.73,2.71,2.71,1900,0
RCON.US,5,20250814,163500,2.71,2.71,2.66,2.67,1300,0
RCON.US,5,20250814,164500,2.725,2.725,2.725,2.725,157,0
RCON.US,5,20250814,174500,2.6747,2.72,2.6747,2.72,700,0
RCON.US,5,20250814,180000,2.72,2.72,2.67,2.68,4051,0
RCON.US,5,20250814,180500,2.65,2.65,2.65,2.65,200,0
RCON.US,5,20250814,182000,2.6,2.6,2.6,2.6,155,0
RCON.US,5,20250814,182500,2.6,2.6,2.53,2.59,5606,0
RCON.US,5,20250814,183000,2.5,2.5,2.5,2.5,1000,0
RCON.US,5,20250814,183500,2.5025,2.54,2.5001,2.5001,4146,0
RCON.US,5,20250814,191000,2.59,2.5982,2.56,2.56,3800,0
RCON.US,5,20250814,191500,2.6,2.6,2.6,2.6,213,0
RCON.US,5,20250814,192500,2.65,2.65,2.65,2.65,110,0
RCON.US,5,20250814,193000,2.65,2.65,2.65,2.65,300,0
RCON.US,5,20250814,194000,2.571,2.571,2.571,2.571,1700,0
RCON.US,5,20250814,194500,2.595,2.595,2.595,2.595,100,0
RCON.US,5,20250814,200500,2.6557,2.6557,2.6557,2.6557,400,0
RCON.US,5,20250814,201000,2.66,2.66,2.66,2.66,100,0
RCON.US,5,20250814,202000,2.66,2.66,2.66,2.66,100,0
RCON.US,5,20250814,203000,2.6641,2.6641,2.6641,2.6641,500,0
RCON.US,5,20250814,205000,2.67,2.7528,2.67,2.7528,2564,0
RCON.US,5,20250814,210500,2.75,2.75,2.75,2.75,440,0
RCON.US,5,20250814,212500,2.68,2.68,2.68,2.68,200,0
RCON.US,5,20250814,215500,2.69,2.69,2.69,2.69,165,0
RCON.US,5,20250815,153000,2.6081,2.6081,2.6081,2.6081,309,0
RCON.US,5,20250815,153500,2.61,2.62,2.51,2.6,6900,0
RCON.US,5,20250815,154500,2.6718,2.6718,2.6718,2.6718,373,0
RCON.US,5,20250815,155000,2.68,2.68,2.68,2.68,100,0
RCON.US,5,20250815,160000,2.68,2.68,2.68,2.68,250,0
RCON.US,5,20250815,162000,2.66,2.66,2.66,2.66,250,0
RCON.US,5,20250815,162500,2.66,2.66,2.66,2.66,250,0
RCON.US,5,20250815,163000,2.66,2.66,2.6513,2.6513,2100,0
RCON.US,5,20250815,170500,2.6532,2.6532,2.6532,2.6532,270,0
RCON.US,5,20250815,171500,2.6599,2.6599,2.6599,2.6599,100,0
RCON.US,5,20250815,173500,2.65,2.65,2.65,2.65,600,0
RCON.US,5,20250815,175500,2.6498,2.6499,2.6498,2.6499,2000,0
RCON.US,5,20250815,180000,2.6488,2.6488,2.64,2.64,200,0
RCON.US,5,20250815,181500,2.585,2.585,2.585,2.585,329,0
RCON.US,5,20250815,193000,2.615,2.615,2.59,2.59,600,0
RCON.US,5,20250815,194000,2.5958,2.5958,2.5958,2.5958,255,0
RCON.US,5,20250815,194500,2.66,2.66,2.66,2.66,1000,0
RCON.US,5,20250815,202500,2.6,2.6,2.6,2.6,264,0
RCON.US,5,20250815,203000,2.62,2.62,2.62,2.62,150,0
RCON.US,5,20250815,210500,2.66,2.73,2.66,2.73,1100,0
RCON.US,5,20250815,214000,2.5801,2.5801,2.5801,2.5801,466,0
RCON.US,5,20250815,214500,2.5926,2.5926,2.5926,2.5926,239,0
RCON.US,5,20250815,215000,2.5801,2.62,2.5801,2.62,426,0
RCON.US,5,20250815,215500,2.59,2.64,2.59,2.62,2459,0
RCON.US,5,20250818,153000,2.64,2.64,2.64,2.64,5460,0
RCON.US,5,20250818,153500,2.64,2.64,2.6399,2.6399,6030,0
RCON.US,5,20250818,154500,2.6398,2.725,2.6398,2.725,6617,0
RCON.US,5,20250818,160000,2.874,2.9,2.874,2.8896,2550,0
RCON.US,5,20250818,160500,2.86,2.89,2.86,2.8701,9704,0
RCON.US,5,20250818,161000,2.9,3,2.9,3,4439,0
RCON.US,5,20250818,161500,3.02,3.02,2.965,2.99,5722,0
RCON.US,5,20250818,162000,2.97,3.11,2.97,3.04,7240,0
RCON.US,5,20250818,162500,3.08,3.15,3.02,3.07,9172,0
RCON.US,5,20250818,163000,3.11,3.1395,3.031,3.09,8970,0
RCON.US,5,20250818,163500,3.08,3.08,3.08,3.08,1500,0
RCON.US,5,20250818,164000,3.07,3.12,3.05,3.05,3780,0
RCON.US,5,20250818,164500,3.0545,3.06,3.0545,3.06,200,0
RCON.US,5,20250818,165000,3.06,3.07,3.02,3.03,11956,0
RCON.US,5,20250818,165500,3.036,3.0601,2.99,3,18083,0
RCON.US,5,20250818,170000,3.002,3.002,2.8,2.83,36933,0
RCON.US,5,20250818,170500,2.8494,2.8494,2.77,2.83,3740,0
RCON.US,5,20250818,171000,2.85,2.85,2.85,2.85,700,0
RCON.US,5,20250818,171500,2.8,2.83,2.8,2.83,778,0
RCON.US,5,20250818,172000,2.9199,2.9199,2.9199,2.9199,800,0
RCON.US,5,20250818,172500,2.9,2.9,2.9,2.9,682,0
RCON.US,5,20250818,173000,3.03,3.03,3.03,3.03,100,0
RCON.US,5,20250818,173500,3.0399,3.0399,2.91,2.91,2151,0
RCON.US,5,20250818,174500,2.925,3.03,2.925,3.03,2024,0
RCON.US,5,20250818,175000,2.85,3.027,2.83,3.027,1760,0
RCON.US,5,20250818,181000,2.8844,2.8844,2.88,2.88,573,0
RCON.US,5,20250818,182000,2.88,2.88,2.88,2.88,5000,0
RCON.US,5,20250818,184500,2.8538,2.915,2.85,2.8501,3360,0
RCON.US,5,20250818,185500,2.84,2.858,2.835,2.835,1600,0
RCON.US,5,20250818,191500,2.8301,2.8301,2.8301,2.8301,1681,0
RCON.US,5,20250818,192500,2.9262,2.9262,2.9262,2.9262,1805,0
RCON.US,5,20250818,201500,2.88,2.88,2.88,2.88,100,0
RCON.US,5,20250818,202000,2.9,2.9,2.9,2.9,700,0
RCON.US,5,20250818,202500,2.83,2.8795,2.81,2.87,3362,0
