<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMSG.US,5,20250813,153000,2.75,2.86,2.75,2.76,9980,0
RMSG.US,5,20250813,153500,2.805,2.805,2.76,2.7654,816,0
RMSG.US,5,20250813,154000,2.75,2.7593,2.74,2.7593,7362,0
RMSG.US,5,20250813,154500,2.74,2.7588,2.7,2.7006,16547,0
RMSG.US,5,20250813,155000,2.722,2.75,2.65,2.65,10808,0
RMSG.US,5,20250813,155500,2.6505,2.6987,2.64,2.64,8590,0
RMSG.US,5,20250813,160000,2.67,2.67,2.45,2.45,2070,0
RMSG.US,5,20250813,160500,2.4857,2.4857,2.4501,2.48,4350,0
RMSG.US,5,20250813,161500,2.555,2.6,2.555,2.6,1100,0
RMSG.US,5,20250813,162000,2.52,2.52,2.52,2.52,200,0
RMSG.US,5,20250813,163000,2.585,2.585,2.5306,2.585,1238,0
RMSG.US,5,20250813,163500,2.618,2.69,2.618,2.69,858,0
RMSG.US,5,20250813,164000,2.66,2.69,2.59,2.59,1520,0
RMSG.US,5,20250813,164500,2.52,2.52,2.5,2.5,700,0
RMSG.US,5,20250813,165500,2.5021,2.62,2.5,2.62,3806,0
RMSG.US,5,20250813,170500,2.61,2.61,2.61,2.61,103,0
RMSG.US,5,20250813,171500,2.61,2.61,2.5105,2.5105,597,0
RMSG.US,5,20250813,172000,2.6896,2.6896,2.6894,2.6894,4200,0
RMSG.US,5,20250813,173000,2.5119,2.6054,2.5119,2.6054,700,0
RMSG.US,5,20250813,174500,2.625,2.625,2.625,2.625,3700,0
RMSG.US,5,20250813,175500,2.6129,2.6129,2.6129,2.6129,175,0
RMSG.US,5,20250813,180000,2.645,2.645,2.645,2.645,100,0
RMSG.US,5,20250813,182500,2.6094,2.6094,2.6094,2.6094,300,0
RMSG.US,5,20250813,183000,2.6887,2.6887,2.6887,2.6887,186,0
RMSG.US,5,20250813,184500,2.66,2.69,2.66,2.69,908,0
RMSG.US,5,20250813,190000,2.72,2.72,2.72,2.72,1000,0
RMSG.US,5,20250813,191500,2.7185,2.7185,2.7185,2.7185,735,0
RMSG.US,5,20250813,192500,2.655,2.655,2.62,2.62,500,0
RMSG.US,5,20250813,194000,2.71,2.71,2.71,2.71,1000,0
RMSG.US,5,20250813,194500,2.71,2.71,2.6673,2.6673,232,0
RMSG.US,5,20250813,195500,2.72,2.74,2.72,2.74,200,0
RMSG.US,5,20250813,201000,2.73,2.73,2.73,2.73,361,0
RMSG.US,5,20250813,202500,2.72,2.73,2.72,2.73,229,0
RMSG.US,5,20250813,204000,2.73,2.73,2.73,2.73,2376,0
RMSG.US,5,20250813,205500,2.69,2.74,2.69,2.74,10581,0
RMSG.US,5,20250813,210500,2.695,2.695,2.66,2.66,13000,0
RMSG.US,5,20250813,211500,2.6602,2.74,2.6602,2.69,7270,0
RMSG.US,5,20250813,212000,2.6804,2.6804,2.6804,2.6804,1000,0
RMSG.US,5,20250813,212500,2.7,2.7,2.69,2.69,1267,0
RMSG.US,5,20250813,213000,2.65,2.65,2.65,2.65,401,0
RMSG.US,5,20250813,213500,2.68,2.68,2.68,2.68,100,0
RMSG.US,5,20250813,214000,2.68,2.68,2.65,2.65,396,0
RMSG.US,5,20250813,214500,2.66,2.68,2.65,2.68,2588,0
RMSG.US,5,20250813,215000,2.69,2.69,2.69,2.69,100,0
RMSG.US,5,20250813,215500,2.65,2.65,2.65,2.65,1204,0
RMSG.US,5,20250814,153000,2.61,2.61,2.6082,2.6082,1145,0
RMSG.US,5,20250814,153500,2.6,2.6996,2.6,2.6996,898,0
RMSG.US,5,20250814,154000,2.68,2.6898,2.68,2.6898,324,0
RMSG.US,5,20250814,154500,2.62,2.62,2.62,2.62,100,0
RMSG.US,5,20250814,155000,2.63,2.64,2.62,2.62,680,0
RMSG.US,5,20250814,160000,2.6187,2.7,2.6187,2.67,12258,0
RMSG.US,5,20250814,160500,2.65,2.65,2.65,2.65,1038,0
RMSG.US,5,20250814,161000,2.62,2.6925,2.62,2.6925,6450,0
RMSG.US,5,20250814,162000,2.6431,2.65,2.63,2.64,5140,0
RMSG.US,5,20250814,162500,2.63,2.63,2.63,2.63,605,0
RMSG.US,5,20250814,163500,2.6574,2.66,2.65,2.66,3792,0
RMSG.US,5,20250814,164000,2.65,2.65,2.65,2.65,117,0
RMSG.US,5,20250814,164500,2.5901,2.5901,2.5901,2.5901,1175,0
RMSG.US,5,20250814,165500,2.657,2.657,2.59,2.59,631,0
RMSG.US,5,20250814,170000,2.5974,2.5974,2.5974,2.5974,105,0
RMSG.US,5,20250814,171500,2.63,2.63,2.5943,2.5943,250,0
RMSG.US,5,20250814,172500,2.63,2.63,2.63,2.63,700,0
RMSG.US,5,20250814,180500,2.63,2.63,2.63,2.63,600,0
RMSG.US,5,20250814,182000,2.66,2.66,2.65,2.65,200,0
RMSG.US,5,20250814,182500,2.66,2.66,2.6477,2.6477,12588,0
RMSG.US,5,20250814,183000,2.65,2.65,2.65,2.65,100,0
RMSG.US,5,20250814,183500,2.67,2.7,2.67,2.7,2451,0
RMSG.US,5,20250814,184500,2.665,2.665,2.665,2.665,5000,0
RMSG.US,5,20250814,185000,2.665,2.729,2.665,2.72,4996,0
RMSG.US,5,20250814,185500,2.67,2.67,2.67,2.67,200,0
RMSG.US,5,20250814,191500,2.7299,2.7299,2.7,2.7,300,0
RMSG.US,5,20250814,193500,2.6402,2.6402,2.6402,2.6402,100,0
RMSG.US,5,20250814,195000,2.7,2.7,2.6502,2.6502,618,0
RMSG.US,5,20250814,200000,2.665,2.6999,2.665,2.665,3000,0
RMSG.US,5,20250814,201500,2.665,2.6872,2.665,2.6872,700,0
RMSG.US,5,20250814,202500,2.6927,2.6927,2.6927,2.6927,500,0
RMSG.US,5,20250814,203500,2.68,2.75,2.68,2.75,26642,0
RMSG.US,5,20250814,204000,2.78,2.78,2.725,2.725,1000,0
RMSG.US,5,20250814,204500,2.78,2.79,2.6604,2.6604,3400,0
RMSG.US,5,20250814,205000,2.78,2.79,2.78,2.79,1191,0
RMSG.US,5,20250814,205500,2.79,2.79,2.79,2.79,100,0
RMSG.US,5,20250814,210000,2.7538,2.7538,2.7538,2.7538,2000,0
RMSG.US,5,20250814,210500,2.79,2.81,2.76,2.81,1250,0
RMSG.US,5,20250814,211000,2.81,2.81,2.81,2.81,156,0
RMSG.US,5,20250814,214000,2.78,2.89,2.78,2.87,9409,0
RMSG.US,5,20250814,214500,2.88,2.895,2.88,2.895,600,0
RMSG.US,5,20250814,215000,2.92,2.9536,2.9,2.93,2341,0
RMSG.US,5,20250814,215500,2.9003,2.95,2.88,2.88,7441,0
RMSG.US,5,20250815,153000,2.75,2.8397,2.75,2.8397,1099,0
RMSG.US,5,20250815,153500,2.75,2.75,2.7201,2.7201,200,0
RMSG.US,5,20250815,154000,2.73,2.73,2.73,2.73,100,0
RMSG.US,5,20250815,155000,2.755,2.8,2.755,2.8,264,0
RMSG.US,5,20250815,160000,2.8,2.94,2.8,2.94,4096,0
RMSG.US,5,20250815,160500,2.91,2.91,2.88,2.89,2024,0
RMSG.US,5,20250815,161000,2.9,2.9,2.9,2.9,200,0
RMSG.US,5,20250815,161500,2.88,2.88,2.88,2.88,315,0
RMSG.US,5,20250815,162000,2.88,2.94,2.88,2.94,1442,0
RMSG.US,5,20250815,162500,2.89,2.89,2.89,2.89,1515,0
RMSG.US,5,20250815,163000,2.95,2.96,2.9,2.96,1800,0
RMSG.US,5,20250815,163500,2.93,2.93,2.93,2.93,1000,0
RMSG.US,5,20250815,164000,2.97,2.99,2.94,2.9456,3939,0
RMSG.US,5,20250815,164500,3,3.03,2.9999,3,7155,0
RMSG.US,5,20250815,165000,2.975,2.99,2.975,2.99,8400,0
RMSG.US,5,20250815,165500,2.98,2.98,2.98,2.98,200,0
RMSG.US,5,20250815,170000,2.98,2.98,2.97,2.97,1071,0
RMSG.US,5,20250815,170500,2.98,2.98,2.9506,2.9506,2150,0
RMSG.US,5,20250815,171000,2.98,2.99,2.98,2.99,400,0
RMSG.US,5,20250815,171500,3.01,3.08,3,3.0081,14713,0
RMSG.US,5,20250815,172000,3,3.03,3,3.01,2800,0
RMSG.US,5,20250815,172500,3.02,3.02,2.9573,2.9573,700,0
RMSG.US,5,20250815,173000,3.0837,3.0837,2.9711,2.9711,986,0
RMSG.US,5,20250815,173500,3.02,3.1,3.02,3.0956,2250,0
RMSG.US,5,20250815,174000,3.13,3.1757,3.1,3.1757,12404,0
RMSG.US,5,20250815,174500,3.15,3.15,2.954453,3.05,3800,0
RMSG.US,5,20250815,175000,3.12,3.125,3.11,3.12,3857,0
RMSG.US,5,20250815,175500,3.1,3.1302,3.1,3.1302,356,0
RMSG.US,5,20250815,180000,3.0344,3.0344,3.0344,3.0344,300,0
RMSG.US,5,20250815,180500,3.03,3.085,3.03,3.085,477,0
RMSG.US,5,20250815,182000,3.12,3.12,3.0619,3.0619,1672,0
RMSG.US,5,20250815,182500,3.1,3.15,3.0864,3.15,3735,0
RMSG.US,5,20250815,183500,3.1796,3.1796,3.14,3.14,355,0
RMSG.US,5,20250815,184000,3.1195,3.17,3.1195,3.17,682,0
RMSG.US,5,20250815,184500,3.16,3.19,3.04,3.12,7150,0
RMSG.US,5,20250815,185000,3.14,3.14,3.14,3.14,200,0
RMSG.US,5,20250815,185500,3.14,3.189,3.14,3.189,229,0
RMSG.US,5,20250815,190000,3.14,3.225,3.14,3.2,16620,0
RMSG.US,5,20250815,190500,3.14,3.25,3.14,3.25,1943,0
RMSG.US,5,20250815,191000,3.22,3.29,3.2,3.26,4251,0
RMSG.US,5,20250815,191500,3.2501,3.3,3.19,3.3,8072,0
RMSG.US,5,20250815,192000,3.2758,3.33,3.2178,3.31,9705,0
RMSG.US,5,20250815,192500,3.29,3.32,3.0811,3.32,6394,0
RMSG.US,5,20250815,193000,3.3042,3.36,3.3042,3.335,6682,0
RMSG.US,5,20250815,193500,3.35,3.35,3.2702,3.2702,7366,0
RMSG.US,5,20250815,194000,3.38,3.4,3.28,3.29,9081,0
RMSG.US,5,20250815,194500,3.32,3.44,3.31,3.3201,4905,0
RMSG.US,5,20250815,195000,3.3213,3.4,3.31,3.4,4316,0
RMSG.US,5,20250815,195500,3.35,3.4,3.35,3.38,2728,0
