<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMSGW.US,5,20250813,153000,0.0981,0.0981,0.0981,0.0981,3376,0
RMSGW.US,5,20250813,154000,0.087551,0.087551,0.087551,0.087551,284,0
RMSGW.US,5,20250813,155000,0.077,0.077,0.077,0.077,450,0
RMSGW.US,5,20250813,163000,0.0879,0.0879,0.087549,0.087549,242,0
RMSGW.US,5,20250813,175000,0.0879,0.0879,0.0879,0.0879,500,0
RMSGW.US,5,20250813,180000,0.0924,0.0924,0.0924,0.0924,255,0
RMSGW.US,5,20250813,182000,0.098099,0.098099,0.098099,0.098099,175,0
RMSGW.US,5,20250813,184500,0.0834,0.0835,0.0834,0.0835,258,0
RMSGW.US,5,20250813,185000,0.0834,0.0834,0.077,0.077,200,0
RMSGW.US,5,20250813,193000,0.077,0.077,0.077,0.077,4712,0
RMSGW.US,5,20250813,195500,0.077,0.077,0.077,0.077,207,0
RMSGW.US,5,20250814,181500,0.07,0.07,0.065,0.065,2360,0
RMSGW.US,5,20250814,184500,0.0699,0.0699,0.0699,0.0699,818,0
RMSGW.US,5,20250815,163000,0.070786,0.070786,0.070786,0.070786,100,0
RMSGW.US,5,20250815,185500,0.097399,0.097399,0.097399,0.097399,491,0
RMSGW.US,5,20250815,203500,0.0785,0.0785,0.0703,0.0703,1515,0
RMSGW.US,5,20250818,155000,0.091999,0.091999,0.091999,0.091999,100,0
RMSGW.US,5,20250818,160000,0.070001,0.070001,0.070001,0.070001,100,0
RMSGW.US,5,20250818,171500,0.07,0.0701,0.07,0.07,1000,0
RMSGW.US,5,20250818,192500,0.06501,0.06501,0.06501,0.06501,500,0
RMSGW.US,5,20250818,200000,0.07,0.07,0.065,0.065,400,0
RMSGW.US,5,20250818,201500,0.065,0.065,0.065,0.065,100,0
RMSGW.US,5,20250818,211500,0.0712,0.0712,0.0712,0.0712,249,0
RMSGW.US,5,20250819,153500,0.065,0.065,0.065,0.065,748,0
RMSGW.US,5,20250819,162500,0.075,0.094,0.0749,0.0904,11900,0
RMSGW.US,5,20250819,172500,0.0875,0.0875,0.0875,0.0875,102,0
RMSGW.US,5,20250819,173500,0.085,0.085,0.085,0.085,2600,0
RMSGW.US,5,20250819,174500,0.09,0.0939,0.0888,0.0888,4136,0
RMSGW.US,5,20250819,175500,0.095,0.095,0.0949,0.095,5296,0
RMSGW.US,5,20250819,180000,0.095,0.095,0.0949,0.0949,1574,0
