<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SATG.US,5,20251217,153000,14.89,14.89,14.89,14.89,1000,0
SATG.US,5,20251217,160500,14.957,14.97,14.957,14.9667,1200,0
SATG.US,5,20251217,161500,14.83,14.83,14.78,14.78,200,0
SATG.US,5,20251217,170500,14.6995,14.6995,14.68,14.68,3100,0
SATG.US,5,20251217,171000,14.68,14.68,14.4714,14.4714,3100,0
SATG.US,5,20251217,172000,14.56,14.56,14.56,14.56,1500,0
SATG.US,5,20251217,172500,14.5944,14.5944,14.5944,14.5944,500,0
SATG.US,5,20251217,173000,14.54,14.5899,14.54,14.5899,600,0
SATG.US,5,20251217,173500,14.49,14.4908,14.49,14.4908,1600,0
SATG.US,5,20251217,175000,14.6827,14.6827,14.6827,14.6827,500,0
SATG.US,5,20251217,180000,14.6836,14.6836,14.65,14.67,3200,0
SATG.US,5,20251217,180500,14.65,14.65,14.65,14.65,100,0
SATG.US,5,20251217,181000,14.57,14.57,14.57,14.57,100,0
SATG.US,5,20251217,194000,14.251,14.251,14.251,14.251,1500,0
SATG.US,5,20251217,194500,14.2514,14.2514,14.25,14.25,1600,0
SATG.US,5,20251217,195000,14.24,14.54,14.23,14.23,700,0
SATG.US,5,20251217,200000,14.22,14.22,14.2,14.2,200,0
SATG.US,5,20251217,200500,14.14,14.14,14.14,14.14,100,0
SATG.US,5,20251217,201500,13.98,13.98,13.98,13.98,100,0
SATG.US,5,20251217,211000,14.06,14.06,14.06,14.06,100,0
SATG.US,5,20251217,213000,14.02,14.02,14,14,400,0
SATG.US,5,20251217,213500,14.02,14.19,14.02,14.155,1750,0
SATG.US,5,20251217,214000,14.15,14.15,14.15,14.15,100,0
SATG.US,5,20251217,214500,14.16,14.16,14.16,14.16,100,0
SATG.US,5,20251217,215000,14.16,14.16,14.16,14.16,100,0
SATG.US,5,20251218,153000,14.66,14.66,14.66,14.66,100,0
SATG.US,5,20251218,160000,14.9,14.91,14.9,14.91,700,0
SATG.US,5,20251218,160500,14.9,14.9,14.9,14.9,128,0
SATG.US,5,20251218,161000,14.77,14.77,14.77,14.77,100,0
SATG.US,5,20251218,162000,15.2,15.2,15.2,15.2,3100,0
SATG.US,5,20251218,163000,15.18,15.18,15.12,15.12,1699,0
SATG.US,5,20251218,163500,15.15,15.2,15.15,15.2,1200,0
SATG.US,5,20251218,164500,15.27,15.27,15.2,15.21,500,0
SATG.US,5,20251218,165000,15.0703,15.0703,15.0703,15.0703,3000,0
SATG.US,5,20251218,170000,15.54,15.54,15.41,15.41,300,0
SATG.US,5,20251218,173000,15.15,15.15,15.15,15.15,100,0
SATG.US,5,20251218,175500,14.91,14.91,14.91,14.91,100,0
SATG.US,5,20251218,182000,14.74,14.74,14.74,14.74,200,0
SATG.US,5,20251218,191500,14.78,14.78,14.78,14.78,100,0
SATG.US,5,20251218,195000,14.74,14.74,14.74,14.74,100,0
SATG.US,5,20251219,153000,16.9,16.91,16.9,16.91,400,0
SATG.US,5,20251219,153500,16.8,16.8,16.8,16.8,229,0
SATG.US,5,20251219,154000,16.11,16.1199,16.11,16.1199,1930,0
SATG.US,5,20251219,154500,15.85,15.85,15.74,15.74,588,0
SATG.US,5,20251219,155000,15.76,15.76,15.6955,15.6955,1569,0
SATG.US,5,20251219,160000,15.3801,15.3801,15.3801,15.3801,410,0
SATG.US,5,20251219,161000,15.6,15.6,15.56,15.56,625,0
SATG.US,5,20251219,161500,15.6,15.6,15.6,15.6,100,0
SATG.US,5,20251219,163000,15.74,15.74,15.74,15.74,100,0
SATG.US,5,20251219,165000,15.81,15.81,15.81,15.81,100,0
SATG.US,5,20251219,170000,15.49,15.49,15.49,15.49,100,0
SATG.US,5,20251219,173500,15.47,15.47,15.38,15.38,1815,0
SATG.US,5,20251219,180500,15.48,15.48,15.48,15.48,100,0
SATG.US,5,20251219,183500,15.639,15.68,15.639,15.68,300,0
SATG.US,5,20251219,192000,15.68,15.68,15.68,15.68,100,0
SATG.US,5,20251219,201500,15.48,15.48,15.47,15.48,2000,0
SATG.US,5,20251219,202500,15.5,15.5,15.5,15.5,200,0
SATG.US,5,20251219,203000,15.47,15.47,15.44,15.44,200,0
SATG.US,5,20251219,210500,15.15,15.15,15.15,15.15,100,0
SATG.US,5,20251219,213500,14.959,14.98,14.959,14.98,500,0
SATG.US,5,20251219,214000,14.959,14.959,14.959,14.959,700,0
SATG.US,5,20251219,215000,14.95,14.95,14.9,14.9,1200,0
SATG.US,5,20251219,215500,14.92,14.92,14.92,14.92,100,0
SATG.US,5,20251222,153000,15.65,15.75,15.65,15.75,340,0
SATG.US,5,20251222,153500,15.57,15.57,15.57,15.57,288,0
SATG.US,5,20251222,154000,15.49,15.49,15.47,15.48,600,0
SATG.US,5,20251222,155000,15.3588,15.3588,15.3588,15.3588,1000,0
SATG.US,5,20251222,155500,15.36,15.36,15.35,15.35,200,0
SATG.US,5,20251222,162000,15.58,15.58,15.58,15.58,101,0
SATG.US,5,20251222,164000,15.7594,15.79,15.7594,15.7594,1900,0
SATG.US,5,20251222,164500,15.88,15.88,15.88,15.88,746,0
SATG.US,5,20251222,165500,16,16,16,16,350,0
SATG.US,5,20251222,170000,15.96,15.96,15.96,15.96,100,0
SATG.US,5,20251222,170500,16.02,16.02,16.02,16.02,118,0
SATG.US,5,20251222,171000,16.06,16.06,16.06,16.06,500,0
SATG.US,5,20251222,175500,15.939,15.95,15.939,15.95,1900,0
SATG.US,5,20251222,182000,16.18,16.18,16.18,16.18,100,0
SATG.US,5,20251222,182500,16.062,16.1284,16.062,16.1284,1031,0
SATG.US,5,20251222,190000,15.89,15.9149,15.8601,15.8601,3900,0
SATG.US,5,20251222,194000,15.832,15.832,15.832,15.832,123,0
SATG.US,5,20251222,195000,15.96,15.96,15.96,15.96,250,0
SATG.US,5,20251222,202000,16.029,16.029,16.029,16.029,600,0
SATG.US,5,20251222,204500,15.969,15.98,15.969,15.98,200,0
SATG.US,5,20251222,210500,16.22,16.23,16.18,16.18,1868,0
SATG.US,5,20251222,211000,16.1,16.1,16.1,16.1,100,0
SATG.US,5,20251222,212500,16.2644,16.2644,16.2644,16.2644,200,0
SATG.US,5,20251222,213000,16.13,16.13,16.13,16.13,300,0
SATG.US,5,20251222,214000,16.32,16.32,16.32,16.32,100,0
SATG.US,5,20251222,215500,16.36,16.38,16.36,16.38,400,0
SATG.US,5,20251223,153000,16.12,16.12,15.71,15.7601,623,0
SATG.US,5,20251223,153500,15.71,15.71,15.53,15.5913,841,0
SATG.US,5,20251223,154000,15.7,15.7,15.5,15.5,600,0
SATG.US,5,20251223,155500,15.26,15.26,15.26,15.26,200,0
SATG.US,5,20251223,160000,15.29,15.29,15.29,15.29,100,0
SATG.US,5,20251223,161000,15.4,15.4,15.4,15.4,100,0
SATG.US,5,20251223,161500,15.6028,15.6028,15.6028,15.6028,1000,0
SATG.US,5,20251223,163000,15.7,15.7,15.7,15.7,100,0
SATG.US,5,20251223,163500,15.76,15.76,15.76,15.76,100,0
SATG.US,5,20251223,165000,15.7,15.7,15.6887,15.6887,1000,0
SATG.US,5,20251223,170000,15.73,15.76,15.73,15.73,400,0
SATG.US,5,20251223,172500,15.9,15.9,15.9,15.9,1027,0
SATG.US,5,20251223,173000,15.85,15.85,15.85,15.85,100,0
SATG.US,5,20251223,182000,15.78,15.78,15.7401,15.7758,1299,0
SATG.US,5,20251223,182500,15.75,15.75,15.72,15.72,200,0
SATG.US,5,20251223,191000,15.74,15.74,15.74,15.74,200,0
SATG.US,5,20251223,193000,15.76,15.77,15.76,15.76,923,0
SATG.US,5,20251223,193500,15.72,15.72,15.72,15.72,600,0
SATG.US,5,20251223,205000,15.6387,15.6387,15.6387,15.6387,500,0
