<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCNI.US,5,20250813,153000,1.47,1.47,1.45,1.45,970,0
SCNI.US,5,20250813,153500,1.45,1.47,1.44,1.45,9847,0
SCNI.US,5,20250813,154000,1.48,1.48,1.48,1.48,1500,0
SCNI.US,5,20250813,154500,1.4795,1.4795,1.45,1.46,704,0
SCNI.US,5,20250813,155500,1.45,1.45,1.45,1.45,1500,0
SCNI.US,5,20250813,160500,1.4489,1.4489,1.4405,1.4405,715,0
SCNI.US,5,20250813,161000,1.4402,1.4402,1.4402,1.4402,400,0
SCNI.US,5,20250813,161500,1.445,1.445,1.44,1.44,400,0
SCNI.US,5,20250813,162500,1.4203,1.43,1.42,1.43,8679,0
SCNI.US,5,20250813,163000,1.42,1.43,1.42,1.42,750,0
SCNI.US,5,20250813,164000,1.4341,1.4341,1.4341,1.4341,200,0
SCNI.US,5,20250813,164500,1.4429,1.4429,1.4376,1.4376,225,0
SCNI.US,5,20250813,165000,1.4301,1.4302,1.4301,1.4301,1366,0
SCNI.US,5,20250813,170000,1.4412,1.45,1.43,1.4473,18562,0
SCNI.US,5,20250813,170500,1.4559,1.4999,1.4559,1.4891,9030,0
SCNI.US,5,20250813,171000,1.494528,1.4999,1.494528,1.4999,3913,0
SCNI.US,5,20250813,171500,1.4903,1.53,1.4903,1.5299,12160,0
SCNI.US,5,20250813,172000,1.5168,1.5299,1.51,1.5294,4633,0
SCNI.US,5,20250813,172500,1.529,1.529,1.5074,1.52,1222,0
SCNI.US,5,20250813,173000,1.52,1.52,1.52,1.52,1000,0
SCNI.US,5,20250813,173500,1.5243,1.55,1.5203,1.55,9500,0
SCNI.US,5,20250813,174000,1.5593,1.5593,1.5549,1.5549,1500,0
SCNI.US,5,20250813,174500,1.555,1.555,1.54,1.54,2565,0
SCNI.US,5,20250813,175000,1.5465,1.55,1.5465,1.55,3475,0
SCNI.US,5,20250813,175500,1.5565,1.56,1.55,1.55,2055,0
SCNI.US,5,20250813,180000,1.555,1.555,1.55,1.55,210,0
SCNI.US,5,20250813,180500,1.55,1.55,1.55,1.55,100,0
SCNI.US,5,20250813,181000,1.545,1.545,1.545,1.545,200,0
