<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNAG.US,5,20251219,171000,14.85,14.86,14.85,14.86,1422,0
SNAG.US,5,20251222,195500,16.25,16.25,16.25,16.25,133,0
SNAG.US,5,20251222,214500,16.59,16.59,16.59,16.59,100,0
SNAG.US,5,20251222,215500,16.45,16.45,16.45,16.45,152,0
SNAG.US,5,20251223,153500,16.26,16.26,16.2006,16.2006,3800,0
SNAG.US,5,20251223,155000,16.2483,16.2483,16.2483,16.2483,2000,0
SNAG.US,5,20251223,181500,16.13,16.13,16.13,16.13,100,0
SNAG.US,5,20251223,195500,15.92,15.92,15.92,15.92,100,0
SNAG.US,5,20251223,215500,16.09,16.09,16.09,16.09,100,0
SNAG.US,5,20251224,161500,16.08,16.08,16.08,16.08,100,0
SNAG.US,5,20251224,170000,16.19,16.19,16.19,16.19,113,0
SNAG.US,5,20251224,172500,16.26,16.26,16.26,16.26,100,0
SNAG.US,5,20251224,183500,16.41,16.41,16.41,16.41,100,0
SNAG.US,5,20251226,162500,16.23,16.23,16.23,16.23,100,0
SNAG.US,5,20251226,182500,16.23,16.23,16.23,16.23,100,0
SNAG.US,5,20251226,205000,16.27,16.27,16.27,16.27,100,0
SNAG.US,5,20251226,214500,16.295,16.295,16.295,16.295,152,0
SNAG.US,5,20251229,163500,16.41,16.41,16.41,16.41,107,0
SNAG.US,5,20251229,170500,16.35,16.35,16.35,16.35,100,0
SNAG.US,5,20251229,182000,16.39,16.39,16.39,16.39,100,0
SNAG.US,5,20251229,204500,16.43,16.43,16.43,16.43,100,0
SNAG.US,5,20251230,162500,16.51,16.51,16.51,16.51,100,0
SNAG.US,5,20251230,214000,17.26,17.26,17.26,17.26,100,0
SNAG.US,5,20251231,155500,17.8,17.8,17.8,17.8,100,0
SNAG.US,5,20251231,181500,17.25,17.25,17.25,17.25,100,0
SNAG.US,5,20251231,185000,17.33,17.34,17.33,17.3399,968,0
SNAG.US,5,20251231,213000,17.2999,17.2999,17.2999,17.2999,500,0
SNAG.US,5,20251231,213500,17.3,17.3,17.3,17.3,100,0
SNAG.US,5,20260102,161500,17.3,17.3,17.3,17.3,100,0
SNAG.US,5,20260102,163500,17.16,17.16,17.16,17.16,100,0
SNAG.US,5,20260102,170500,16.8484,16.8484,16.8484,16.8484,1888,0
SNAG.US,5,20260102,190000,17.59,17.59,17.59,17.59,100,0
SNAG.US,5,20260102,190500,17.7,17.7,17.7,17.7,195,0
SNAG.US,5,20260102,203000,17.52,17.53,17.52,17.53,450,0
SNAG.US,5,20260105,163500,17.99,17.99,17.99,17.99,100,0
SNAG.US,5,20260105,191500,18.29,18.29,18.29,18.29,165,0
SNAG.US,5,20260105,205500,18.3,18.3,18.3,18.3,1903,0
SNAG.US,5,20260106,153000,18.27,18.27,18.27,18.27,200,0
SNAG.US,5,20260106,155000,19.6,19.6,19.51,19.51,211,0
SNAG.US,5,20260106,155500,19.56,19.56,19.56,19.56,100,0
SNAG.US,5,20260106,160500,19.37,19.37,19.37,19.37,100,0
SNAG.US,5,20260106,172000,20.1901,20.1901,20.1901,20.1901,136,0
SNAG.US,5,20260106,192000,19.45,19.45,19.45,19.45,100,0
SNAG.US,5,20260106,194500,19.64,19.64,19.585,19.585,600,0
SNAG.US,5,20260106,195500,19.69,19.69,19.69,19.69,200,0
SNAG.US,5,20260107,165000,20.8,20.8,20.8,20.8,500,0
SNAG.US,5,20260108,164500,19.152,19.152,19.152,19.152,600,0
SNAG.US,5,20260108,183000,18.41,18.41,18.41,18.41,100,0
SNAG.US,5,20260108,194500,18.46,18.46,18.46,18.46,100,0
SNAG.US,5,20260108,211000,18.59,18.59,18.59,18.59,100,0
