<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SORNU.US,5,20260107,162000,10,10.005,9.99,9.99,2591563,0
SORNU.US,5,20260107,162500,9.98,9.99,9.97,9.985,2086808,0
SORNU.US,5,20260107,163000,9.985,9.99,9.98,9.98,650059,0
SORNU.US,5,20260107,163500,9.98,9.99,9.98,9.985,358149,0
SORNU.US,5,20260107,164000,9.98,9.985,9.98,9.98,16800,0
SORNU.US,5,20260107,164500,9.98,9.98,9.98,9.98,1855,0
SORNU.US,5,20260107,165000,9.98,9.99,9.98,9.98,28226,0
SORNU.US,5,20260107,165500,9.98,9.98,9.98,9.98,8509,0
SORNU.US,5,20260107,170000,9.98,9.98,9.98,9.98,12830,0
SORNU.US,5,20260107,170500,9.98,9.99,9.98,9.985,134622,0
SORNU.US,5,20260107,171000,9.985,9.99,9.98,9.98,35394,0
SORNU.US,5,20260107,171500,9.98,9.98,9.98,9.98,6042,0
SORNU.US,5,20260107,172000,9.98,9.99,9.98,9.98,12518,0
SORNU.US,5,20260107,172500,9.98,9.98,9.98,9.98,2691,0
SORNU.US,5,20260107,173000,9.98,9.98,9.98,9.98,2647,0
SORNU.US,5,20260107,173500,9.98,9.98,9.98,9.98,1718,0
SORNU.US,5,20260107,174000,9.98,9.98,9.98,9.98,454021,0
SORNU.US,5,20260107,174500,9.98,9.99,9.98,9.98,2625,0
SORNU.US,5,20260107,175000,9.98,9.99,9.98,9.98,18137,0
SORNU.US,5,20260107,175500,9.98,9.98,9.98,9.98,219342,0
SORNU.US,5,20260107,180000,9.98,9.985,9.98,9.98,6025,0
SORNU.US,5,20260107,180500,9.98,9.98,9.98,9.98,2821,0
SORNU.US,5,20260107,181000,9.98,9.98,9.98,9.98,3332,0
SORNU.US,5,20260107,181500,9.98,9.98,9.98,9.98,2126,0
SORNU.US,5,20260107,182000,9.98,9.985,9.98,9.98,3374,0
SORNU.US,5,20260107,182500,9.98,9.98,9.98,9.98,4518,0
SORNU.US,5,20260107,183000,9.98,9.98,9.98,9.98,2610,0
SORNU.US,5,20260107,183500,9.98,9.98,9.98,9.98,2700,0
SORNU.US,5,20260107,184000,9.98,9.985,9.98,9.98,34822,0
SORNU.US,5,20260107,184500,9.98,9.98,9.98,9.98,3240,0
SORNU.US,5,20260107,185000,9.98,9.98,9.98,9.98,7624,0
SORNU.US,5,20260107,185500,9.98,9.98,9.98,9.98,2842,0
SORNU.US,5,20260107,190000,9.98,9.98,9.98,9.98,2734,0
SORNU.US,5,20260107,190500,9.98,9.98,9.97,9.98,349425,0
SORNU.US,5,20260107,191000,9.98,9.985,9.98,9.98,55157,0
SORNU.US,5,20260107,191500,9.98,9.99,9.98,9.985,82071,0
SORNU.US,5,20260107,192000,9.99,9.99,9.98,9.98,396211,0
SORNU.US,5,20260107,192500,9.985,9.985,9.98,9.98,4313,0
SORNU.US,5,20260107,193000,9.98,9.985,9.98,9.98,3727,0
SORNU.US,5,20260107,193500,9.98,9.99,9.98,9.985,4643,0
SORNU.US,5,20260107,194000,9.98,9.98,9.98,9.98,1686,0
SORNU.US,5,20260107,194500,9.98,9.98,9.98,9.98,2346,0
SORNU.US,5,20260107,195000,9.98,9.98,9.98,9.98,2715,0
SORNU.US,5,20260107,195500,9.98,9.98,9.98,9.98,3633,0
SORNU.US,5,20260107,200000,9.98,9.98,9.98,9.98,11709,0
SORNU.US,5,20260107,200500,9.98,9.98,9.98,9.98,3842,0
SORNU.US,5,20260107,201000,9.98,9.985,9.98,9.98,4811,0
SORNU.US,5,20260107,201500,9.98,9.98,9.98,9.98,2625,0
SORNU.US,5,20260107,202000,9.98,9.98,9.98,9.98,2521,0
SORNU.US,5,20260107,202500,9.98,9.98,9.98,9.98,2570,0
SORNU.US,5,20260107,203000,9.98,9.98,9.98,9.98,1672,0
SORNU.US,5,20260107,203500,9.98,9.98,9.98,9.98,2614,0
SORNU.US,5,20260107,204000,9.98,9.98,9.98,9.98,1778,0
SORNU.US,5,20260107,204500,9.98,9.98,9.98,9.98,2379,0
SORNU.US,5,20260107,205000,9.98,9.98,9.98,9.98,1977,0
SORNU.US,5,20260107,205500,9.98,9.98,9.98,9.98,2328,0
SORNU.US,5,20260107,210000,9.98,9.98,9.98,9.98,13353,0
SORNU.US,5,20260107,210500,9.98,9.98,9.98,9.98,30769,0
SORNU.US,5,20260107,211000,9.98,9.98,9.98,9.98,1818,0
SORNU.US,5,20260107,211500,9.98,9.98,9.98,9.98,2740,0
SORNU.US,5,20260107,212000,9.98,9.98,9.98,9.98,2809,0
SORNU.US,5,20260107,212500,9.98,9.98,9.98,9.98,2638,0
SORNU.US,5,20260107,213000,9.98,9.98,9.98,9.98,2925,0
SORNU.US,5,20260107,213500,9.98,9.98,9.98,9.98,4225,0
SORNU.US,5,20260107,214000,9.98,9.98,9.98,9.98,5115,0
SORNU.US,5,20260107,214500,9.98,9.98,9.98,9.98,3570,0
SORNU.US,5,20260107,215000,9.98,9.98,9.98,9.98,4026,0
SORNU.US,5,20260107,215500,9.98,9.99,9.97,9.985,1074728,0
SORNU.US,5,20260108,153000,9.98,9.985,9.98,9.983,21278,0
SORNU.US,5,20260108,153500,9.98,9.98,9.98,9.98,11900,0
SORNU.US,5,20260108,154000,9.985,9.99,9.985,9.99,33383,0
SORNU.US,5,20260108,155000,9.99,9.99,9.975,9.975,55727,0
SORNU.US,5,20260108,155500,9.975,9.975,9.975,9.975,6400,0
SORNU.US,5,20260108,160000,9.98,9.98,9.975,9.975,150200,0
SORNU.US,5,20260108,161000,9.975,9.975,9.975,9.975,17500,0
