<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPEGU.US,5,20250814,184500,10.1418,10.1418,10.1418,10.1418,5000,0
SPEGU.US,5,20250814,185500,10.141,10.141,10.141,10.141,5000,0
SPEGU.US,5,20250814,200500,10.14,10.14,10.14,10.14,10000,0
SPEGU.US,5,20250814,201000,10.14,10.14,10.14,10.14,31100,0
SPEGU.US,5,20250814,210000,10.13,10.13,10.13,10.13,1700,0
SPEGU.US,5,20250814,210500,10.13,10.13,10.13,10.13,1900,0
SPEGU.US,5,20250814,211000,10.13,10.13,10.13,10.13,1700,0
SPEGU.US,5,20250814,211500,10.13,10.13,10.13,10.13,1900,0
SPEGU.US,5,20250814,212000,10.13,10.13,10.13,10.13,1600,0
SPEGU.US,5,20250814,212500,10.13,10.13,10.13,10.13,2000,0
SPEGU.US,5,20250814,213000,10.13,10.13,10.13,10.13,300,0
SPEGU.US,5,20250818,181000,10.12,10.12,10.12,10.12,14900,0
SPEGU.US,5,20250818,210000,10.13,10.13,10.13,10.13,144,0
SPEGU.US,5,20250818,210500,10.13,10.13,10.13,10.13,800,0
SPEGU.US,5,20250820,212500,10.13,10.13,10.13,10.13,100,0
SPEGU.US,5,20250825,194000,10.129,10.129,10.125,10.125,2000,0
SPEGU.US,5,20250827,213000,10.12,10.12,10.12,10.12,1500,0
SPEGU.US,5,20250828,153500,10.1231,10.1231,10.1231,10.1231,5000,0
SPEGU.US,5,20250828,170000,10.12,10.125,10.12,10.12,14732,0
SPEGU.US,5,20250828,173500,10.12,10.12,10.12,10.12,10068,0
SPEGU.US,5,20250829,181500,10.11,10.11,10.11,10.11,3400,0
SPEGU.US,5,20250829,203000,10.12,10.12,10.12,10.12,5000,0
SPEGU.US,5,20250829,203500,10.12,10.12,10.12,10.12,4200,0
SPEGU.US,5,20250902,181000,10.13,10.13,10.12,10.12,9599,0
SPEGU.US,5,20250902,210000,10.12,10.12,10.12,10.12,5000,0
SPEGU.US,5,20250903,194000,10.12,10.12,10.12,10.12,5000,0
SPEGU.US,5,20250903,212000,10.115,10.115,10.115,10.115,100,0
SPEGU.US,5,20250903,212500,10.12,10.12,10.12,10.12,1400,0
SPEGU.US,5,20250904,164000,10.111,10.111,10.111,10.111,5000,0
SPEGU.US,5,20250904,171000,10.12,10.12,10.12,10.12,1000,0
SPEGU.US,5,20250904,181500,10.12,10.12,10.12,10.12,5000,0
SPEGU.US,5,20250905,153000,10.12,10.12,10.12,10.12,2615,0
SPEGU.US,5,20250905,194000,10.12,10.12,10.12,10.12,30000,0
SPEGU.US,5,20250905,210500,10.12,10.12,10.12,10.12,200,0
SPEGU.US,5,20250905,211500,10.12,10.12,10.12,10.12,10300,0
SPEGU.US,5,20250909,153000,10.2,10.2,10.2,10.2,336,0
SPEGU.US,5,20250909,161000,10.15,10.15,10.15,10.15,100,0
SPEGU.US,5,20250910,215500,10.1,10.1,10.1,10.1,105,0
SPEGU.US,5,20250912,212500,10.11,10.11,10.1,10.1,3000,0
SPEGU.US,5,20250916,210500,10.13,10.14,10.11,10.14,4400,0
SPEGU.US,5,20250916,214000,10.13,10.13,10.13,10.13,100,0
SPEGU.US,5,20250918,173500,10.11,10.11,10.11,10.11,100,0
SPEGU.US,5,20250922,182500,10.16,10.16,10.15,10.16,1100,0
SPEGU.US,5,20250922,202500,10.1653,10.1653,10.1653,10.1653,400,0
SPEGU.US,5,20250922,204500,10.17,10.17,10.1653,10.17,500,0
SPEGU.US,5,20250930,154500,10.17,10.17,10.17,10.17,4050,0
SPEGU.US,5,20251001,211000,10.2106,10.2106,10.2106,10.2106,100,0
SPEGU.US,5,20251002,174500,10.19,10.1903,10.19,10.1903,5000,0
SPEGU.US,5,20251002,205000,10.22,10.22,10.22,10.22,320,0
SPEGU.US,5,20251003,153000,10.24,10.24,10.24,10.24,100,0
SPEGU.US,5,20251003,155000,10.21,10.21,10.21,10.21,100,0
SPEGU.US,5,20251006,160000,10.24,10.24,10.24,10.24,123,0
