<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXTPW.US,5,20250813,153000,0.1501,0.1501,0.1,0.1,3195,0
SXTPW.US,5,20250813,153500,0.1,0.1,0.1,0.1,983,0
SXTPW.US,5,20250813,154500,0.15,0.15,0.15,0.15,200,0
SXTPW.US,5,20250813,193000,0.102,0.102,0.102,0.102,200,0
SXTPW.US,5,20250814,153000,0.14,0.14,0.14,0.14,500,0
SXTPW.US,5,20250814,155500,0.1051,0.1051,0.0913,0.0913,3500,0
SXTPW.US,5,20250814,172000,0.0913,0.0913,0.0913,0.0913,586,0
SXTPW.US,5,20250814,200500,0.0913,0.0913,0.0913,0.0913,200,0
SXTPW.US,5,20250815,153000,0.1485,0.1485,0.1485,0.1485,617,0
SXTPW.US,5,20250815,160000,0.0913,0.0913,0.0913,0.0913,100,0
SXTPW.US,5,20250815,184500,0.1,0.1169,0.1,0.1169,600,0
SXTPW.US,5,20250815,193500,0.117499,0.117499,0.1,0.1,700,0
SXTPW.US,5,20250815,215500,0.1219,0.1219,0.1096,0.1096,1000,0
SXTPW.US,5,20250818,154000,0.1184,0.1184,0.1184,0.1184,499,0
SXTPW.US,5,20250819,163000,0.1098,0.1098,0.1097,0.1097,717,0
SXTPW.US,5,20250819,191500,0.1101,0.1101,0.11,0.11,200,0
SXTPW.US,5,20250819,215500,0.1097,0.11,0.1097,0.1097,2901,0
SXTPW.US,5,20250825,153500,0.119126,0.119126,0.11,0.11,800,0
SXTPW.US,5,20250825,154500,0.1074,0.1074,0.1074,0.1074,100,0
SXTPW.US,5,20250825,200000,0.1,0.1,0.06,0.06,11215,0
SXTPW.US,5,20250825,203500,0.06,0.06,0.06,0.06,330,0
SXTPW.US,5,20250825,215500,0.0824,0.0824,0.0819,0.0819,1500,0
SXTPW.US,5,20250826,153000,0.0938,0.0938,0.0938,0.0938,100,0
SXTPW.US,5,20250826,155000,0.0938,0.0938,0.0938,0.0938,100,0
SXTPW.US,5,20250827,204500,0.090099,0.0937,0.090099,0.0937,400,0
SXTPW.US,5,20250828,154000,0.0938,0.0938,0.0938,0.0938,100,0
SXTPW.US,5,20250828,175000,0.0903,0.0903,0.0903,0.0903,600,0
SXTPW.US,5,20250828,183500,0.0938,0.0938,0.0938,0.0938,100,0
SXTPW.US,5,20250829,172000,0.0904,0.0904,0.0904,0.0904,210,0
SXTPW.US,5,20250902,174000,0.0905,0.0905,0.0905,0.0905,100,0
SXTPW.US,5,20250903,160000,0.0935,0.0935,0.0935,0.0935,100,0
SXTPW.US,5,20250903,204000,0.0906,0.0906,0.0906,0.0906,200,0
SXTPW.US,5,20250904,165000,0.0907,0.0935,0.0907,0.0935,2180,0
SXTPW.US,5,20250904,193500,0.0907,0.0907,0.0736,0.0736,370,0
SXTPW.US,5,20250904,214500,0.065,0.065,0.065,0.065,1430,0
SXTPW.US,5,20250905,155500,0.0502,0.0502,0.0502,0.0502,4963,0
SXTPW.US,5,20250905,182500,0.0698,0.0698,0.0698,0.0698,100,0
SXTPW.US,5,20250908,153000,0.0501,0.0501,0.0501,0.0501,154,0
SXTPW.US,5,20250908,171500,0.0501,0.0501,0.05,0.05,261,0
SXTPW.US,5,20250909,153000,0.036,0.05,0.036,0.0489,13874,0
SXTPW.US,5,20250909,182500,0.0674,0.0674,0.0674,0.0674,1000,0
SXTPW.US,5,20250910,153000,0.036,0.036,0.036,0.036,1450,0
SXTPW.US,5,20250910,154000,0.0489,0.0489,0.0489,0.0489,1000,0
SXTPW.US,5,20250910,204500,0.0659,0.0659,0.0659,0.0659,100,0
SXTPW.US,5,20250911,200000,0.05051,0.0506,0.0489,0.0489,13652,0
SXTPW.US,5,20250911,200500,0.0401,0.0402,0.0401,0.0402,500,0
SXTPW.US,5,20250911,205500,0.0525,0.0525,0.0525,0.0525,100,0
SXTPW.US,5,20250912,175000,0.0495,0.0495,0.0495,0.0495,200,0
SXTPW.US,5,20250916,170000,0.0445,0.0445,0.0445,0.0445,110,0
SXTPW.US,5,20250922,162000,0.049,0.049,0.0453,0.0453,400,0
SXTPW.US,5,20250923,153000,0.049,0.049,0.0486,0.0487,6142,0
SXTPW.US,5,20250923,191500,0.0416,0.0417,0.0416,0.0417,334,0
SXTPW.US,5,20250923,215500,0.042,0.042,0.036,0.0362,20100,0
SXTPW.US,5,20250924,153000,0.0301,0.0301,0.0301,0.0301,19998,0
SXTPW.US,5,20250924,155000,0.0365,0.0366,0.0365,0.0365,1100,0
SXTPW.US,5,20250925,153500,0.039,0.039,0.039,0.039,5000,0
SXTPW.US,5,20250925,173000,0.035201,0.035201,0.0351,0.0351,577,0
SXTPW.US,5,20250925,175000,0.0351,0.0352,0.0351,0.0352,400,0
SXTPW.US,5,20250925,210500,0.0369,0.0369,0.0369,0.0369,500,0
SXTPW.US,5,20250926,210000,0.0369,0.037,0.0369,0.0369,1260,0
SXTPW.US,5,20250929,164500,0.0371,0.0371,0.0369,0.0369,29274,0
SXTPW.US,5,20250929,174500,0.0369,0.0369,0.0369,0.0369,100,0
SXTPW.US,5,20250929,191500,0.0369,0.037,0.0369,0.037,200,0
SXTPW.US,5,20250929,195000,0.0369,0.037,0.0369,0.037,400,0
SXTPW.US,5,20250929,204000,0.037,0.037,0.0369,0.0369,2662,0
SXTPW.US,5,20250930,170000,0.037,0.037,0.037,0.037,100,0
SXTPW.US,5,20251001,165500,0.0399,0.0399,0.0399,0.0399,100,0
SXTPW.US,5,20251001,170500,0.0369,0.037,0.0369,0.037,200,0
SXTPW.US,5,20251002,205000,0.0397,0.0397,0.0397,0.0397,1000,0
SXTPW.US,5,20251002,211000,0.0396,0.0396,0.039599,0.039599,3000,0
SXTPW.US,5,20251003,153000,0.0396,0.0396,0.0396,0.0396,1000,0
SXTPW.US,5,20251006,203500,0.0437,0.0437,0.0437,0.0437,162,0
SXTPW.US,5,20251006,205000,0.0468,0.0468,0.0468,0.0468,481,0
SXTPW.US,5,20251007,173500,0.0463,0.0463,0.0463,0.0463,200,0
SXTPW.US,5,20251007,194500,0.043199,0.043199,0.0426,0.0426,400,0
SXTPW.US,5,20251008,154500,0.0436,0.0436,0.0436,0.0436,235,0
SXTPW.US,5,20251008,181500,0.0402,0.0402,0.0402,0.0402,100,0
SXTPW.US,5,20251008,194500,0.0435,0.0435,0.0435,0.0435,500,0
SXTPW.US,5,20251008,215000,0.0462,0.0462,0.0462,0.0462,100,0
SXTPW.US,5,20251009,193500,0.0461,0.0461,0.0461,0.0461,2039,0
SXTPW.US,5,20251009,200000,0.0459,0.0459,0.0459,0.0459,200,0
SXTPW.US,5,20251009,201000,0.0404,0.0404,0.0404,0.0404,250,0
SXTPW.US,5,20251010,212500,0.0431,0.043383,0.043,0.043383,1299,0
SXTPW.US,5,20251010,214500,0.04255,0.0447,0.04255,0.0447,6100,0
SXTPW.US,5,20251013,200500,0.0431,0.0431,0.0431,0.0431,200,0
SXTPW.US,5,20251014,155000,0.0448,0.0448,0.0448,0.0448,200,0
SXTPW.US,5,20251014,202500,0.043,0.0447,0.043,0.0438,7998,0
SXTPW.US,5,20251014,212000,0.0447,0.0447,0.0447,0.0447,200,0
SXTPW.US,5,20251014,212500,0.0448,0.0448,0.0448,0.0448,267,0
SXTPW.US,5,20251014,214000,0.0448,0.0448,0.0447,0.0447,7400,0
SXTPW.US,5,20251014,215500,0.0448,0.0448,0.0447,0.0447,3374,0
SXTPW.US,5,20251015,155000,0.0568,0.0568,0.0567,0.0567,5000,0
SXTPW.US,5,20251015,155500,0.045,0.045,0.045,0.045,1000,0
SXTPW.US,5,20251015,160000,0.0568,0.0568,0.0527,0.0527,1500,0
SXTPW.US,5,20251015,171000,0.0525,0.0525,0.0488,0.0488,6048,0
SXTPW.US,5,20251015,183500,0.054051,0.054051,0.0411,0.0411,2935,0
SXTPW.US,5,20251015,184500,0.0435,0.0435,0.0435,0.0435,100,0
SXTPW.US,5,20251015,205000,0.0435,0.0435,0.0425,0.0425,1200,0
SXTPW.US,5,20251016,153000,0.0498,0.0498,0.0498,0.0498,200,0
