<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAYD.US,5,20250813,180500,43.1,43.145,42.34,42.765,1154,0
TAYD.US,5,20250813,195000,42.5,42.5,42.5,42.5,212,0
TAYD.US,5,20250813,202500,42.5135,42.9199,42.5135,42.9199,1428,0
TAYD.US,5,20250813,204500,42.75,42.75,42.75,42.75,100,0
TAYD.US,5,20250813,214500,43.36,43.36,43.2,43.2,500,0
TAYD.US,5,20250813,215500,43.245,43.245,42.62,42.62,1810,0
TAYD.US,5,20250814,155500,44,44,44,44,183,0
TAYD.US,5,20250814,163500,43.1999,43.1999,43.1999,43.1999,100,0
TAYD.US,5,20250814,172000,42.63,42.63,42.63,42.63,100,0
TAYD.US,5,20250814,172500,42.59,42.59,42.59,42.59,100,0
TAYD.US,5,20250814,173000,42.65,42.65,42.5,42.5,746,0
TAYD.US,5,20250814,181500,42.4,42.4,42.4,42.4,100,0
TAYD.US,5,20250814,183000,42.28,42.28,42.28,42.28,100,0
TAYD.US,5,20250814,183500,42.4756,42.65,42.05,42.05,1100,0
TAYD.US,5,20250814,184000,42.345,42.8,42.345,42.8,1361,0
TAYD.US,5,20250814,210000,43.07,43.07,42.375,42.375,204,0
TAYD.US,5,20250814,210500,42.735,42.735,42.735,42.735,100,0
TAYD.US,5,20250814,212500,43.11,43.13,42.79,42.79,480,0
TAYD.US,5,20250814,215000,42.525,42.65,42.275,42.275,1300,0
TAYD.US,5,20250814,215500,42.505,42.92,42.47,42.92,2349,0
TAYD.US,5,20250815,153000,45.02,46,45.02,45.5,1711,0
TAYD.US,5,20250815,153500,46,47.99,45.99,47.99,4036,0
TAYD.US,5,20250815,154000,49,51.39,48.2,51.39,6099,0
TAYD.US,5,20250815,154500,51.49,51.49,49.81,49.81,300,0
TAYD.US,5,20250815,155000,50.29,50.75,50,50.5001,2887,0
TAYD.US,5,20250815,155500,50.03,50.03,49,49.0001,1271,0
TAYD.US,5,20250815,160000,48.86,48.95,48.86,48.95,200,0
TAYD.US,5,20250815,161000,47.57,48,46.63,46.63,1938,0
TAYD.US,5,20250815,162500,45.9139,45.9139,45.9139,45.9139,500,0
TAYD.US,5,20250815,163000,45.6135,45.6135,45.6135,45.6135,500,0
TAYD.US,5,20250815,163500,45.91,45.91,45.91,45.91,100,0
TAYD.US,5,20250815,164000,45.7092,45.7092,45.1,45.1,1016,0
TAYD.US,5,20250815,172000,45.5029,45.545,44.7168,44.7168,1960,0
TAYD.US,5,20250815,174000,44.5,44.5,44.5,44.5,108,0
TAYD.US,5,20250815,180500,44.27,44.27,44.27,44.27,400,0
TAYD.US,5,20250815,184000,44.7,44.7,44.7,44.7,100,0
TAYD.US,5,20250815,185500,44.48,44.48,44.48,44.48,212,0
TAYD.US,5,20250815,192000,44.46,44.46,44.46,44.46,150,0
TAYD.US,5,20250815,193500,44.75,44.75,44.75,44.75,650,0
TAYD.US,5,20250815,195000,43.9,43.9,43.9,43.9,100,0
TAYD.US,5,20250815,200500,43.9,43.9,43.51,43.51,355,0
TAYD.US,5,20250815,201500,43.9,43.9,43.9,43.9,100,0
TAYD.US,5,20250815,202500,44.23,44.23,44.228,44.228,1000,0
TAYD.US,5,20250815,203000,44.23,44.68,44.23,44.68,1000,0
TAYD.US,5,20250815,215000,44.19,44.29,44.105,44.29,1000,0
TAYD.US,5,20250815,215500,43.41,43.41,42.41,42.57,16776,0
TAYD.US,5,20250818,153000,43.92,45.51,43.92,45.51,488,0
TAYD.US,5,20250818,153500,45.5,45.5,45.5,45.5,100,0
