<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDWDR.US,5,20251208,153500,0.17,0.17,0.17,0.17,5499,0
TDWDR.US,5,20251208,161500,0.18,0.2008,0.17,0.18,11700,0
TDWDR.US,5,20251208,163000,0.18,0.18,0.18,0.18,100000,0
TDWDR.US,5,20251208,182000,0.19,0.19,0.19,0.19,20000,0
TDWDR.US,5,20251208,182500,0.185,0.185,0.185,0.185,200,0
TDWDR.US,5,20251208,192500,0.19,0.1907,0.19,0.1907,6100,0
TDWDR.US,5,20251208,212500,0.1907,0.1907,0.1907,0.1907,572,0
TDWDR.US,5,20251208,213000,0.1907,0.1907,0.1907,0.1907,14528,0
TDWDR.US,5,20251208,213500,0.1899,0.1899,0.1899,0.1899,100,0
TDWDR.US,5,20251210,171000,0.1801,0.1801,0.18,0.18,699,0
TDWDR.US,5,20251211,153000,0.1801,0.1801,0.1801,0.1801,100,0
TDWDR.US,5,20251211,161500,0.18,0.1801,0.18,0.18,9950,0
TDWDR.US,5,20251211,181000,0.18,0.18,0.18,0.18,9650,0
TDWDR.US,5,20251211,202500,0.18,0.18,0.18,0.18,257,0
TDWDR.US,5,20251211,212500,0.1701,0.1701,0.1701,0.1701,200,0
TDWDR.US,5,20251211,214500,0.17,0.17,0.17,0.17,13893,0
TDWDR.US,5,20251215,162000,0.1701,0.1701,0.16,0.17,271875,0
TDWDR.US,5,20251215,162500,0.175,0.175,0.175,0.175,1148,0
TDWDR.US,5,20251215,165500,0.1701,0.18,0.1701,0.18,600,0
TDWDR.US,5,20251215,170000,0.175,0.18,0.175,0.18,23100,0
TDWDR.US,5,20251216,173000,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251217,161000,0.18005,0.18005,0.1701,0.1701,3000,0
TDWDR.US,5,20251217,165500,0.18,0.18,0.1799,0.18,20000,0
TDWDR.US,5,20251217,170000,0.18,0.18,0.18,0.18,20000,0
TDWDR.US,5,20251218,160000,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251218,170000,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251218,181000,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251218,181500,0.18,0.18,0.18,0.18,20000,0
TDWDR.US,5,20251218,193500,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251218,201000,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251218,205500,0.17,0.17,0.17,0.17,20893,0
TDWDR.US,5,20251222,173500,0.18,0.18,0.175,0.175,35875,0
TDWDR.US,5,20251222,175000,0.18,0.18,0.18,0.18,20100,0
TDWDR.US,5,20251222,180500,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251222,191000,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251223,165000,0.18,0.18,0.18,0.18,100,0
TDWDR.US,5,20251229,153000,0.19,0.19,0.18,0.18,6100,0
TDWDR.US,5,20251229,153500,0.18,0.18,0.18,0.18,400,0
TDWDR.US,5,20251229,171000,0.164,0.164,0.164,0.164,100,0
TDWDR.US,5,20251230,153500,0.164,0.164,0.164,0.164,100,0
TDWDR.US,5,20251230,165000,0.164,0.164,0.164,0.164,100,0
TDWDR.US,5,20251230,215500,0.18,0.18,0.18,0.18,510,0
TDWDR.US,5,20251231,164000,0.17,0.17,0.164,0.17,300,0
TDWDR.US,5,20251231,164500,0.17,0.17,0.17,0.17,100,0
TDWDR.US,5,20251231,165000,0.164,0.164,0.164,0.164,100,0
TDWDR.US,5,20251231,165500,0.17,0.17,0.164,0.164,200,0
TDWDR.US,5,20260102,180000,0.18,0.18,0.1641,0.18,21700,0
TDWDR.US,5,20260102,185500,0.17,0.17,0.17,0.17,100,0
TDWDR.US,5,20260102,212000,0.18,0.18,0.18,0.18,300,0
TDWDR.US,5,20260105,171500,0.172,0.172,0.17,0.17,67200,0
TDWDR.US,5,20260105,175000,0.17,0.17,0.16,0.16,82800,0
TDWDR.US,5,20260105,195000,0.1695,0.1695,0.1695,0.1695,900,0
TDWDR.US,5,20260106,163000,0.175,0.175,0.175,0.175,400000,0
TDWDR.US,5,20260106,182000,0.18,0.18,0.1799,0.1799,2000,0
TDWDR.US,5,20260107,212000,0.18,0.18,0.18,0.18,212,0
