<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNON.US,5,20250813,153000,1.49,1.51,1.465,1.493,28012,0
TNON.US,5,20250813,153500,1.4894,1.53,1.4802,1.53,51943,0
TNON.US,5,20250813,154000,1.5298,1.53,1.52,1.525,11681,0
TNON.US,5,20250813,154500,1.5205,1.521,1.5006,1.515,41552,0
TNON.US,5,20250813,155000,1.51,1.5105,1.5,1.5006,9941,0
TNON.US,5,20250813,155500,1.51,1.51,1.505,1.505,1650,0
TNON.US,5,20250813,160000,1.505,1.52,1.5011,1.52,18492,0
TNON.US,5,20250813,160500,1.53,1.53,1.51,1.51,6847,0
TNON.US,5,20250813,161000,1.5115,1.5167,1.51,1.51,2646,0
TNON.US,5,20250813,161500,1.51,1.54,1.5,1.525,61711,0
TNON.US,5,20250813,162000,1.5299,1.545,1.5299,1.545,13783,0
TNON.US,5,20250813,162500,1.5499,1.5499,1.5301,1.5399,13726,0
TNON.US,5,20250813,163000,1.535,1.54,1.53,1.53,8280,0
TNON.US,5,20250813,163500,1.5306,1.54,1.53,1.53,9679,0
TNON.US,5,20250813,164000,1.535,1.535,1.53,1.53,7485,0
TNON.US,5,20250813,164500,1.53,1.5372,1.4901,1.53,29796,0
TNON.US,5,20250813,165000,1.54,1.54,1.5301,1.54,14073,0
TNON.US,5,20250813,165500,1.535,1.545,1.535,1.54,3624,0
TNON.US,5,20250813,170000,1.5403,1.55,1.535,1.54,19870,0
TNON.US,5,20250813,170500,1.541,1.57,1.54,1.5697,61370,0
TNON.US,5,20250813,171000,1.5668,1.59,1.5604,1.59,5094,0
TNON.US,5,20250813,171500,1.5805,1.59,1.5688,1.57,25109,0
TNON.US,5,20250813,172000,1.571,1.575,1.56,1.57,21581,0
TNON.US,5,20250813,172500,1.569,1.59,1.569,1.59,74197,0
TNON.US,5,20250813,173000,1.59,1.63,1.59,1.6201,123391,0
TNON.US,5,20250813,173500,1.625,1.63,1.62,1.6299,52181,0
TNON.US,5,20250813,174000,1.6299,1.65,1.61,1.635,166426,0
TNON.US,5,20250813,174500,1.6398,1.645,1.625,1.64,62901,0
TNON.US,5,20250813,175000,1.6398,1.66,1.6307,1.655,44312,0
TNON.US,5,20250813,175500,1.66,1.66,1.65,1.659,36440,0
TNON.US,5,20250813,180000,1.65,1.7,1.65,1.695,100790,0
TNON.US,5,20250813,180500,1.6974,1.72,1.69,1.72,169570,0
TNON.US,5,20250813,181000,1.7147,1.73,1.71,1.7267,77021,0
TNON.US,5,20250813,181500,1.7296,1.7296,1.6604,1.6604,156345,0
TNON.US,5,20250813,182000,1.665,1.665,1.63,1.65,132888,0
TNON.US,5,20250813,182500,1.655,1.6799,1.655,1.6719,26404,0
TNON.US,5,20250813,183000,1.675,1.69,1.66,1.685,24681,0
TNON.US,5,20250813,183500,1.69,1.695,1.68,1.685,20428,0
TNON.US,5,20250813,184000,1.685,1.6899,1.66,1.67,29315,0
TNON.US,5,20250813,184500,1.6702,1.685,1.66,1.66,23167,0
TNON.US,5,20250813,185000,1.66,1.67,1.66,1.6606,11212,0
TNON.US,5,20250813,185500,1.665,1.6698,1.64,1.6402,17348,0
TNON.US,5,20250813,190000,1.645,1.66,1.64,1.6501,42768,0
TNON.US,5,20250813,190500,1.6502,1.66,1.65,1.6504,5502,0
