<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TROO.US,5,20250813,153000,0.8079,0.8079,0.7842,0.8001,8620,0
TROO.US,5,20250813,153500,0.78905,0.79289,0.77,0.77,9652,0
TROO.US,5,20250813,154000,0.7738,0.8088,0.77,0.8088,2326,0
TROO.US,5,20250813,154500,0.789501,0.789501,0.78,0.7802,1863,0
TROO.US,5,20250813,155000,0.7957,0.8329,0.7957,0.8329,20337,0
TROO.US,5,20250813,155500,0.8077,0.8115,0.7972,0.8115,15333,0
TROO.US,5,20250813,160500,0.8296,0.8296,0.8296,0.8296,300,0
TROO.US,5,20250813,161000,0.8296,0.8296,0.8296,0.8296,514,0
TROO.US,5,20250813,161500,0.7901,0.7901,0.7901,0.7901,250,0
TROO.US,5,20250813,162500,0.7901,0.7901,0.7901,0.7901,359,0
TROO.US,5,20250813,163500,0.8001,0.8001,0.78,0.78,28143,0
TROO.US,5,20250813,164500,0.7902,0.7902,0.79,0.7902,20080,0
TROO.US,5,20250813,165000,0.79,0.8152,0.7805,0.7805,1320,0
TROO.US,5,20250813,165500,0.8151,0.8152,0.8151,0.8151,400,0
TROO.US,5,20250813,170500,0.8151,0.8151,0.8151,0.8151,400,0
TROO.US,5,20250813,171000,0.8151,0.8151,0.8151,0.8151,499,0
TROO.US,5,20250813,171500,0.79,0.791,0.7804,0.7804,39671,0
TROO.US,5,20250813,172000,0.823,0.823,0.823,0.823,100,0
TROO.US,5,20250813,172500,0.79,0.79,0.7899,0.7899,11100,0
TROO.US,5,20250813,173500,0.8396,0.8396,0.781,0.781,1171,0
TROO.US,5,20250813,175000,0.7902,0.84,0.7902,0.8034,6340,0
TROO.US,5,20250813,181000,0.8036,0.8036,0.7817,0.782,51093,0
TROO.US,5,20250813,181500,0.8003,0.8004,0.8003,0.8004,1364,0
TROO.US,5,20250813,182000,0.8003,0.8003,0.8003,0.8003,100,0
TROO.US,5,20250813,184000,0.82,0.82,0.8,0.8,3100,0
TROO.US,5,20250813,190500,0.8001,0.8001,0.8001,0.8001,370,0
TROO.US,5,20250813,201000,0.8003,0.8004,0.8003,0.8004,300,0
TROO.US,5,20250813,203000,0.82025,0.84,0.8005,0.8005,6600,0
TROO.US,5,20250813,204000,0.8005,0.8005,0.8005,0.8005,100,0
TROO.US,5,20250813,205500,0.8005,0.8005,0.8005,0.8005,200,0
