<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSCM.US,5,20251230,154000,20.04,20.04,20.0395,20.0395,1000,0
TSCM.US,5,20251230,154500,20.04,20.04,20.03,20.03,50100,0
TSCM.US,5,20251230,161000,20.02,20.06,20.02,20.02,17061,0
TSCM.US,5,20251230,161500,20.0268,20.05,20.0268,20.05,19450,0
TSCM.US,5,20251230,162500,20.02,20.02,20.02,20.02,200,0
TSCM.US,5,20251230,163000,20.02,20.026,20.02,20.026,600,0
TSCM.US,5,20251230,164000,20.02,20.02,20.02,20.02,559,0
TSCM.US,5,20251230,165500,20,20.03,20,20.03,4900,0
TSCM.US,5,20251230,171000,20.0197,20.0197,20.005,20.005,200,0
TSCM.US,5,20251230,175000,20.03,20.03,20.03,20.03,100,0
TSCM.US,5,20251230,181500,20,20,20,20,620,0
TSCM.US,5,20251230,192500,20.02,20.02,20.02,20.02,150,0
TSCM.US,5,20251230,193000,19.98,19.98,19.98,19.98,200,0
TSCM.US,5,20251230,205500,20.006,20.01,20.006,20.01,4900,0
TSCM.US,5,20251231,154000,19.94,19.94,19.94,19.94,50000,0
TSCM.US,5,20251231,171500,19.86,19.86,19.86,19.86,100,0
TSCM.US,5,20251231,175000,19.87,19.87,19.87,19.87,2161,0
TSCM.US,5,20251231,194500,19.87,19.87,19.87,19.87,100,0
TSCM.US,5,20251231,212500,19.85,19.85,19.78,19.78,200,0
TSCM.US,5,20260102,161000,19.72,19.72,19.72,19.72,100,0
TSCM.US,5,20260102,175000,19.7,19.7,19.7,19.7,50000,0
TSCM.US,5,20260102,181500,19.71,19.71,19.71,19.71,100,0
TSCM.US,5,20260102,184500,19.72,19.72,19.72,19.72,500,0
TSCM.US,5,20260102,210500,19.83,19.83,19.83,19.83,400,0
TSCM.US,5,20260102,211500,19.78,19.78,19.78,19.78,100,0
TSCM.US,5,20260105,170000,20.09,20.09,20.09,20.09,100,0
TSCM.US,5,20260105,175000,20.155,20.155,20.155,20.155,300,0
TSCM.US,5,20260105,175500,20.155,20.155,20.155,20.155,100,0
TSCM.US,5,20260105,184000,20.2,20.2,20.2,20.2,100,0
TSCM.US,5,20260105,190000,20.12,20.12,20.12,20.12,100,0
TSCM.US,5,20260105,195000,20.12,20.12,20.12,20.12,52000,0
TSCM.US,5,20260105,205500,20.15,20.15,20.14,20.14,202,0
TSCM.US,5,20260105,211000,20.15,20.15,20.15,20.15,127,0
TSCM.US,5,20260106,202000,20.31,20.31,20.31,20.31,50000,0
TSCM.US,5,20260107,154500,20.25,20.25,20.25,20.25,200,0
TSCM.US,5,20260107,183500,20.41,20.41,20.41,20.41,48000,0
TSCM.US,5,20260107,205000,20.35,20.35,20.35,20.35,100,0
TSCM.US,5,20260107,215000,20.29,20.29,20.29,20.29,100,0
TSCM.US,5,20260108,153000,20.1767,20.1767,20.1767,20.1767,100,0
TSCM.US,5,20260108,172500,20.066,20.066,20.066,20.066,100,0
TSCM.US,5,20260108,174500,20.11,20.11,20.11,20.11,50000,0
TSCM.US,5,20260108,175000,20.1,20.1,20.1,20.1,300,0
TSCM.US,5,20260108,181500,20.13,20.13,20.13,20.13,300,0
TSCM.US,5,20260108,182500,20.1094,20.1094,20.1094,20.1094,497,0
TSCM.US,5,20260108,183500,20.1401,20.1401,20.1401,20.1401,497,0
TSCM.US,5,20260108,190000,20.15,20.15,20.15,20.15,200,0
