<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSYX.US,5,20260107,153500,24,24.04,24,24.04,1200,0
TSYX.US,5,20260107,154000,24.05,24.05,24.05,24.05,100,0
TSYX.US,5,20260107,154500,24.08,24.09,24.0414,24.0414,846,0
TSYX.US,5,20260107,155000,24.02,24.07,24.02,24.0688,3160,0
TSYX.US,5,20260107,155500,24.06,24.08,24.0589,24.0688,4422,0
TSYX.US,5,20260107,161000,24.03,24.03,24.03,24.03,200,0
TSYX.US,5,20260107,162000,24,24,24,24,100,0
TSYX.US,5,20260107,162500,24,24.02,24,24.02,1200,0
TSYX.US,5,20260107,163000,24,24,24,24,200,0
TSYX.US,5,20260107,163500,24.036,24.036,24,24,1700,0
TSYX.US,5,20260107,164000,24.0046,24.0046,24.0046,24.0046,250,0
TSYX.US,5,20260107,164500,24,24.002,23.99,24,1200,0
TSYX.US,5,20260107,165000,24.05,24.05,24.0479,24.0479,200,0
TSYX.US,5,20260107,165500,24.036,24.036,24.036,24.036,500,0
TSYX.US,5,20260107,170500,24.0583,24.0583,24.0583,24.0583,250,0
TSYX.US,5,20260107,171500,24.05,24.05,24.05,24.05,100,0
TSYX.US,5,20260107,180500,24.11,24.11,24.0822,24.0822,307,0
TSYX.US,5,20260107,181000,24.12,24.12,24.12,24.12,200,0
TSYX.US,5,20260107,181500,24.11,24.12,24.11,24.11,300,0
TSYX.US,5,20260107,182000,24.12,24.12,24.12,24.12,100,0
TSYX.US,5,20260107,183000,24.1,24.1,24.1,24.1,100,0
TSYX.US,5,20260107,183500,24.1,24.1,24.1,24.1,200,0
TSYX.US,5,20260107,184000,24.1,24.1,24.1,24.1,125,0
TSYX.US,5,20260107,184500,24.1,24.1,24.1,24.1,300,0
TSYX.US,5,20260107,185000,24.08,24.08,24.08,24.08,1000,0
TSYX.US,5,20260107,185500,24.089,24.089,24.089,24.089,450,0
TSYX.US,5,20260107,190000,24.089,24.09,24.089,24.09,500,0
TSYX.US,5,20260107,190500,24.0899,24.0899,24.0899,24.0899,550,0
TSYX.US,5,20260107,192000,24.025,24.025,24.025,24.025,100,0
TSYX.US,5,20260107,195500,24.05,24.05,24.05,24.05,100,0
TSYX.US,5,20260107,200000,24.01,24.01,24.01,24.01,100,0
TSYX.US,5,20260107,200500,24.01,24.01,24.01,24.01,550,0
TSYX.US,5,20260107,201000,24.01,24.02,24,24,500,0
TSYX.US,5,20260107,201500,24,24,23.96,23.96,1025,0
TSYX.US,5,20260107,202500,23.955,23.96,23.955,23.96,768,0
TSYX.US,5,20260107,203000,23.97,23.995,23.97,23.9825,2214,0
TSYX.US,5,20260107,204500,23.98,23.98,23.98,23.98,100,0
TSYX.US,5,20260107,205000,23.995,23.995,23.995,23.995,1000,0
TSYX.US,5,20260107,210500,23.99,23.995,23.99,23.995,1400,0
TSYX.US,5,20260107,211000,23.98,23.98,23.96,23.96,1148,0
TSYX.US,5,20260107,211500,23.92,23.94,23.92,23.94,1600,0
TSYX.US,5,20260107,213000,23.885,23.9184,23.88,23.9184,568,0
TSYX.US,5,20260107,214000,23.865,23.865,23.865,23.865,217,0
TSYX.US,5,20260107,214500,23.88,23.88,23.865,23.865,340,0
TSYX.US,5,20260107,215000,23.865,23.865,23.8638,23.8638,1209,0
TSYX.US,5,20260107,215500,23.85,23.88,23.75,23.75,3019,0
TSYX.US,5,20260108,153000,23.85,23.87,23.85,23.87,600,0
TSYX.US,5,20260108,153500,23.86,23.87,23.86,23.87,1000,0
TSYX.US,5,20260108,154000,23.85,23.859,23.76,23.76,6761,0
TSYX.US,5,20260108,154500,23.8,23.8293,23.76,23.77,1602,0
TSYX.US,5,20260108,155000,23.7806,23.83,23.7806,23.83,625,0
TSYX.US,5,20260108,155500,23.8059,23.8059,23.7801,23.8,1090,0
TSYX.US,5,20260108,160000,23.78,23.78,23.75,23.75,425,0
TSYX.US,5,20260108,160500,23.87,23.87,23.87,23.87,125,0
TSYX.US,5,20260108,161000,23.865,23.92,23.865,23.89,1415,0
TSYX.US,5,20260108,161500,23.9,23.9,23.9,23.9,200,0
TSYX.US,5,20260108,162000,23.89,23.89,23.89,23.89,265,0
TSYX.US,5,20260108,162500,23.89,23.89,23.89,23.89,225,0
TSYX.US,5,20260108,163000,23.89,23.89,23.88,23.88,3010,0
TSYX.US,5,20260108,163500,23.87,23.87,23.87,23.87,900,0
TSYX.US,5,20260108,164000,23.91,23.91,23.91,23.91,260,0
TSYX.US,5,20260108,165000,23.85,23.85,23.85,23.85,471,0
TSYX.US,5,20260108,171500,23.86,23.87,23.86,23.87,220,0
TSYX.US,5,20260108,172000,23.89,23.89,23.89,23.89,150,0
TSYX.US,5,20260108,175000,23.87,23.87,23.87,23.87,100,0
TSYX.US,5,20260108,175500,23.8652,23.8652,23.8652,23.8652,100,0
TSYX.US,5,20260108,181500,23.8606,23.8606,23.8606,23.8606,209,0
TSYX.US,5,20260108,182000,23.89,23.89,23.89,23.89,208,0
TSYX.US,5,20260108,182500,23.89,23.89,23.89,23.89,200,0
TSYX.US,5,20260108,184000,23.896,23.896,23.896,23.896,104,0
TSYX.US,5,20260108,185000,23.935,23.935,23.935,23.935,141,0
TSYX.US,5,20260108,185500,23.9341,23.9341,23.9341,23.9341,126,0
TSYX.US,5,20260108,190000,23.925,23.925,23.925,23.925,2188,0
TSYX.US,5,20260108,193500,23.88,23.88,23.88,23.88,100,0
TSYX.US,5,20260108,194500,23.9193,23.9193,23.9193,23.9193,100,0
TSYX.US,5,20260108,195000,23.87,23.87,23.87,23.87,100,0
TSYX.US,5,20260108,195500,23.87,23.87,23.87,23.87,300,0
TSYX.US,5,20260108,200000,23.86,23.8638,23.86,23.8638,395,0
TSYX.US,5,20260108,200500,23.87,23.87,23.87,23.87,200,0
TSYX.US,5,20260108,201000,23.865,23.865,23.85,23.86,500,0
TSYX.US,5,20260108,201500,23.85,23.85,23.85,23.85,300,0
TSYX.US,5,20260108,203500,23.86,23.86,23.85,23.85,200,0
TSYX.US,5,20260108,205000,23.85,23.87,23.85,23.87,1000,0
TSYX.US,5,20260108,205500,23.85,23.855,23.84,23.84,1060,0
