<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPSG.US,5,20251212,160000,15.423,15.423,15.423,15.423,100,0
UPSG.US,5,20251212,161500,15.38,15.38,15.38,15.38,499,0
UPSG.US,5,20251212,162000,15.4399,15.4399,15.4399,15.4399,100,0
UPSG.US,5,20251212,163000,15.42,15.44,15.41,15.41,500,0
UPSG.US,5,20251212,163500,15.4001,15.4001,15.34,15.4001,862,0
UPSG.US,5,20251212,173000,15.319,15.32,15.31,15.31,531,0
UPSG.US,5,20251215,212500,15.3,15.3,15.3,15.3,214,0
UPSG.US,5,20251217,215000,15.61,15.61,15.61,15.61,175,0
UPSG.US,5,20251218,154500,15.6,15.6,15.6,15.6,200,0
UPSG.US,5,20251218,160500,15.82,15.82,15.82,15.82,700,0
UPSG.US,5,20251218,175000,15.78,15.78,15.78,15.78,1376,0
UPSG.US,5,20251218,194500,15.78,15.78,15.78,15.78,100,0
UPSG.US,5,20251218,213500,15.7573,15.7573,15.7573,15.7573,191,0
UPSG.US,5,20251219,160500,15.28,15.28,15.28,15.28,100,0
UPSG.US,5,20251219,162500,15.55,15.55,15.55,15.55,100,0
UPSG.US,5,20251219,173000,15.46,15.47,15.36,15.47,8755,0
UPSG.US,5,20251219,185000,15.51,15.53,15.51,15.53,352,0
UPSG.US,5,20251219,192000,15.4426,15.4426,15.4426,15.4426,225,0
UPSG.US,5,20251219,213000,15.5301,15.5301,15.5301,15.5301,1450,0
UPSG.US,5,20251222,175000,15.39,15.39,15.335,15.335,200,0
UPSG.US,5,20251222,210500,15.2,15.2,15.2,15.2,100,0
UPSG.US,5,20251223,154000,15.17,15.17,15.1699,15.1699,500,0
UPSG.US,5,20251223,165500,15.11,15.11,15.11,15.11,101,0
UPSG.US,5,20251224,172000,15.3,15.3,15.3,15.3,191,0
UPSG.US,5,20251224,173000,15.33,15.33,15.33,15.33,100,0
UPSG.US,5,20251224,173500,15.37,15.37,15.37,15.37,100,0
UPSG.US,5,20251224,174000,15.37,15.37,15.37,15.37,100,0
UPSG.US,5,20251224,174500,15.34,15.34,15.33,15.33,200,0
UPSG.US,5,20251224,175000,15.34,15.34,15.34,15.34,200,0
UPSG.US,5,20251224,175500,15.35,15.35,15.35,15.35,200,0
UPSG.US,5,20251226,170500,15.23,15.23,15.23,15.23,100,0
UPSG.US,5,20251229,153500,15.22,15.22,15.2199,15.2199,1200,0
UPSG.US,5,20251229,182500,14.83,14.83,14.83,14.83,100,0
UPSG.US,5,20251231,162000,14.81,14.81,14.81,14.81,500,0
UPSG.US,5,20251231,182500,14.82,14.82,14.82,14.82,134,0
UPSG.US,5,20251231,215500,14.81,14.81,14.81,14.81,350,0
UPSG.US,5,20260102,155500,14.68,14.68,14.68,14.68,122,0
UPSG.US,5,20260105,162500,15.37,15.37,15.36,15.36,200,0
UPSG.US,5,20260105,182000,15.54,15.54,15.54,15.54,1606,0
UPSG.US,5,20260105,183000,15.57,15.57,15.57,15.57,100,0
UPSG.US,5,20260106,155500,15.8574,15.8574,15.8574,15.8574,100,0
UPSG.US,5,20260106,172500,16.2454,16.2454,16.2454,16.2454,100,0
UPSG.US,5,20260107,154000,16.77,16.77,16.77,16.77,100,0
UPSG.US,5,20260107,163000,16.52,16.52,16.52,16.52,241,0
UPSG.US,5,20260107,181500,16.62,16.62,16.62,16.62,100,0
UPSG.US,5,20260108,171000,17.2,17.2,17.2,17.2,100,0
UPSG.US,5,20260108,180000,17.33,17.33,17.33,17.33,1023,0
UPSG.US,5,20260108,181000,17.21,17.21,17.21,17.21,100,0
