<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VALG.US,5,20251219,205500,15.1,15.1,15.0999,15.0999,2000,0
VALG.US,5,20251222,181500,15.88,15.88,15.8799,15.8799,320,0
VALG.US,5,20251222,184000,15.75,15.75,15.75,15.75,100,0
VALG.US,5,20251222,200500,15.71,15.71,15.71,15.71,100,0
VALG.US,5,20251223,153000,15.84,15.84,15.84,15.84,968,0
VALG.US,5,20251223,193000,15.83,15.83,15.83,15.83,800,0
VALG.US,5,20251224,161000,15.75,15.75,15.75,15.75,169,0
VALG.US,5,20251224,174000,15.78,15.78,15.78,15.78,100,0
VALG.US,5,20251224,175000,15.75,15.75,15.75,15.75,100,0
VALG.US,5,20251226,181000,16.05,16.05,16.05,16.05,100,0
VALG.US,5,20251230,165500,15.71,15.71,15.71,15.71,300,0
VALG.US,5,20251231,175000,15.445,15.445,15.445,15.445,144,0
VALG.US,5,20260102,173500,15.846,15.846,15.846,15.846,200,0
VALG.US,5,20260106,165500,17.935,18.205,17.935,18.205,200,0
VALG.US,5,20260106,205500,18.09,18.09,18.09,18.09,150,0
VALG.US,5,20260108,163000,17.6,17.6,17.6,17.6,200,0
