<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTSI.US,5,20250813,153000,5.54,5.57,5.5399,5.57,18345,0
VTSI.US,5,20250813,153500,5.5859,5.64,5.5497,5.575,2199,0
VTSI.US,5,20250813,154000,5.5626,5.5626,5.51,5.512,1657,0
VTSI.US,5,20250813,154500,5.51,5.54,5.51,5.52,3693,0
VTSI.US,5,20250813,155000,5.51,5.512,5.51,5.512,562,0
VTSI.US,5,20250813,155500,5.51,5.53,5.51,5.5112,11081,0
VTSI.US,5,20250813,160000,5.51,5.53,5.51,5.53,1065,0
VTSI.US,5,20250813,160500,5.5158,5.5158,5.5158,5.5158,200,0
VTSI.US,5,20250813,161000,5.52,5.52,5.51,5.51,482,0
VTSI.US,5,20250813,161500,5.5154,5.5499,5.5128,5.53,3200,0
VTSI.US,5,20250813,162000,5.5399,5.5399,5.5101,5.5345,2177,0
VTSI.US,5,20250813,162500,5.5107,5.5107,5.5107,5.5107,100,0
VTSI.US,5,20250813,163000,5.513,5.56,5.513,5.52,2915,0
VTSI.US,5,20250813,163500,5.52,5.52,5.52,5.52,100,0
VTSI.US,5,20250813,164000,5.519,5.52,5.519,5.52,300,0
VTSI.US,5,20250813,165000,5.5112,5.5128,5.5112,5.5128,500,0
VTSI.US,5,20250813,165500,5.51,5.5147,5.51,5.5147,650,0
VTSI.US,5,20250813,170500,5.515,5.52,5.5101,5.5101,3864,0
VTSI.US,5,20250813,171000,5.5112,5.52,5.51,5.515,600,0
VTSI.US,5,20250813,171500,5.516967,5.519,5.51,5.51,5223,0
VTSI.US,5,20250813,172000,5.51,5.52,5.51,5.52,6779,0
VTSI.US,5,20250813,172500,5.5107,5.5107,5.5,5.5,8927,0
VTSI.US,5,20250813,173000,5.485,5.5,5.38,5.44,12712,0
VTSI.US,5,20250813,173500,5.45,5.45,5.4219,5.43,1792,0
VTSI.US,5,20250813,174500,5.44,5.46,5.44,5.46,200,0
VTSI.US,5,20250813,175500,5.43,5.4374,5.43,5.4374,222,0
VTSI.US,5,20250813,182000,5.4401,5.4401,5.4401,5.4401,500,0
VTSI.US,5,20250813,182500,5.45,5.468,5.42,5.42,666,0
VTSI.US,5,20250813,184500,5.418,5.418,5.418,5.418,250,0
VTSI.US,5,20250813,185000,5.42,5.42,5.42,5.42,110,0
VTSI.US,5,20250813,190000,5.41,5.42,5.41,5.42,400,0
VTSI.US,5,20250813,190500,5.4235,5.4235,5.4235,5.4235,186,0
VTSI.US,5,20250813,191000,5.415,5.415,5.415,5.415,100,0
VTSI.US,5,20250813,192000,5.4,5.455,5.4,5.455,5490,0
VTSI.US,5,20250813,194000,5.4299,5.43,5.4299,5.43,401,0
VTSI.US,5,20250813,194500,5.44,5.45,5.44,5.45,200,0
VTSI.US,5,20250813,195000,5.435162,5.435162,5.435162,5.435162,570,0
VTSI.US,5,20250813,195500,5.46,5.46,5.45,5.45,400,0
VTSI.US,5,20250813,200000,5.4661,5.4661,5.4661,5.4661,300,0
