<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLTH.US,5,20251212,191000,14,14.14,14,14.035,3731660,0
WLTH.US,5,20251212,191500,14.01,14.24,13.75,13.885,1038568,0
WLTH.US,5,20251212,192000,13.885,14.19,13.76,14.105,646513,0
WLTH.US,5,20251212,192500,14.1,14.15,13.77,14.0499,702775,0
WLTH.US,5,20251212,193000,14.05,14.05,13.8,13.915,237623,0
WLTH.US,5,20251212,193500,13.91,14.05,13.88,13.99,221536,0
WLTH.US,5,20251212,194000,13.99,14.115,13.98,14.01,130958,0
WLTH.US,5,20251212,194500,14.01,14.25,14,14.1,573274,0
WLTH.US,5,20251212,195000,14.0945,14.5,14.09,14.5,363918,0
WLTH.US,5,20251212,195500,14.49,14.83,14.31,14.775,431574,0
WLTH.US,5,20251212,200000,14.775,14.88,14.4,14.5899,225754,0
WLTH.US,5,20251212,200500,14.57,14.58,14.5,14.51,114619,0
WLTH.US,5,20251212,201000,14.51,14.74,14.32,14.67,161162,0
WLTH.US,5,20251212,201500,14.66,14.7399,14.55,14.55,81243,0
WLTH.US,5,20251212,202000,14.55,14.59,14.25,14.45,139461,0
WLTH.US,5,20251212,202500,14.45,14.53,14.3,14.4,135403,0
WLTH.US,5,20251212,203000,14.3,14.52,14.3,14.46,346776,0
WLTH.US,5,20251212,203500,14.46,14.48,14.4,14.42,66784,0
WLTH.US,5,20251212,204000,14.42,14.46,14.4,14.4,52628,0
WLTH.US,5,20251212,204500,14.41,14.4581,14.2,14.415,122539,0
WLTH.US,5,20251212,205000,14.415,14.43,14.3,14.4,114114,0
WLTH.US,5,20251212,205500,14.4,14.415,14.2,14.355,101371,0
WLTH.US,5,20251212,210000,14.355,14.5,14.25,14.455,149619,0
WLTH.US,5,20251212,210500,14.45,14.58,14.45,14.485,223614,0
WLTH.US,5,20251212,211000,14.485,14.5,14.33,14.47,105756,0
WLTH.US,5,20251212,211500,14.45,14.475,14.44,14.45,52679,0
WLTH.US,5,20251212,212000,14.455,14.5,14.41,14.47,148816,0
WLTH.US,5,20251212,212500,14.485,14.55,14.44,14.535,93687,0
WLTH.US,5,20251212,213000,14.535,14.61,14.5,14.5677,121956,0
WLTH.US,5,20251212,213500,14.56,14.7,14.4,14.65,186269,0
WLTH.US,5,20251212,214000,14.67,14.69,14.25,14.2801,152096,0
WLTH.US,5,20251212,214500,14.3,14.49,14.2,14.23,205465,0
WLTH.US,5,20251212,215000,14.24,14.3,14.02,14.02,221688,0
WLTH.US,5,20251212,215500,14.035,14.37,14.02,14.19,805940,0
WLTH.US,5,20251215,153000,14.545,14.75,14.34,14.435,127563,0
WLTH.US,5,20251215,153500,14.38,14.56,14.31,14.55,106693,0
WLTH.US,5,20251215,154000,14.55,14.62,14.47,14.62,71193,0
WLTH.US,5,20251215,154500,14.58,14.62,14.5,14.5,34959,0
WLTH.US,5,20251215,155000,14.545,14.59,14.31,14.45,116236,0
WLTH.US,5,20251215,155500,14.45,14.46,14.3,14.3201,33554,0
WLTH.US,5,20251215,160000,14.3726,14.4,14.26,14.26,16379,0
WLTH.US,5,20251215,160500,14.26,14.3358,14.21,14.255,24455,0
WLTH.US,5,20251215,161000,14.21,14.27,14.13,14.17,32730,0
WLTH.US,5,20251215,161500,14.12,14.1934,14,14.15,46346,0
WLTH.US,5,20251215,162000,14.15,14.15,14.05,14.1,14607,0
WLTH.US,5,20251215,162500,14.09,14.105,14.05,14.05,109499,0
WLTH.US,5,20251215,163000,14.075,14.1,13.99,14.07,150752,0
WLTH.US,5,20251215,163500,14.0997,14.15,14.05,14.14,17542,0
WLTH.US,5,20251215,164000,14.12,14.22,14.12,14.22,23129,0
WLTH.US,5,20251215,164500,14.22,14.35,14.197,14.21,20334,0
WLTH.US,5,20251215,165000,14.21,14.3487,14.19,14.23,20102,0
WLTH.US,5,20251215,165500,14.24,14.3405,14.17,14.2,22713,0
WLTH.US,5,20251215,170000,14.21,14.345,14.2,14.21,10364,0
WLTH.US,5,20251215,170500,14.2485,14.2891,14.2,14.2,3907,0
WLTH.US,5,20251215,171000,14.255,14.255,14.2,14.2185,3971,0
WLTH.US,5,20251215,171500,14.2,14.25,14.2,14.2,7439,0
WLTH.US,5,20251215,172000,14.2,14.21,14.2,14.21,5379,0
WLTH.US,5,20251215,172500,14.205,14.21,14.2,14.21,2941,0
WLTH.US,5,20251215,173000,14.205,14.21,14.2,14.2099,4203,0
WLTH.US,5,20251215,173500,14.2,14.2085,14.17,14.1825,8407,0
WLTH.US,5,20251215,174000,14.19,14.19,14.07,14.07,19306,0
WLTH.US,5,20251215,174500,14.07,14.0894,14.05,14.05,8236,0
WLTH.US,5,20251215,175000,14.05,14.0599,14.05,14.05,11652,0
WLTH.US,5,20251215,175500,14.055,14.0699,13.9,14.025,134153,0
WLTH.US,5,20251215,180000,14.01,14.038,14,14.03,64578,0
WLTH.US,5,20251215,180500,14.045,14.18,14.04,14.1,38806,0
WLTH.US,5,20251215,181000,14.11,14.15,14.04,14.07,21900,0
WLTH.US,5,20251215,181500,14.07,14.1099,14.03,14.06,4029,0
WLTH.US,5,20251215,182000,14.06,14.0747,14.05,14.0747,4041,0
WLTH.US,5,20251215,182500,14.05,14.0797,14.05,14.05,4300,0
WLTH.US,5,20251215,183000,14.05,14.08,14.04,14.06,24310,0
WLTH.US,5,20251215,183500,14.0613,14.08,14.04,14.05,9738,0
WLTH.US,5,20251215,184000,14.06,14.065,14.04,14.05,13018,0
WLTH.US,5,20251215,184500,14.0401,14.07,14.03,14.03,17822,0
WLTH.US,5,20251215,185000,14.0337,14.045,14.03,14.045,3675,0
WLTH.US,5,20251215,185500,14.05,14.05,14.03,14.03,32919,0
WLTH.US,5,20251215,190000,14.04,14.04,14,14.01,43140,0
WLTH.US,5,20251215,190500,14.01,14.02,14,14,25932,0
WLTH.US,5,20251215,191000,14,14.02,13.99,14.005,120828,0
WLTH.US,5,20251215,191500,14.005,14.05,13.95,14.0142,119388,0
WLTH.US,5,20251215,192000,14.025,14.03,14,14.02,21228,0
WLTH.US,5,20251215,192500,14.01,14.03,14.002,14.01,9229,0
WLTH.US,5,20251215,193000,14.01,14.03,14.002,14.03,5172,0
WLTH.US,5,20251215,193500,14.03,14.04,14.02,14.04,4292,0
WLTH.US,5,20251215,194000,14.05,14.06,14.02,14.05,4302,0
WLTH.US,5,20251215,194500,14.05,14.07,14.04,14.05,7700,0
WLTH.US,5,20251215,195000,14.06,14.16,14.05,14.11,5700,0
WLTH.US,5,20251215,195500,14.11,14.11,14,14.05,37561,0
WLTH.US,5,20251215,200000,14.01,14.05,13.99,14,181760,0
WLTH.US,5,20251215,200500,14.005,14.005,13.95,13.98,122957,0
WLTH.US,5,20251215,201000,13.98,13.99,13.96,13.99,3318,0
WLTH.US,5,20251215,201500,13.98,13.99,13.91,13.91,8299,0
WLTH.US,5,20251215,202000,13.925,13.925,13.67,13.75,112796,0
WLTH.US,5,20251215,202500,13.75,13.79,13.75,13.785,85673,0
WLTH.US,5,20251215,203000,13.785,13.785,13.75,13.75,17036,0
WLTH.US,5,20251215,203500,13.75,13.755,13.51,13.55,42724,0
WLTH.US,5,20251215,204000,13.53,13.63,13.45,13.495,257748,0
WLTH.US,5,20251215,204500,13.5096,13.53,13.47,13.51,28299,0
WLTH.US,5,20251215,205000,13.49,13.53,13.48,13.51,126256,0
WLTH.US,5,20251215,205500,13.53,13.8,13.522,13.72,8920,0
WLTH.US,5,20251215,210000,13.75,13.8,13.7101,13.74,18091,0
WLTH.US,5,20251215,210500,13.74,13.78,13.71,13.78,20612,0
WLTH.US,5,20251215,211000,13.75,13.765,13.75,13.75,11888,0
WLTH.US,5,20251215,211500,13.75,13.78,13.61,13.62,14048,0
WLTH.US,5,20251215,212000,13.67,13.685,13.555,13.6,13570,0
WLTH.US,5,20251215,212500,13.57,13.6057,13.37,13.405,106928,0
WLTH.US,5,20251215,213000,13.37,13.44,13.35,13.375,103091,0
WLTH.US,5,20251215,213500,13.35,13.4,13.35,13.35,100124,0
WLTH.US,5,20251215,214000,13.35,13.49,13.35,13.38,37769,0
WLTH.US,5,20251215,214500,13.435,13.5,13.37,13.44,83289,0
WLTH.US,5,20251215,215000,13.41,13.5,13.38,13.5,58354,0
WLTH.US,5,20251215,215500,13.5,13.89,13.465,13.77,275209,0
WLTH.US,5,20251216,153000,13.59,13.7561,13.5,13.5001,67676,0
WLTH.US,5,20251216,153500,13.505,13.51,13.25,13.35,72172,0
WLTH.US,5,20251216,154000,13.3,13.49,13.3,13.395,11577,0
WLTH.US,5,20251216,154500,13.3243,13.45,13.285,13.285,17794,0
WLTH.US,5,20251216,155000,13.32,13.34,13.25,13.25,53585,0
WLTH.US,5,20251216,155500,13.25,13.29,13.202,13.255,29664,0
WLTH.US,5,20251216,160000,13.28,13.29,13.25,13.27,26091,0
WLTH.US,5,20251216,160500,13.27,13.27,13.245,13.25,36080,0
WLTH.US,5,20251216,161000,13.25,13.32,13.2,13.21,99852,0
WLTH.US,5,20251216,161500,13.21,13.26,13.2,13.21,23527,0
WLTH.US,5,20251216,162000,13.225,13.24,13.05,13.0832,74017,0
WLTH.US,5,20251216,162500,13.06,13.195,12.99,13,130592,0
WLTH.US,5,20251216,163000,13,13.0085,12.85,12.855,278450,0
WLTH.US,5,20251216,163500,12.855,12.91,12.85,12.885,46642,0
WLTH.US,5,20251216,164000,12.9,12.91,12.87,12.9,42679,0
WLTH.US,5,20251216,164500,12.9,12.9099,12.87,12.87,9595,0
WLTH.US,5,20251216,165000,12.87,12.955,12.8,12.84,109311,0
WLTH.US,5,20251216,165500,12.8399,13.0488,12.821,12.9,66795,0
WLTH.US,5,20251216,170000,12.9,12.96,12.8,12.88,42818,0
WLTH.US,5,20251216,170500,12.88,12.905,12.83,12.86,32160,0
WLTH.US,5,20251216,171000,12.86,12.945,12.811,12.84,114639,0
WLTH.US,5,20251216,171500,12.845,12.94,12.821,12.841,74272,0
WLTH.US,5,20251216,172000,12.84,12.84,12.76,12.82,76462,0
WLTH.US,5,20251216,172500,12.82,12.92,12.8,12.84,23137,0
WLTH.US,5,20251216,173000,12.855,12.92,12.76,12.82,19111,0
WLTH.US,5,20251216,173500,12.8499,12.85,12.78,12.8,4035,0
WLTH.US,5,20251216,174000,12.825,12.8371,12.79,12.795,4301,0
WLTH.US,5,20251216,174500,12.78,12.81,12.78,12.78,5134,0
